436092-Sofras Cuaresma-20489.02
181493-Leonidas Mafra-6523.59
145372-Leonidas Mafra-3914.35
105472-Lurdes Cotrim-17395.36
107809-Cleusa Goes-14585.35
145466-Emedlia Silvera-15695.83
383902-Eurico Siqueira-9793.94
233861-Manuel Capiperibe-2694.78
38163-Carminda Morais-17095.11
720125-Zungela Ipiranga-9550.50
239006-Sidfnio Frois-3065.51
676550-Rebeca Neto-18707.33
107460-Liana Cardim-9033.94
867270-Jonatas Felgueiras-16925.00
292883-Heleedsa Marins-4741.24
338608-Edgar Carvalheiro-9582.70
922695-Letedcia Gago-15966.53
662135-Lina Andrade-634.04
139949-Emedlio Pimentel-17734.42
363521-Augusta Paio-11226.78
161820-Antonio Castelo-1384.34
617005-Heleedsa Marins-19051.10
947636-Marilda Leio-4587.34
713448-Heleedsa Marins-6576.01
531256-Fulvio Villegas-8188.94
884005-Angilica Galante-3007.49
336538-Cleusa Goes-5896.72
699347-Almerinda Palmeira-548.50
539859-Ubaldo Mainha-16109.90
891396-Artur Grillo-2058.70
809563-Filomena Barrios-12940.32
278975-Neeamia Arruda-11181.65
997476-Liana Cardim-3306.29
110439-Neuza Francia-14703.43
756040-Lurdes Cotrim-19818.74
9386-Armindo Castalo-11762.74
48645-Armindo Castalo-6231.27
741369-Guida Juca-13018.27
354123-Edgar Carvalheiro-13343.67
408719-Filomena Barrios-2827.74
657985-Cassandra Varejo-12495.84
340927-Angilica Galante-2463.79
650448-Domingos Pas-12913.77
694008-Judite Damasceno-9930.03
855228-Romo Paranage-10437.59
910641-Carminda Morais-19177.69
198855-Ubaldo Mainha-2783.34
191620-Nuno Balsemeo-20170.75
518368-Aludsio Sosa-7549.46
351752-Emedlia Silvera-4128.71
55294-Delfina Perdigon-21135.29
307166-Henrique Bento-17003.86
724373-Zungela Ipiranga-10785.53
770904-Spnia ou Sonia Guerreiro-7067.63
676558-Mercia Caeira-12426.18
972592-Emiliana Foquio-13575.29
59363-Gaudancio Fiees-13522.44
273410-Rebeca Neto-18164.36
314080-Emedlio Pimentel-6574.71
237585-Melinda Roserio-16338.22
935320-Delfina Perdigon-6563.94
733201-Oliveira Carmona-11667.01
910203-Carminda Morais-21354.26
463802-Odilia Bello-17457.13
537141-Andreia Moita-14679.06
886260-Delfina Garcia de Gondim-11363.95
4194-Antonio Viegas-19274.54
972292-Armanda Amorim-1692.44
15572-Romo Paranage-14585.58
520860-Letedcia Gago-6873.12
896877-Danilo Olaio-2857.63
801606-Armindo Castalo-15034.97
125032-Oliveira Carmona-2919.23
1251-Estanislau Beserra-899.03
156975-Moaci Mendoa-18904.40
931081-Ermelinda Quintela-2948.43
750561-Odilia Bello-15158.47
814272-Branco Saraba-15368.20
830184-Filomena Barrios-2273.52
833019-Letedcia Gago-4898.72
658176-Tibofarcio Camacho-5897.69
393654-Delfim Higuera-4930.87
830267-Neeamia Arruda-19002.12
208742-Artur Grillo-15947.30
816333-Honorina Lira-2834.03
845952-Heleedsa Marins-13563.34
270189-Filomena Barrios-18760.85
664761-Rebeca Neto-10474.15
303078-Tabalipa Duarte-6867.62
15573-Letedcia Gago-14515.95
39830-Jonatas Felgueiras-6807.70
827521-Lurdes Cotrim-11781.63
628200-Henrique Bento-19629.93
352070-Flamednia Leiria-8757.19
979284-Armanda Amorim-18095.35
563335-Lurdes Cotrim-19373.81
990485-Cleusa Goes-2481.67
781279-Antonio Castelo-8168.32
908010-Sara Lameiras-16651.35
386250-Daniel Vieyra-21041.51
736859-Flor Portella-6737.07
856715-Neuza Francia-19545.35
63776-Anind Zarco-10076.79
999427-Taercio Mafra-2725.47
181270-Artur Grillo-19865.27
282634-Sofras Cuaresma-15976.06
201896-Gaudancio Fiees-15481.13
238672-Neeamia Arruda-12064.11
690884-Clara Alcantara-21093.19
421419-Guida Juca-1892.22
746944-Aludsio Sosa-2309.58
841988-Elisa Themes-6768.15
616557-Augusta Paio-20198.79
900917-Mercia Caeira-18653.95
420164-Jussara Varanda-18080.92
474278-Rebeca Neto-21313.75
425563-Tibofarcio Camacho-20440.93
544210-Emedlia Silvera-12748.48
11331-Tabalipa Duarte-8710.55
613653-Tibefarcio Colao-15194.77
399453-Jussara Varanda-3767.40
375857-Elisa Themes-2710.98
919442-Eurico Siqueira-2332.31
142058-Danilo Olaio-786.49
912125-Emedlia Silvera-6830.69
725281-Quintino Alcantara-17085.43
661212-Neeamia Arruda-7974.85
226755-Edgar Carvalheiro-3455.46
203190-Sidfnio Frois-11695.57
14879-Almerinda Palmeira-6396.87
48071-Neeamia Arruda-8600.86
39626-Daniel Vieyra-3569.79
362611-Tarrataca Soares-10848.98
564452-Clarindo Areosa-19040.40
193630-Celeste Duarte-9394.69
915065-Heleedsa Marins-1777.10
527743-Feledcia Peassego-12163.71
266264-Gaudancio Fiees-13085.98
336597-Dulce Froes-16608.01
495033-Cassandra Varejo-873.33
130287-Augusta Paio-10723.81
505657-Moaci Mendoa-5519.37
979482-Lina Andrade-13502.99
684671-Melinda Roserio-11923.80
554847-Gaudancio Fiees-19435.74
977468-Anind Zarco-11170.05
975870-Sara Lameiras-8440.49
459263-Micaela Chavez-10213.15
488209-Ermelinda Quintela-7761.68
74040-Tarrataca Soares-9796.63
863113-Antonio Castelo-10037.94
738528-Melinda Roserio-12252.99
108846-Polibe Olivares-19152.79
377159-Flor Portella-11594.80
685523-Filomena Barrios-11840.35
495121-Angelica Aranha-5245.29
498530-Camila Gabeira-8895.04
389665-Filomena Barrios-9289.64
878930-Augusta Paio-9884.52
202219-Odilia Camello-900.42
341708-Moaci Mendoa-10209.05
378172-Neeamia Arruda-3461.60
351236-Jorgina Bogalho-5702.69
139864-Anfnia Seixas-6306.46
308508-Melinda Roserio-2838.48
567150-Tabalipa Duarte-4693.43
347209-Elisa Themes-13648.42
176427-Telma Villalobos-20392.31
321069-Jonatas Felgueiras-16536.27
150436-Artur Grillo-18688.29
159561-Esperada Cardoso-6246.87
446027-Tarrataca Soares-11410.65
64548-Spnia ou Sonia Guerreiro-18224.16
961902-Urbano Rodrigues-18715.56
855463-Delfina Perdigon-3333.81
783728-Sara Lameiras-12989.48
756868-Carminda Morais-15902.96
234401-Cassandra Varejo-20514.72
191943-Honorina Lira-15563.09
84999-Jorgina Bogalho-8809.76
536666-Basilio Pedroso-10051.36
410056-Zungela Ipiranga-7850.98
443697-Nuno Balsemeo-14461.63
230085-Andreia Moita-6086.41
695433-Guida Juca-15794.96
492562-Taercio Mafra-12477.96
632945-Urbano Rodrigues-1380.70
647816-Quintino Alcantara-12873.04
894136-Regina Barcellos-13294.96
283539-Carminda Morais-12530.97
501893-Nuno Balsemeo-11481.50
923609-Heleedsa Marins-20355.60
926861-Delfina Perdigon-21140.04
346531-Antonio Viegas-19537.51
355189-Angilica Galante-379.62
228637-Edgar Carvalheiro-9454.55
566731-Delfina Perdigon-8506.04
716680-Polibe Olivares-11182.52
854910-Camila Gabeira-16401.46
302490-Liana Cardim-19224.30
242561-Odete Vasques-16864.48
834684-Esperada Cardoso-15568.88
8533-Almor Caiado-5273.31
377714-Andreia Moita-4201.94
871425-Feledcia Peassego-9595.49
894184-Estanislau Beserra-3312.94
