7575-Delfim Higuera-9476.17
676768-Armanda Amorim-78.99
547597-Daniel Vieyra-4351.52
184136-Sidfnio Frois-6239.18
620561-Liana Cardim-17018.79
270193-Letedcia Gago-9366.78
852699-Neeamia Arruda-16697.20
419849-Sara Lameiras-13127.98
792520-Dulce Froes-12636.08
737330-Carminda Morais-4386.54
701754-Trajano Fagundes-15039.06
559596-Flor Portella-8360.99
535008-Regina Barcellos-19636.47
503885-Adelino Barra-13273.47
911121-Sidfnio Frois-10584.84
830732-Esperada Cardoso-17297.54
166089-Adelina Quadros-5431.24
951658-Quintino Alcantara-18575.43
414893-Taercio Mafra-5428.52
805177-Adelino Barra-3691.06
984648-Camila Gabeira-17498.08
345941-Aludsio Sosa-15178.84
122937-Estanislau Beserra-13349.35
535518-Antonio Castelo-7879.55
382571-Guaraci Damasceno-21208.66
625307-Quintiliano Sousa de Arronches-562.13
546245-Angilica Galante-15893.80
703597-Ermelinda Quintela-12548.47
175728-Tabalipa Duarte-8547.79
256122-Celeste Duarte-14595.84
990023-Lina Andrade-16805.69
146442-Guida Juca-7444.31
918498-Flamednia Leiria-8065.54
337438-Delfina Garcia de Gondim-1546.06
620101-Emedlia Silvera-15599.88
903400-Oliveira Carmona-2821.30
941178-Judite Damasceno-15526.76
102485-Trajano Fagundes-5988.96
839874-Domingos Pas-8810.72
913162-Tibofarcio Camacho-15153.28
608735-Jorgina Bogalho-7928.34
628348-Letedcia Gago-2174.97
531596-Henrique Bento-6254.16
886191-Lurdes Cotrim-18327.53
712372-Ubaldo Mainha-8718.90
404907-Emedlio Pimentel-9487.93
310881-Clara Alcantara-16457.34
112735-Antonio Viegas-13583.53
278481-Oliveira Carmona-19441.93
223011-Armindo Castalo-17986.22
267854-Oliveira Senchez-12907.47
881308-Dulce Froes-228.92
442017-Ermelinda Quintela-16604.24
72919-Domingos Pas-10958.26
793180-Delfim Higuera-12645.39
18075-Odilia Camello-21399.44
372911-Heleedsa Marins-16307.71
920285-Manuel Capiperibe-13264.00
363796-Henrique Bento-3341.95
395522-Adelina Quadros-16564.18
755235-Tarrataca Soares-3102.02
465662-Delfim Higuera-1236.00
673245-Armanda Amorim-18410.42
296483-Tarrataca Soares-19741.15
189165-Telma Villalobos-6774.24
971392-Zulmira Becerra-16584.42
62918-Estanislau Beserra-9043.31
888567-Basilio Pedroso-21152.52
583530-Daniel Vieyra-15951.32
504032-Zulmira Becerra-2250.44
530532-Daniel Vieyra-16677.99
337173-Armanda Amorim-2737.81
519600-Neuza Francia-5554.54
158465-Flamednia Leiria-9907.51
623606-Zulmira Becerra-12649.40
627397-Regina Barcellos-1024.28
91095-Daniel Vieyra-5994.90
358287-Jussara Varanda-1068.95
509003-Romo Paranage-21304.79
370780-Emedlia Silvera-244.99
166630-Odete Vasques-20300.30
164407-Clara Alcantara-8478.83
761771-Odete Vasques-7959.19
400739-Henrique Bento-13870.78
186934-Guaraci Damasceno-15697.01
397184-Emedlio Pimentel-4608.45
565916-Flamednia Leiria-2004.53
66041-Neeamia Arruda-2718.11
334197-Quintino Alcantara-20013.20
250531-Camila Gabeira-14282.07
210566-Flamednia Leiria-2088.90
485889-Feledcia Peassego-8010.54
542164-Flamednia Leiria-11808.16
52635-Liana Cardim-10417.33
830137-Elisa Themes-2104.37
547484-Aludsio Sosa-15118.34
692420-Oliveira Carmona-1619.16
844215-Regina Barcellos-13599.82
375085-Eurico Siqueira-7788.33
417615-Rodolfo Paz-136.00
959485-Andreia Moita-14368.10
531228-Tabalipa Duarte-2738.12
502721-Telma Villalobos-10933.54
393565-Emedlio Pimentel-1559.23
878576-Branco Saraba-5997.54
581361-Emiliana Foquio-15423.01
129317-Mercia Caeira-9385.10
129891-Filomena Barrios-15353.54
941371-Camila Gabeira-12922.46
589112-Daniel Vieyra-1921.79
960245-Zulmira Becerra-4071.39
221402-Armindo Castalo-18196.70
536990-Flamednia Leiria-9826.89
185133-Anfnia Seixas-8395.99
566569-Armanda Amorim-6299.94
384586-Honorina Lira-19235.75
552720-Antonio Castelo-8862.21
636888-Estanislau Beserra-20133.51
219482-Almor Caiado-12818.09
634701-Sara Lameiras-6929.14
649426-Guida Juca-16748.74
990577-Trajano Fagundes-1416.12
144042-Lina Andrade-11891.49
168337-Urbano Rodrigues-17033.34
599746-Anind Zarco-5784.17
301110-Elisa Themes-1723.18
303562-Oliveira Senchez-19968.71
332225-Lurdes Cotrim-19190.24
231316-Nuno Balsemeo-12987.60
375920-Tibofarcio Camacho-9149.11
700003-Anfnia Seixas-7810.77
679403-Domingos Pas-1865.84
328996-Taercio Mafra-15527.28
184209-Esperada Cardoso-16778.96
638605-Jonatas Felgueiras-7180.12
603466-Lurdes Cotrim-14203.13
143799-Esperada Cardoso-10321.33
421627-Jussara Varanda-4919.82
566840-Judite Damasceno-13352.13
520810-Liana Cardim-5591.05
905353-Telma Villalobos-5033.22
164362-Henrique Bento-15750.01
551945-Aludsio Sosa-12988.47
88739-Ubaldo Mainha-6575.47
476229-Elisa Themes-4907.02
280986-Emiliana Foquio-14283.06
403947-Urbano Rodrigues-10989.66
914185-Emedlio Pimentel-3889.04
964940-Fulvio Villegas-13114.71
292046-Odilia Camello-8535.08
530205-Letedcia Gago-18554.13
361547-Ubaldo Mainha-16970.94
260297-Romo Paranage-5201.62
403201-Quintino Alcantara-16612.51
958597-Edgar Carvalheiro-3812.43
42582-Almor Caiado-15535.24
439916-Oliveira Carmona-10554.45
970513-Polibe Olivares-8838.75
999301-Moaci Mendoa-8103.56
241246-Nuno Balsemeo-21336.48
104972-Oliveira Senchez-14736.95
290481-Guaraci Damasceno-17590.57
477176-Marilda Leio-10288.33
543111-Odete Vasques-8357.53
639789-Anind Zarco-7102.28
954873-Sara Lameiras-13702.70
575477-Letedcia Gago-20887.10
678103-Basilio Pedroso-17501.97
684380-Mercia Caeira-8467.13
677498-Basilio Pedroso-7134.70
178269-Clarindo Areosa-19095.75
608396-Quintino Alcantara-6433.82
648595-Domingos Pas-6373.76
850811-Spnia ou Sonia Guerreiro-10429.19
820134-Filomena Barrios-3700.75
516442-Dulce Froes-12570.30
769777-Emedlio Pimentel-8371.22
467734-Angilica Galante-2093.16
557202-Rebeca Neto-19100.01
3121-Heleedsa Marins-8081.94
613889-Flor Portella-20523.73
919713-Carminda Morais-10554.97
314843-Oliveira Senchez-16621.46
543225-Telma Villalobos-975.13
524412-Guaraci Damasceno-1703.33
249706-Delfina Perdigon-1143.66
245337-Tabalipa Duarte-14831.36
467574-Judite Damasceno-10371.20
403281-Heleedsa Marins-18076.77
568112-Gaudancio Fiees-3101.97
203313-Armanda Amorim-8258.10
413857-Oliveira Carmona-5332.47
522929-Sidfnio Frois-11915.61
7704-Andreia Moita-16821.04
927647-Lina Andrade-6931.45
922546-Anfnia Seixas-10823.95
463627-Spnia ou Sonia Guerreiro-20726.40
126367-Zungela Ipiranga-14576.24
105221-Micaela Chavez-9875.44
600922-Joaquim Rufino-15091.12
290968-Rodolfo Paz-15883.15
869980-Clara Alcantara-9872.46
462707-Liana Cardim-3492.85
201391-Neuza Francia-3118.09
969549-Taercio Mafra-19177.37
