129254-Delfina Perdigon-11645.03
524670-Edgar Carvalheiro-5826.69
149293-Nuno Balsemeo-18449.85
366848-Judite Damasceno-17904.96
287297-Camila Gabeira-18317.27
62721-Emedlio Pimentel-9348.52
754365-Ximena Castilho-10972.75
53721-Emedlio Pimentel-1881.11
217774-Andreia Moita-6119.66
358588-Emedlia Silvera-21051.57
115452-Polibe Olivares-15047.20
882373-Moaci Mendoa-10447.61
135805-Jonatas Felgueiras-16319.11
256475-Zungela Ipiranga-2137.94
20630-Spnia ou Sonia Guerreiro-12530.81
855200-Melinda Roserio-16671.44
205289-Adelina Quadros-10514.15
467286-Dulce Froes-14424.68
544175-Mercia Caeira-3592.02
47032-Armanda Amorim-14205.61
841719-Almor Caiado-11051.93
164595-Melinda Roserio-12190.75
672413-Nuno Balsemeo-17672.11
681321-Daniel Vieyra-12389.84
186520-Delfina Garcia de Gondim-11175.21
934708-Jorgina Bogalho-14393.76
51724-Flamednia Leiria-15185.81
960476-Angelica Aranha-12695.65
464307-Flor Portella-18511.09
450026-Celeste Duarte-866.73
592738-Honorina Lira-1885.14
488493-Angilica Galante-14626.79
145609-Basilio Pedroso-1968.68
713380-Aludsio Sosa-3835.49
591357-Oliveira Senchez-16657.35
550485-Taercio Mafra-15801.87
169839-Judite Damasceno-10617.55
720134-Joaquim Rufino-12077.15
738741-Oliveira Carmona-586.96
959785-Rebeca Neto-3741.46
258206-Jonatas Felgueiras-21117.38
265810-Quintiliano Sousa de Arronches-3337.43
348617-Marilda Leio-3798.89
158785-Nuno Balsemeo-17346.02
469141-Henrique Bento-3167.10
300316-Telma Villalobos-16742.61
507510-Judite Damasceno-10319.47
328716-Gaudancio Fiees-15886.67
714869-Gaudancio Fiees-4919.22
726495-Odilia Bello-2483.98
410626-Tabalipa Duarte-1311.73
608983-Zulmira Becerra-12454.38
486160-Nuno Balsemeo-5153.03
747275-Neeamia Arruda-18554.62
557297-Domingos Pas-624.48
619100-Cleusa Goes-5487.48
867390-Lurdes Cotrim-4587.72
386597-Edgar Carvalheiro-13111.01
137195-Fulvio Villegas-803.32
583493-Taercio Mafra-7650.58
659165-Almerinda Palmeira-13044.69
506006-Cassandra Varejo-18870.78
96156-Liana Cardim-18280.80
575226-Sara Lameiras-13243.44
172948-Heleedsa Marins-7594.18
480678-Dulce Froes-17990.37
565254-Oliveira Senchez-17284.21
596515-Tabalipa Duarte-16093.24
810947-Nuno Balsemeo-5019.77
947292-Guaraci Damasceno-6125.60
998039-Almor Caiado-1677.36
705041-Feledcia Peassego-12792.42
366814-Eurico Siqueira-21333.38
331973-Branco Saraba-9624.30
275657-Tibefarcio Colao-16486.03
667006-Carminda Morais-2136.00
322689-Tarrataca Soares-4791.65
233864-Angilica Galante-13297.62
278305-Celeste Duarte-590.89
138175-Delfina Perdigon-14540.36
56323-Judite Damasceno-14680.34
476078-Ermelinda Quintela-2322.56
973719-Polibe Olivares-11396.22
68111-Filomena Barrios-4104.71
506529-Anind Zarco-20477.46
878973-Joaquim Rufino-18189.30
804545-Almerinda Palmeira-2727.69
150634-Augusta Paio-155.19
852893-Delfina Garcia de Gondim-2107.97
15815-Sofras Cuaresma-9389.35
255596-Rodolfo Paz-8175.08
231402-Camila Gabeira-11509.84
965591-Nuno Balsemeo-16789.58
37967-Guaraci Damasceno-20820.26
56462-Elisa Themes-15370.49
194022-Quintiliano Sousa de Arronches-8034.44
414975-Antonio Viegas-16802.49
317277-Liana Cardim-16009.16
497445-Artur Grillo-272.85
766425-Urbano Rodrigues-17563.01
71510-Adelino Barra-9580.73
927091-Emedlio Pimentel-20953.04
38209-Telma Villalobos-47.86
288031-Jonatas Felgueiras-11148.24
8530-Honorina Lira-20928.80
991715-Cleusa Goes-2925.91
904592-Tarrataca Soares-2225.22
102554-Trajano Fagundes-2143.56
819466-Telma Villalobos-15978.53
333632-Judite Damasceno-1371.36
783228-Artur Grillo-15812.08
257281-Delfina Garcia de Gondim-9556.51
715517-Elisa Themes-6402.06
648007-Letedcia Gago-17744.94
122864-Flor Portella-4740.19
162967-Jorgina Bogalho-9340.10
647291-Tarrataca Soares-6784.31
896733-Judite Damasceno-21275.34
578278-Branco Saraba-10018.70
28468-Aludsio Sosa-18072.03
812174-Judite Damasceno-11875.03
668640-Taercio Mafra-21077.60
829268-Urbano Rodrigues-14239.92
292353-Romo Paranage-8151.56
95862-Henrique Bento-2157.95
779906-Rodolfo Paz-11629.58
571211-Letedcia Gago-1651.22
368400-Eurico Siqu84218-Odete Vasques-12696.34
79536-Zulmira Becerra-1939.99
20233-Ubaldo Mainha-20939.41
652518-Jorgina Bogalho-1087.46
464835-Lurdes Cotrim-13769.62
383010-Cassandra Varejo-7028.94
83723-Anfnia Seixas-17101.71
442763-Lina Andrade-7596.60
797194-Cassandra Varejo-874.41
806378-Sidfnio Frois-6778.61
867083-Flamednia Leiria-12255.45
164255-Emiliana Foquio-9971.41
974605-Flor Portella-3126.77
750600-Guida Juca-12223.30
836505-Regina Barcellos-13737.95
243667-Almerinda Palmeira-5996.94
433887-Tabalipa Duarte-8327.78
595248-Moaci Mendoa-5067.37
284060-Adelino Barra-2140.50
763733-Rodolfo Paz-19578.57
146917-Rebeca Neto-2122.40
680112-Branco Saraba-2039.21
696246-Tabalipa Duarte-8978.95
686342-Domingos Pas-4751.62
421943-Judite Damasceno-20409.99
635575-Trajano Fagundes-16817.59
226377-Almor Caiado-15577.09
20918-Delfina Garcia de Gondim-10698.21
475536-Zungela Ipiranga-19001.05
371038-Adelino Barra-403.85
127119-Silvio Mata-6645.32
944351-Quintino Alcantara-7472.12
418620-Delfim Higuera-4824.24
53809-Polibe Olivares-19641.11
535139-Romo Paranage-10060.49
327445-Anind Zarco-11326.85
813739-Celeste Duarte-8994.27
77742-Silvio Mata-20164.48
594923-Armanda Amorim-9484.40
162474-Odete Vasques-20778.11
586775-Guaraci Damasceno-17874.55
767613-Emedlio Pimentel-13029.15
869243-Oliveira Senchez-16213.34
866270-Jonatas Felgueiras-9079.04
541998-Rodolfo Paz-3849.56
216581-Edgar Carvalheiro-14262.83
166389-Lurdes Cotrim-3366.13
341662-Lina Andrade-962.07
854000-Urbano Rodrigues-12118.02
471113-Celeste Duarte-17499.65
473084-Camila Gabeira-15210.68
523184-Camila Gabeira-7373.52
785172-Estanislau Beserra-17502.21
471647-Neuza Francia-11626.04
785303-Tarrataca Soares-15971.46
664436-Angilica Galante-7998.79
228269-Melinda Roserio-4525.61
735882-Augusta Paio-21129.03
691843-Filomena Barrios-4082.73
604391-Tibofarcio Camacho-15337.45
844564-Carminda Morais-12347.34
55835-Lurdes Cotrim-1757.73
182553-Zungela Ipiranga-12515.59
159692-Liana Cardim-6495.47
557413-Branco Saraba-3338.48
394502-Letedcia Gago-13105.13
547461-Ermelinda Quintela-4172.57
797325-Edgar Carvalheiro-7009.93
770892-Delfim Higuera-20306.85
Romo Paranage-1896.47
986297-Tibofarcio Camacho-4375.46
301108-Telma Villalobos-19826.62
953530-Ximena Castilho-10365.13
938581-Ximena Castilho-6958.31
983356-Elisa Themes-21322.52
