727932-Romo Paranage-15482.28
565421-Branco Saraba-5921.22
103751-Artur Grillo-9344.17
955223-Quintiliano Sousa de Arronches-20562.51
229749-Odete Vasques-17934.72
161383-Spnia ou Sonia Guerreiro-11759.87
692779-Filomena Barrios-5325.97
120286-Domingos Pas-4228.31
504110-Aludsio Sosa-18593.46
85163-Branco Saraba-6373.06
698029-Feledcia Peassego-192.57
491208-Guaraci Damasceno-13918.22
543677-Sara Lameiras-19439.26
891291-Sara Lameiras-11003.97
612069-Rodolfo Paz-6051.44
474492-Ximena Castilho-13803.05
907479-Angelica Aranha-1765.14
313921-Mercia Caeira-19826.34
670804-Dulce Froes-21121.38
770808-Quintiliano Sousa de Arronches-7587.40
319077-Rebeca Neto-10404.38
713618-Adelino Barra-354.46
746717-Delfim Higuera-11389.89
196800-Delfim Higuera-3743.97
413984-Quintiliano Sousa de Arronches-21410.09
619417-Marilda Leio-2200.00
328266-Delfina Garcia de Gondim-6769.07
633625-Dulce Froes-4547.38
770044-Flor Portella-1189.25
768527-Celeste Duarte-19436.96
73205-Delfim Higuera-5735.31
634584-Trajano Fagundes-2677.61
534437-Tabalipa Duarte-16185.08
876516-Oliveira Senchez-12652.21
616044-Sara Lameiras-12641.51
499121-Sidfnio Frois-12612.87
203484-Basilio Pedroso-2851.32
938264-Neeamia Arruda-10157.65
307395-Rebeca Neto-17285.35
331340-Heleedsa Marins-21353.04
95261-Urbano Rodrigues-7258.93
813540-Artur Grillo-18145.28
977385-Almerinda Palmeira-3505.79
646825-Filomena Barrios-4254.55
713153-Moaci Mendoa-9920.71
788436-Antonio Castelo-5080.87
379872-Clara Alcantara-3538.06
878588-Liana Cardim-7057.45
631210-Tibefarcio Colao-13990.52
792189-Joaquim Rufino-2509.00
165038-Camila Gabeira-1675.11
585186-Carminda Morais-418.41
766253-Leonidas Mafra-20568.19
454955-Moaci Mendoa-9089.82
880797-Micaela Chavez-12676.95
974115-Esperada Cardoso-9790.00
354326-Adelina Quadros-2628.96
866048-Oliveira Carmona-19437.75
659259-Flamednia Leiria-339.22
504003-Letedcia Gago-10947.14
652456-Dulce Froes-6273.96
210526-Zulmira Becerra-13529.81
812797-Adelino Barra-13917.47
993708-Domingos Pas-2147.19
629774-Melinda Roserio-12345.99
853391-Emedlia Silvera-14205.73
647330-Domingos Pas-20339.28
764130-Micaela Chavez-12123.10
142056-Antonio Castelo-21189.70
572151-Ximena Castilho-399.90
902108-Clara Alcantara-14056.42
743540-Sofras Cuaresma-4993.69
426338-Heleedsa Marins-12831.82
444239-Cassandra Varejo-19601.76
960422-Eurico Siqueira-8083.22
171686-Oliveira Senchez-9671.75
899173-Emedlio Pimentel-7973.39
522755-Fulvio Villegas-6526.19
921021-Moaci Mendoa-12387.61
757884-Tibofarcio Camacho-18073.34
309181-Clarindo Areosa-4617.52
772655-Romo Paranage-16644.96
217140-Telma Villalobos-11624.38
408889-Angelica Aranha-10123.99
835561-Urbano Rodrigues-21233.59
377953-Quintiliano Sousa de Arronches-14680.47
493828-Trajano Fagundes-254.63
53864-Esperada Cardoso-2059.86
924110-Tibefarcio Colao-18059.07
796528-Fulvio Villegas-5641.81
658771-Antonio Viegas-18704.90
163295-Melinda Roserio-20572.63
36977-Liana Cardim-3299.96
125319-Taercio Mafra-2279.21
389325-Almor Caiado-19657.57
975121-Honorina Lira-3356.51
252450-Odilia Bello-10531.45
868643-Guida Juca-18571.99
104182-Zulmira Becerra-18126.39
133826-Dulce Froes-8909.52
980671-Zulmira Becerra-12796.11
612233-Celeste Duarte-892.91
739349-Sidfnio Frois-21143.28
304709-Tabalipa Duarte-479.69
785255-Angelica Aranha-1453.59
141411-Quintino Alcantara-10673.34
544862-Domingos Pas-16335.86
927486-Gaudancio Fiees-4939.71
295686-Daniel Vieyra-4485.92
570484-Edgar Carvalheiro-5887.26
542468-Manuel Capiperibe-5742.23
520818-Tabalipa Duarte-8668.35
761839-Filomena Barrios-9835.74
515375-Basilio Pedroso-20868.79
190316-Artur Grillo-8941.81
138574-Emiliana Foquio-16763.22
738104-Jonatas Felgueiras-16063.83
482734-Celeste Duarte-7098.27
459033-Celeste Duarte-13401.23
74758-Zulmira Becerra-10082.10
159142-Guaraci Damasceno-2782.68
854604-Delfina Perdigon-10207.89
840792-Armanda Amorim-9980.67
671035-Andreia Moita-5400.99
470651-Jorgina Bogalho-20222.89
145317-Melinda Roserio-9679.44
153803-Tarrataca Soares-20076.82
748559-Adelina Quadros-18996.81
830933-Heleedsa Marins-3536.57
505106-Sara Lameiras-13297.32
904904-Ermelinda Quintela-14238.91
43703-Manuel Capiperibe-19157.45
17384-Danilo Olaio-7471.03
565297-Neeamia Arruda-322.90
508502-Delfina Perdigon-19667.61
148607-Marilda Leio-2534.22
627023-Jorgina Bogalho-2545.76
488612-Domingos Pas-14563.25
693564-Eurico Siqueira-576.72
21213-Lina Andrade-8021.77
74749-Nuno Balsemeo-21310.82
396638-Ermelinda Quintela-3236.42
507700-Urbano Rodrigues-5416.59
202478-Filomena Barrios-16212.25
996348-Tibofarcio Camacho-13542.50
595977-Anfnia Seixas-6349.15
139940-Rebeca Neto-11395.42
399045-Anfnia Seixas-1795.46
339676-Clarindo Areosa-6122.40
937216-Urbano Rodrigues-16302.61
782777-Odilia Camello-20943.36
35499-Jorgina Bogalho-1352.49
549988-Camila Gabeira-10687.57
167036-Edgar Carvalheiro-15979.59
74030-Guida Juca-1154.72
257973-Oliveira Senchez-7910.68
864183-Odilia Camello-2977.24
46462-Emedlia Silvera-6431.23
69723-Armindo Castalo-15794.63
248547-Jorgina Bogalho-13129.17
637095-Trajano Fagundes-11732.16
107568-Odilia Bello-4367.67
220021-Aludsio Sosa-10193.17
508192-Artur Grillo-15204.84
21024-Odilia Bello-19725.58
299725-Angilica Galante-473.33
492900-Emiliana Foquio-2931.97
743926-Leonidas Mafra-8172.43
541413-Angilica Galante-9283.13
578927-Polibe Olivares-6840.78
394032-Clara Alcantara-8867.15
61477-Odete Vasques-15198.23
977902-Letedcia Gago-7595.59
167358-Edgar Carvalheiro-12950.67
315972-Ermelinda Quintela-4526.05
936444-Augusta Paio-17339.04
141103-Quintiliano Sousa de Arronches-14789.14
69889-Adelino Barra-8271.74
121847-Adelina Quadros-21057.15
636654-Guaraci Damasceno-16318.11
100582-Tabalipa Duarte-10357.21
780056-Henrique Bento-2642.99
226928-Sofras Cuaresma-16002.77
507537-Lina Andrade-18174.44
272569-Antonio Castelo-3662.76
112406-Eurico Siqueira-16572.13
801374-Celeste Duarte-388.70
170951-Delfina Garcia de Gondim-1039.40
300304-Adelina Quadros-3480.62
742804-Joaquim Rufino-2032.15
779703-Emedlia Silvera-9823.16
531744-Adelina Quadros-17110.96
106494-Augusta Paio-6788.39
756679-Eurico Siqueira-10523.46
990491-Ermelinda Quintela-571.35
828954-Domingos Pas-18132.48
88146-Danilo Olaio-20730.49
260967-Antonio Castelo-11297.36
124047-Flor Portella-19480.37
702448-Sara Lameiras-11612.96
124152-Jonatas Felgueiras-16010.76
266839-Silvio Mata-20066.07
708340-Flor Portella-17502.30
942907-Tibefarcio Colao-15915.03
