391629-Augusta Paio-2663.29
658175-Ermelinda Quintela-13803.45
555100-Flor Portella-16134.93
182653-Sara Lameiras-416.93
740781-Moaci Mendoa-13425.86
51351-Odilia Bello-20683.20
286628-Micaela Chavez-5368.87
496838-Danilo Olaio-13375.58
922519-Sofras Cuaresma-4530.78
477999-Silvio Mata-17543.59
954287-Rodolfo Paz-13707.73
537422-Flamednia Leiria-3749.48
134559-Emiliana Foquio-1440.19
409856-Aludsio Sosa-19442.02
122291-Dulce Froes-5544.59
199857-Neeamia Arruda-3260.27
684881-Ubaldo Mainha-21243.13
953946-Emedlia Silvera-20963.27
806824-Danilo Olaio-14027.65
836961-Emedlio Pimentel-20782.43
712499-Dulce Froes-17317.14
757181-Adelino Barra-17912.52
179176-Cleusa Goes-7959.02
93910-Joaquim Rufino-17603.12
701314-Lurdes Cotrim-19844.35
411397-Oliveira Carmona-9021.51
441666-Mercia Caeira-10248.36
875613-Honorina Lira-4893.06
383700-Andreia Moita-15931.13
969478-Liana Cardim-1674.66
914315-Joaquim Rufino-3051.79
665198-Mercia Caeira-20039.36
847600-Feledcia Peassego-2016.31
565676-Cleusa Goes-8067.25
485728-Zulmira Becerra-17134.27
381241-Delfina Perdigon-21168.38
303568-Taercio Mafra-19377.96
539335-Angelica Aranha-17131.88
134438-Taercio Mafra-6330.88
11396-Flamednia Leiria-12980.58
131855-Tibefarcio Colao-11674.88
482807-Oliveira Carmona-16121.53
601674-Edgar Carvalheiro-8595.17
139367-Adelina Quadros-12010.83
989391-Emedlia Silvera-2860.85
790389-Mercia Caeira-8164.66
258571-Branco Saraba-9707.70
562465-Elisa Themes-7258.26
172371-Henrique Bento-304.76
411465-Ximena Castilho-2874.88
116709-Liana Cardim-14276.20
601-Odete Vasques-8876.19
853028-Sidfnio Frois-4587.37
820460-Cleusa Goes-9368.76
29513-Trajano Fagundes-19348.66
665148-Almor Caiado-11421.72
655115-Elisa Themes-16084.31
473784-Zulmira Becerra-635.10
480418-Judite Damasceno-12916.82
575068-Angelica Aranha-4436.10
243565-Micaela Chavez-19817.27
916576-Dulce Froes-19162.44
742947-Oliveira Senchez-1036.13
602983-Emedlia Silvera-10404.33
546008-Esperada Cardoso-12384.63
90453-Domingos Pas-2636.44
101208-Gaudancio Fiees-2328.16
881841-Delfim Higuera-9362.90
488039-Dulce Froes-19397.70
86946-Adelino Barra-17288.62
173604-Edgar Carvalheiro-16016.21
879870-Branco Saraba-5780.54
721253-Delfina Perdigon-2703.14
299429-Almerinda Palmeira-15379.17
270116-Eurico Siqueira-12869.79
106354-Danilo Olaio-19510.70
631236-Rebeca Neto-516.87
586982-Neeamia Arruda-8545.69
568761-Cleusa Goes-7905.73
232593-Joaquim Rufino-20376.60
22646-Urbano Rodrigues-5883.50
539279-Branco Saraba-177.46
332148-Ermelinda Quintela-12134.68
221577-Tibefarcio Colao-3392.83
60732-Anind Zarco-4795.53
362772-Polibe Olivares-14216.60
825551-Jorgina Bogalho-128.07
587830-Nuno Balsemeo-89.11
672451-Rebeca Neto-14734.80
527128-Silvio Mata-14032.28
243280-Henrique Bento-2417.67
613528-Sara Lameiras-21183.07
38097-Nuno Balsemeo-3591.55
776286-Esperada Cardoso-15103.77
431079-Oliveira Carmona-1699.54
97539-Armanda Amorim-18713.17
833415-Estanislau Beserra-4356.59
256268-Adelina Quadros-3907.63
247939-Oliveira Carmona-5254.35
329170-Taercio Mafra-6319.62
586909-Lina Andrade-2917.22
194759-Letedcia Gago-11063.35
65294-Almerinda Palmeira-15063.74
887065-Polibe Olivares-17621.50
508555-Sara Lameiras-12640.97
683530-Artur Grillo-12991.95
34694-Urbano Rodrigues-16710.28
193285-Lina Andrade-2838.01
262637-Polibe Olivares-1395.65
811512-Cassandra Varejo-20288.94
105206-Guida Juca-15469.98
682718-Jorgina Bogalho-14297.09
566975-Angilica Galante-16947.74
606477-Guaraci Damasceno-14081.77
539153-Mercia Caeira-9092.02
942088-Quintiliano Sousa de Arronches-6774.02
661702-Almor Caiado-21344.37
39898-Zulmira Becerra-9981.47
180859-Sara Lameiras-15724.09
273387-Tibofarcio Camacho-10357.37
328260-Anind Zarco-7913.59
105108-Tabalipa Duarte-10810.41
733813-Marilda Leio-18756.08
736120-Judite Damasceno-13867.31
404668-Adelino Barra-11247.87
686887-Domingos Pas-12597.29
163964-Angelica Aranha-15153.90
185668-Carminda Morais-1799.47
524618-Neeamia Arruda-19391.28
912401-Edgar Carvalheiro-8759.17
710893-Joaquim Rufino-19172.46
23353-Flamednia Leiria-10598.67
560894-Anind Zarco-15576.01
872457-Honorina Lira-6218.53
877811-Honorina Lira-147.74
601865-Estanislau Beserra-10004.61
728147-Quintino Alcantara-5831.42
807705-Neuza Francia-4338.44
33824-Neuza Francia-8363.68
185494-Anind Zarco-19302.81
74226-Anind Zarco-14495.08
837930-Branco Saraba-9410.47
159325-Tibofarcio Camacho-18346.08
89034-Sofras Cuaresma-15299.97
266237-Adelina Quadros-14353.91
230088-Adelino Barra-3125.10
439027-Odete Vasques-9862.38
554758-Anfnia Seixas-12960.45
617178-Micaela Chavez-925.96
323498-Oliveira Senchez-10957.81
947107-Delfina Perdigon-10463.72
332615-Ermelinda Quintela-7357.26
585132-Tibofarcio Camacho-12448.85
954823-Judite Damasceno-1544.91
694161-Rodolfo Paz-9987.57
691461-Odilia Bello-6075.03
666314-Antonio Castelo-2404.59
299038-Anind Zarco-14130.13
258947-Delfina Perdigon-101.47
103365-Flor Portella-1184.71
744692-Tarrataca Soares-4664.18
893821-Melinda Roserio-8237.50
606811-Branco Saraba-1028.52
444554-Aludsio Sosa-20088.06
279509-Delfina Garcia de Gondim-7210.17
22190-Flor Portella-5492.25
274462-Tabalipa Duarte-3464.08
280826-Tarrataca Soares-6957.07
332634-Celeste Duarte-20309.65
496415-Honorina Lira-8935.85
441311-Eurico Siqueira-13613.30
757900-Tibefarcio Colao-5887.40
316816-Delfina Perdigon-16643.47
761034-Filomena Barrios-21277.91
695938-Augusta Paio-13615.87
904119-Judite Damasceno-8011.26
615663-Angilica Galante-7589.17
785951-Zulmira Becerra-737.14
486093-Tabalipa Duarte-415.63
333266-Flor Portella-7550.59
650969-Flamednia Leiria-11625.01
386309-Melinda Roserio-1627.75
388253-Guida Juca-6390.92
725583-Spnia ou Sonia Guerreiro-16888.53
902177-Silvio Mata-13190.65
95844-Polibe Olivares-5284.85
514398-Regina Barcellos-20721.01
340505-Artur Grillo-18954.03
389555-Romo Paranage-14114.06
404144-Micaela Chavez-6302.55
520340-Liana Cardim-18179.06
482835-Andreia Moita-11458.09
669100-Carminda Morais-15851.97
235000-Neuza Francia-10914.39
108739-Jussara Varanda-16733.41
569826-Armindo Castalo-19044.37
673154-Silvio Mata-1864.68
176834-Marilda Leio-11608.09
427100-Sofras Cuaresma-12281.98
723882-Odilia Camello-2721.19
79947-Romo Paranage-13336.39
452958-Joaquim Rufino-14791.22
600815-Cleusa Goes-12973.07
840334-Romo Paranage-3050.59
