983827-Esperada Cardoso-6673.52
851226-Urbano Rodrigues-12069.88
958691-Jonatas Felgueiras-9375.73
699427-Anfnia Seixas-8093.82
951292-Neeamia Arruda-664.06
321752-Guida Juca-18048.42
278306-Polibe Olivares-7032.64
204033-Andreia Moita-13009.30
937768-Oliveira Senchez-10989.86
652560-Almerinda Palmeira-7690.85
195411-Odilia Bello-11564.75
991184-Artur Grillo-348.42
883280-Angelica Aranha-19898.01
299136-Tibefarcio Colao-8090.17
459398-Odete Vasques-4514.85
721667-Flamednia Leiria-11728.06
794967-Clarindo Areosa-19380.85
129443-Eurico Siqueira-11578.05
100048-Basilio Pedroso-6152.59
471575-Antonio Viegas-6114.28
155577-Sofras Cuaresma-431.40
726801-Spnia ou Sonia Guerreiro-2291.31
802667-Dulce Froes-5680.14
451626-Almor Caiado-12503.13
482518-Camila Gabeira-14717.73
919289-Esperada Cardoso-19644.95
714632-Melinda Roserio-3088.06
773856-Clarindo Areosa-13609.35
279296-Jussara Varanda-3705.52
286664-Guaraci Damasceno-11040.23
378626-Almor Caiado-10406.95
945412-Filomena Barrios-6059.38
870951-Manuel Capiperibe-10067.41
597582-Odete Vasques-10331.92
857437-Quintiliano Sousa de Arronches-14946.75
601808-Honorina Lira-3101.11
152446-Trajano Fagundes-14318.25
820362-Quintino Alcantara-12681.16
293237-Augusta Paio-11199.11
25193-Polibe Olivares-20861.98
185140-Carminda Morais-6410.93
1195-Marilda Leio-885.55
431838-Oliveira Carmona-4634.26
393052-Melinda Roserio-16080.23
183975-Carminda Morais-363.97
747653-Neuza Francia-4949.99
322104-Zulmira Becerra-20091.51
702297-Spnia ou Sonia Guerreiro-744.88
534027-Odilia Camello-1437.81
917343-Oliveira Senchez-6848.06
840171-Jussara Varanda-1615.08
458090-Guida Juca-7645.09
14253-Tibofarcio Camacho-5754.57
827680-Neeamia Arruda-1623.67
833644-Sofras Cuaresma-7755.51
31015-Anind Zarco-17392.98
339084-Domingos Pas-7231.37
988834-Armindo Castalo-1833.55
754121-Emiliana Foquio-14808.89
946946-Guida Juca-6913.23
853973-Jussara Varanda-10661.63
853829-Anfnia Seixas-14986.21
408277-Adelino Barra-4471.52
904620-Ximena Castilho-10659.80
424090-Neeamia Arruda-933.30
340475-Gaudancio Fiees-11713.61
255583-Regina Barcellos-3152.16
354565-Antonio Castelo-11042.05
425079-Neeamia Arruda-5114.75
793065-Oliveira Senchez-18044.22
451014-Adelina Quadros-6267.93
133121-Mercia Caeira-19146.46
324230-Tabalipa Duarte-14615.71
488883-Feledcia Peassego-18784.76
503780-Esperada Cardoso-4784.16
585602-Honorina Lira-15927.57
482000-Zungela Ipiranga-14215.29
515080-Emiliana Foquio-19738.83
903491-Telma Villalobos-11768.25
697613-Flor Portella-13216.18
814788-Odilia Bello-9455.85
611540-Rodolfo Paz-2102.34
29607-Carminda Morais-20275.59
115948-Quintino Alcantara-5305.64
181889-Danilo Olaio-1765.84
577428-Almerinda Palmeira-17411.70
333579-Lurdes Cotrim-5211.68
822130-Ermelinda Quintela-15346.83
515564-Fulvio Villegas-6701.03
200706-Moaci Mendoa-15558.01
308151-Andreia Moita-5881.32
724575-Micaela Chavez-9807.43
787457-Angilica Galante-20847.73
454128-Edgar Carvalheiro-524.05
596506-Tarrataca Soares-2445.87
155033-Adelino Barra-6071.65
986535-Armindo Castalo-1640.14
862948-Letedcia Gago-13778.37
138837-Trajano Fagundes-10578.68
239282-Taercio Mafra-18630.69
473700-Sara Lameiras-13028.94
293105-Melinda Roserio-41.35
346970-Jorgina Bogalho-20289.22
475877-Tarrataca Soares-2488.93
685061-Augusta Paio-8374.89
478303-Neeamia Arruda-21256.44
441204-Judite Damasceno-14111.47
88469-Clara Alcantara-1155.26
418826-Judite Damasceno-2126.65
368472-Flor Portella-7319.04
118666-Esperada Cardoso-8473.78
516902-Angilica Galante-15046.71
658366-Sofras Cuaresma-7665.34
89019-Tibofarcio Camacho-6605.27
924809-Aludsio Sosa-17172.12
863976-Almerinda Palmeira-19656.90
451246-Spnia ou Sonia Guerreiro-9996.48
569252-Cassandra Varejo-14877.36
523774-Tibofarcio Camacho-6696.71
863080-Flor Portella-13630.40
787877-Heleedsa Marins-8286.75
606315-Anind Zarco-18021.92
559322-Filomena Barrios-9693.66
950707-Jorgina Bogalho-4149.72
234598-Quintiliano Sousa de Arronches-1914.13
523855-Andreia Moita-5432.77
973509-Emedlio Pimentel-20777.28
570097-Tarrataca Soares-6638.14
209269-Neuza Francia-19743.38
997160-Odete Vasques-6247.17
205756-Eurico Siqueira-6255.05
792406-Melinda Roserio-11321.11
566566-Angelica Aranha-11.87
875208-Mercia Caeira-14091.38
226913-Telma Villalobos-13098.88
790391-Tarrataca Soares-5409.29
76648-Silvio Mata-12279.02
494184-Emedlia Silvera-4869.89
680525-Antonio Castelo-5811.98
538145-Cassandra Varejo-17231.95
435516-Jorgina Bogalho-3499.17
524009-Almerinda Palmeira-16037.10
804173-Cleusa Goes-5467.93
967079-Angelica Aranha-931.84
618098-Esperada Cardoso-9034.11
165688-Daniel Vieyra-3997.18
506529-Odilia Camello-5477.94
575515-Carminda Morais-1998.05
974603-Emiliana Foquio-8434.85
227566-Lurdes Cotrim-10010.24
197486-Fulvio Villegas-20354.59
188592-Spnia ou Sonia Guerreiro-4804.99
774494-Urbano Rodrigues-2858.20
63570-Micaela Chavez-2733.03
6528-Guaraci Damasceno-8579.22
837966-Daniel Vieyra-836.04
114443-Zulmira Becerra-6411.10
293117-Anind Zarco-3132.02
460436-Flor Portella-19111.77
825670-Quintiliano Sousa de Arronches-9669.20
418683-Danilo Olaio-2526.34
412529-Sofras Cuaresma-3938.23
632316-Neuza Francia-3751.14
160964-Sara Lameiras-1976.94
357329-Guida Juca-12707.00
481029-Adelino Barra-6090.55
838806-Sidfnio Frois-9011.69
474604-Emedlia Silvera-12274.62
915313-Eurico Siqueira-20749.22
357809-Armanda Amorim-18772.64
340238-Oliveira Senchez-2102.00
781764-Quintiliano Sousa de Arronches-17186.12
722749-Danilo Olaio-15637.61
70-Ximena Castilho-2924.38
580805-Guida Juca-1453.12
83053-Moaci Mendoa-20257.93
188854-Delfina Garcia de Gondim-20386.32
921091-Leonidas Mafra-7316.23
338926-Daniel Vieyra-4520.54
966018-Armindo Castalo-20434.12
513583-Sofras Cuaresma-642.69
695458-Esperada Cardoso-8450.50
700235-Anind Zarco-5712.89
335113-Gaudancio Fiees-16762.89
147310-Armindo Castalo-1383.87
176059-Manuel Capiperibe-11104.70
775677-Melinda Roserio-3811.75
544257-Oliveira Senchez-7390.96
774916-Zungela Ipiranga-3499.51
960793-Sidfnio Frois-11249.17
411206-Angilica Galante-18834.31
61192-Ubaldo Mainha-7306.43
839630-Emedlio Pimentel-2078.59
895190-Ubaldo Mainha-6901.94
388836-Marilda Leio-2278.58
194250-Edgar Carvalheiro-915.51
308812-Angilica Galante-8903.26
571328-Danilo Olaio-13778.71
972756-Nuno Balsemeo-6341.62
912055-Elisa Themes-7341.23
296092-Dulce Froes-14075.34
432399-Spnia ou Sonia Guerreiro-7171.11
135446-Sara Lameiras-3814.67
127982-Eurico Siqueira-19643.62
926429-Liana Cardim-14632.68
111592-Telma Villalobos-11709.78
282876-Zulmira Becerra-9658.03
629136-Augusta Paio-7388.91
