449851-Lurdes Cotrim-1627.45
6762-Melinda Roserio-8726.04
699219-Telma Villalobos-4441.20
562964-Joaquim Rufino-20645.52
706935-Regina Barcellos-3854.08
197267-Rodolfo Paz-7897.87
116590-Lina Andrade-15302.04
694467-Augusta Paio-8670.01
893983-Filomena Barrios-18481.96
594115-Telma Villalobos-7153.00
1026-Filomena Barrios-17039.88
564991-Telma Villalobos-8835.11
323807-Quintino Alcantara-10722.11
534997-Armindo Castalo-15777.74
215301-Emiliana Foquio-13299.97
32782-Jorgina Bogalho-877.10
519963-Rodolfo Paz-1778.27
735075-Dulce Froes-3165.22
14791-Carminda Morais-4094.16
506933-Nuno Balsemeo-15670.10
701824-Antonio Viegas-7305.27
991218-Armanda Amorim-16810.92
368209-Sofras Cuaresma-17534.16
381339-Clarindo Areosa-13164.67
462405-Ximena Castilho-13786.83
951691-Tarrataca Soares-1522.32
227644-Odilia Bello-14507.52
223725-Clara Alcantara-2540.03
736808-Anind Zarco-12470.18
445327-Letedcia Gago-7730.41
970250-Emedlio Pimentel-4932.59
483460-Angelica Aranha-7172.50
24424-Edgar Carvalheiro-1701.35
776009-Lina Andrade-14435.16
333885-Tarrataca Soares-1594.95
372282-Adelina Quadros-9984.47
637523-Oliveira Carmona-4551.91
729848-Oliveira Senchez-599.31
343722-Cassandra Varejo-6796.68
373130-Zulmira Becerra-20151.13
928539-Aludsio Sosa-4866.00
10975-Polibe Olivares-20930.83
701782-Antonio Viegas-12756.24
324766-Emedlia Silvera-12539.16
931278-Micaela Chavez-14582.50
220267-Silvio Mata-10711.39
740867-Almor Caiado-1802.93
529393-Heleedsa Marins-11110.22
320921-Honorina Lira-20323.66
130241-Elisa Themes-12062.56
496991-Micaela Chavez-1997.01
122995-Anfnia Seixas-18907.12
515823-Delfina Perdigon-15179.30
527333-Liana Cardim-8347.71
87920-Daniel Vieyra-11577.02
627285-Oliveira Carmona-17179.22
129823-Zulmira Becerra-5201.80
823178-Clara Alcantara-11627.09
447427-Neuza Francia-17520.30
739379-Fulvio Villegas-13876.76
660712-Moaci Mendoa-8426.90
698030-Antonio Viegas-6103.29
818439-Eurico Siqueira-14078.45
79069-Tabalipa Duarte-12578.89
772280-Marilda Leio-16039.77
715605-Leonidas Mafra-4581.20
314031-Cassandra Varejo-9662.50
205081-Delfim Higuera-14360.73
118603-Aludsio Sosa-19275.21
431024-Daniel Vieyra-9727.76
999121-Esperada Cardoso-5869.53
267787-Heleedsa Marins-12566.52
764349-Edgar Carvalheiro-7799.86
190589-Jorgina Bogalho-4325.82
903978-Taercio Mafra-14683.54
835793-Cassandra Varejo-10505.86
689951-Nuno Balsemeo-2504.16
240023-Honorina Lira-13956.21
499051-Liana Cardim-13022.56
304307-Gaudancio Fiees-20026.87
786032-Heleedsa Marins-4082.03
473922-Dulce Froes-10134.71
7324-Jonatas Felgueiras-14142.35
385708-Henrique Bento-9809.42
652761-Polibe Olivares-5483.62
412755-Angilica Galante-12741.98
809328-Clara Alcantara-5814.04
455950-Odete Vasques-11376.44
175801-Clarindo Areosa-19581.44
449012-Honorina Lira-4999.64
498610-Joaquim Rufino-2982.66
501660-Tarrataca Soares-482.57
672543-Delfina Garcia de Gondim-3602.64
829699-Jonatas Felgueiras-4946.50
568549-Artur Grillo-17093.03
177725-Branco Saraba-13132.32
889184-Odilia Bello-19120.41
500607-Almor Caiado-1770.13
766130-Sidfnio Frois-18391.89
288005-Odilia Camello-2361.54
497256-Gaudancio Fiees-6356.53
425708-Trajano Fagundes-14771.55
341150-Micaela Chavez-18698.27
491578-Fulvio Villegas-4461.73
100286-Esperada Cardoso-19337.42
71252-Estanislau Beserra-13584.36
240269-Neuza Francia-19183.25
329994-Guida Juca-17163.42
64097-Rodolfo Paz-6.25
457981-Danilo Olaio-2209.13
332306-Romo Paranage-849.26
956752-Henrique Bento-8.68
354298-Lurdes Cotrim-9822.09
499563-Odete Vasques-1482.17
810960-Romo Paranage-6273.18
941250-Camila Gabeira-8203.89
819542-Tibofarcio Camacho-20016.29
738810-Clara Alcantara-4574.75
671358-Sidfnio Frois-16205.40
309339-Henrique Bento-10065.14
618118-Daniel Vieyra-12628.46
63600-Lina Andrade-5403.19
696503-Ximena Castilho-10346.74
156664-Armanda Amorim-9586.90
790136-Armindo Castalo-8070.17
681818-Moaci Mendoa-1414.74
525789-Eurico Siqueira-2752.94
211232-Lurdes Cotrim-9730.33
755106-Danilo Olaio-2642.21
407190-Quintiliano Sousa de Arronches-21355.30
488193-Sara Lameiras-3806.64
495370-Fulvio Villegas-20777.28
854430-Jorgina Bogalho-1139.41
455579-Delfina Garcia de Gondim-6540.97
757691-Marilda Leio-19968.88
893756-Adelina Quadros-17810.86
902322-Regina Barcellos-13651.28
572714-Clara Alcantara-5198.55
718575-Clara Alcantara-9616.11
920354-Artur Grillo-5435.34
152383-Cleusa Goes-16340.22
714266-Spnia ou Sonia Guerreiro-230.34
628163-Joaquim Rufino-64.05
699316-Romo Paranage-4188.60
976344-Adelina Quadros-14086.18
786559-Tarrataca Soares-14555.12
554860-Camila Gabeira-13799.30
133492-Regina Barcellos-10360.20
744914-Guida Juca-8812.54
576836-Antonio Viegas-3886.91
971303-Artur Grillo-5648.44
513727-Estanislau Beserra-5250.74
300414-Guaraci Damasceno-8097.02
544219-Sofras Cuaresma-3059.18
369101-Marilda Leio-21198.94
114254-Guida Juca-6161.97
461495-Anind Zarco-2312.69
936613-Romo Paranage-12404.02
267193-Sara Lameiras-3216.63
724693-Flamednia Leiria-20342.40
716304-Emiliana Foquio-20712.11
246570-Flamednia Leiria-8132.41
810861-Basilio Pedroso-3380.58
263608-Antonio Viegas-7596.02
93094-Guida Juca-5844.88
57009-Fulvio Villegas-18096.02
532757-Jussara Varanda-19210.64
455365-Anind Zarco-1365.17
913899-Polibe Olivares-12707.84
626935-Edgar Carvalheiro-19905.09
31178-Tibofarcio Camacho-6917.41
279012-Quintiliano Sousa de Arronches-11559.88
117407-Domingos Pas-12587.99
658176-Judite Damasceno-10065.79
116986-Regina Barcellos-8181.88
986534-Antonio Castelo-21022.45
53379-Esperada Cardoso-20192.94
905086-Quintino Alcantara-19492.66
158795-Antonio Castelo-7806.96
75771-Telma Villalobos-15423.23
749203-Odilia Camello-3278.71
150394-Quintino Alcantara-19971.50
309423-Fulvio Villegas-6327.83
526706-Cassandra Varejo-13394.42
346460-Feledcia Peassego-1280.75
654140-Clarindo Areosa-12660.61
80352-Artur Grillo-10746.31
86590-Clarindo Areosa-19325.36
609468-Sidfnio Frois-7852.11
432531-Delfim Higuera-1018.03
764122-Adelino Barra-19165.53
353247-Esperada Cardoso-18582.19
446478-Emedlia Silvera-7400.45
338323-Jonatas Felgueiras-10475.72
808743-Augusta Paio-13929.18
983536-Lina Andrade-2130.89
919711-Sofras Cuaresma-14651.69
666377-Guida Juca-6277.72
195253-Leonidas Mafra-21323.82
420237-Estanislau Beserra-8073.31
484616-Oliveira Senchez-7906.11
419569-Letedcia Gago-6264.81
20460-Manuel Capiperibe-14709.27
404695-Oliveira Carmona-2877.82
