25143-Artur Grillo-12517.80
355949-Oliveira Carmona-1492.74
104099-Branco Saraba-6976.22
573073-Flor Portella-19768.33
923558-Fulvio Villegas-14586.94
857901-Gaudancio Fiees-16794.13
24275-Taercio Mafra-4151.57
257896-Jussara Varanda-9737.40
287424-Cleusa Goes-13110.86
911984-Anfnia Seixas-557.24
182343-Artur Grillo-17850.50
454816-Fulvio Villegas-16209.22
133943-Sara Lameiras-12515.42
454660-Emedlio Pimentel-3466.32
721056-Quintino Alcantara-7495.55
545753-Antonio Castelo-5549.30
38899-Clarindo Areosa-9259.54
355245-Ubaldo Mainha-8257.28
753701-Spnia ou Sonia Guerreiro-20610.16
136577-Almerinda Palmeira-10624.44
981086-Armanda Amorim-16796.26
798452-Cleusa Goes-18380.81
373397-Emedlia Silvera-18642.15
86480-Cleusa Goes-17701.86
149269-Carminda Morais-9174.23
422599-Mercia Caeira-16279.69
109010-Filomena Barrios-9495.24
468786-Artur Grillo-13608.80
568881-Manuel Capiperibe-1971.50
271820-Taercio Mafra-7982.86
182422-Celeste Duarte-19552.67
175287-Micaela Chavez-1475.82
90011-Honorina Lira-19669.55
63399-Henrique Bento-16685.58
668523-Aludsio Sosa-12292.24
828942-Melinda Roserio-21076.47
435261-Clara Alcantara-16882.72
995403-Quintino Alcantara-3862.57
283618-Emedlia Silvera-13228.26
620032-Neeamia Arruda-15140.98
400279-Feledcia Peassego-10157.97
806700-Micaela Chavez-16129.72
326817-Estanislau Beserra-6315.78
61869-Fulvio Villegas-14706.42
499219-Odilia Bello-1818.26
876275-Zulmira Becerra-18096.55
222439-Emiliana Foquio-4666.07
609314-Lurdes Cotrim-13736.02
392144-Basilio Pedroso-10614.02
808280-Flor Portella-15910.22
27001-Ubaldo Mainha-18774.23
29395-Sidfnio Frois-14527.46
613912-Sofras Cuaresma-75.89
670303-Ermelinda Quintela-15536.51
801400-Armanda Amorim-14186.66
156472-Rodolfo Paz-5200.59
674470-Antonio Castelo-4857.98
980757-Ximena Castilho-1179.23
544118-Adelina Quadros-7773.16
449786-Tabalipa Duarte-5136.40
453231-Jussara Varanda-1251.84
769578-Oliveira Senchez-15672.13
574114-Armanda Amorim-6923.43
956852-Camila Gabeira-16150.13
981189-Guaraci Damasceno-17088.15
348354-Honorina Lira-554.88
887287-Zungela Ipiranga-9101.62
33251-Lurdes Cotrim-16661.43
781648-Neuza Francia-5622.03
448800-Angelica Aranha-10686.53
654741-Zulmira Becerra-4046.23
283396-Ermelinda Quintela-17333.92
174171-Tarrataca Soares-2254.83
170235-Urbano Rodrigues-8074.40
817105-Almor Caiado-6549.37
130352-Sara Lameiras-20972.86
18956-Emiliana Foquio-5016.89
705355-Trajano Fagundes-6297.23
315217-Odete Vasques-17075.04
757037-Spnia ou Sonia Guerreiro-5014.69
839095-Emiliana Foquio-7501.24
588394-Antonio Castelo-359.24
583383-Almerinda Palmeira-19590.98
921624-Gaudancio Fiees-847.85
273420-Sara Lameiras-2616.02
472876-Oliveira Carmona-17607.32
643759-Joaquim Rufino-8072.67
493245-Romo Paranage-344.89
2091-Antonio Castelo-17078.04
198062-Feledcia Peassego-1620.78
80001-Melinda Roserio-2059.17
68435-Sidfnio Frois-19645.05
481998-Oliveira Senchez-5626.05
862100-Andreia Moita-9875.27
198298-Tarrataca Soares-5593.16
471781-Danilo Olaio-9867.89
547255-Clara Alcantara-1779.49
828360-Oliveira Carmona-11904.42
831994-Ubaldo Mainha-13954.45
339805-Jorgina Bogalho-13551.59
833299-Angilica Galante-21382.39
450863-Angelica Aranha-20018.24
992247-Tarrataca Soares-5318.22
147974-Ximena Castilho-1012.01
88280-Delfina Perdigon-15173.99
630269-Sofras Cuaresma-11403.87
420647-Joaquim Rufino-10674.51
478370-Branco Saraba-18002.79
541496-Celeste Duarte-18211.11
408892-Tibofarcio Camacho-6899.67
353945-Manuel Capiperibe-10558.00
215752-Cassandra Varejo-15212.51
99059-Polibe Olivares-21222.44
103600-Sofras Cuaresma-5229.08
634649-Flor Portella-11029.96
481978-Emedlio Pimentel-19766.26
634815-Sidfnio Frois-6095.63
736920-Flor Portella-21040.42
281537-Zulmira Becerra-521.00
787111-Leonidas Mafra-4565.09
451702-Neuza Francia-13318.62
388017-Telma Villalobos-7365.95
148137-Armanda Amorim-6352.10
246766-Anind Zarco-15903.14
546003-Emedlio Pimentel-2944.65
760499-Elisa Themes-16019.47
362035-Quintino Alcantara-570.98
414220-Fulvio Villegas-1328.35
778116-Anfnia Seixas-8721.16
253015-Melinda Roserio-15229.03
695073-Branco Saraba-12928.71
453941-Clarindo Areosa-1727.76
980484-Tibofarcio Camacho-1644.40
266948-Anind Zarco-17996.87
461308-Rebeca Neto-8847.49
651844-Polibe Olivares-10845.10
501529-Eurico Siqueira-13918.72
914660-Daniel Vieyra-7268.02
369605-Zungela Ipiranga-8895.81
440566-Sidfnio Frois-15538.34
20083-Odete Vasques-12620.45
462100-Delfina Garcia de Gondim-10700.15
15075-Oliveira Carmona-3515.12
778067-Esperada Cardoso-12287.79
371027-Letedcia Gago-20772.40
428606-Clarindo Areosa-18524.09
949134-Polibe Olivares-3834.26
567427-Henrique Bento-4273.41
20404-Eurico Siqueira-19407.11
589603-Ximena Castilho-6806.68
578487-Rebeca Neto-13986.88
955110-Almerinda Palmeira-11316.66
107490-Manuel Capiperibe-6161.98
183764-Celeste Duarte-4874.92
979754-Tarrataca Soares-1883.79
525111-Joaquim Rufino-133.24
580334-Fulvio Villegas-15642.74
540163-Zulmira Becerra-6033.57
786113-Anfnia Seixas-15583.78
129005-Silvio Mata-10064.84
821854-Zulmira Becerra-4705.79
559733-Manuel Capiperibe-12435.34
829287-Almerinda Palmeira-13506.41
611001-Lurdes Cotrim-9563.41
171823-Adelina Quadros-18603.21
489412-Ximena Castilho-6523.62
248316-Regina Barcellos-5644.59
917362-Tibofarcio Camacho-8409.99
443912-Letedcia Gago-613.02
681221-Delfim Higuera-12624.31
102559-Spnia ou Sonia Guerreiro-17032.53
728009-Angelica Aranha-4983.29
19672-Neuza Francia-8651.58
508974-Taercio Mafra-10077.69
6688-Danilo Olaio-74.57
883840-Nuno Balsemeo-20889.46
569037-Jorgina Bogalho-5147.11
560469-Gaudancio Fiees-21106.29
392860-Andreia Moita-8615.89
635670-Cassandra Varejo-8557.86
362149-Esperada Cardoso-6264.05
667136-Tibefarcio Colao-15721.33
22095-Romo Paranage-5296.69
18163-Danilo Olaio-2626.95
871809-Tibefarcio Colao-12587.01
46435-Clarindo Areosa-15585.85
99858-Nuno Balsemeo-11756.71
612411-Dulce Froes-16742.31
640609-Aludsio Sosa-15101.40
970566-Almor Caiado-942.92
731287-Manuel Capiperibe-5806.54
260977-Romo Paranage-12923.22
119369-Oliveira Carmona-13253.44
652104-Tibefarcio Colao-20303.62
953830-Honorina Lira-687.50
712722-Ximena Castilho-15957.96
934545-Sofras Cuaresma-8214.13
867615-Filomena Barrios-4575.41
945646-Liana Cardim-13451.82
128903-Zungela Ipiranga-13981.53
98606-Estanislau Beserra-18788.84
990020-Melinda Roserio-1956.61
