888512-Polibe Olivares-13349.24
800219-Dulce Froes-18343.33
706381-Guida Juca-16762.17
939943-Aludsio Sosa-1131.37
95501-Odete Vasques-11476.21
925568-Melinda Roserio-7784.50
990752-Basilio Pedroso-5026.99
612665-Adelina Quadros-18843.93
971699-Emedlio Pimentel-895.25
858954-Taercio Mafra-13161.81
504929-Regina Barcellos-8861.32
548809-Filomena Barrios-15419.32
633440-Oliveira Senchez-3821.55
209140-Delfina Perdigon-476.11
134245-Danilo Olaio-13737.07
167768-Odilia Camello-8531.48
385784-Oliveira Senchez-2726.55
852352-Marilda Leio-21242.68
95052-Quintino Alcantara-9917.56
453388-Armanda Amorim-13316.15
626935-Adelina Quadros-15841.20
380067-Lina Andrade-18806.69
982562-Adelina Quadros-8718.19
801737-Emedlio Pimentel-16670.28
274719-Daniel Vieyra-10226.78
368145-Sara Lameiras-1383.63
911818-Flor Portella-7667.48
670945-Clarindo Areosa-10826.01
822809-Jorgina Bogalho-162.12
16139-Sofras Cuaresma-19206.65
390351-Zulmira Becerra-8828.09
412604-Celeste Duarte-16851.89
366764-Sara Lameiras-18671.71
991916-Esperada Cardoso-9574.89
711653-Telma Villalobos-12167.64
654178-Antonio Castelo-16451.32
261413-Basilio Pedroso-8735.61
524110-Odilia Camello-15522.31
54933-Emedlia Silvera-12705.71
858286-Esperada Cardoso-1181.03
793123-Delfim Higuera-15584.93
364373-Sidfnio Frois-354.22
604494-Honorina Lira-13857.89
179630-Lina Andrade-16967.81
298920-Emedlia Silvera-10160.09
96611-Anind Zarco-7171.80
256822-Joaquim Rufino-16534.41
165338-Tarrataca Soares-19499.65
190863-Estanislau Beserra-15835.36
428451-Delfina Garcia de Gondim-15459.11
847841-Cassandra Varejo-10212.21
75968-Branco Saraba-15935.85
9253-Quintiliano Sousa de Arronches-8487.06
630256-Angelica Aranha-18058.85
257068-Eurico Siqueira-18371.84
648056-Jorgina Bogalho-19652.81
171364-Dulce Froes-1810.54
771516-Carminda Morais-15462.19
119457-Eurico Siqueira-7009.27
554348-Honorina Lira-19563.55
575976-Ermelinda Quintela-7907.19
607397-Flor Portella-2343.12
577566-Henrique Bento-19723.21
336895-Silvio Mata-14294.67
877302-Tibofarcio Camacho-17107.24
943142-Leonidas Mafra-18853.72
704947-Guida Juca-14510.60
907778-Delfim Higuera-12813.48
592097-Nuno Balsemeo-7809.84
329189-Basilio Pedroso-12205.38
493692-Jussara Varanda-5706.31
878729-Marilda Leio-3897.54
365026-Oliveira Senchez-7133.32
557076-Flor Portella-7796.69
150863-Emiliana Foquio-1380.63
445306-Rebeca Neto-19520.06
537016-Feledcia Peassego-4962.27
682816-Cassandra Varejo-17191.35
48044-Lina Andrade-11282.43
856266-Urbano Rodrigues-3070.89
535935-Armindo Castalo-8015.82
934890-Delfim Higuera-14854.61
161805-Angilica Galante-18048.26
709581-Sara Lameiras-4609.00
241177-Melinda Roserio-14070.50
13663-Emedlio Pimentel-380.12
158743-Lina Andrade-4665.49
396836-Antonio Viegas-7262.32
466756-Lurdes Cotrim-2157.96
553368-Almerinda Palmeira-17836.53
178317-Tabalipa Duarte-9437.05
433930-Honorina Lira-6341.56
443958-Tibefarcio Colao-10893.18
785965-Anfnia Seixas-21340.28
313200-Filomena Barrios-9027.85
902965-Regina Barcellos-12537.99
14753-Emedlia Silvera-7774.74
869865-Angilica Galante-9248.71
859727-Danilo Olaio-8298.54
92789-Lina Andrade-12734.07
930943-Elisa Themes-13285.85
351531-Ximena Castilho-15660.19
233282-Camila Gabeira-2279.80
973926-Cassandra Varejo-1752.82
614188-Zungela Ipiranga-401.12
304930-Taercio Mafra-21080.15
7810-Edgar Carvalheiro-18885.46
776198-Angilica Galante-20254.16
776557-Filomena Barrios-20902.75
573283-Trajano Fagundes-10638.84
538996-Artur Grillo-14008.15
209629-Micaela Chavez-17551.67
552778-Oliveira Carmona-14649.17
213896-Adelina Quadros-1874.07
418916-Rebeca Neto-5310.21
925368-Oliveira Senchez-17553.26
230562-Quintiliano Sousa de Arronches-17508.50
525947-Flor Portella-9841.43
692006-Esperada Cardoso-1814.35
711848-Clara Alcantara-17060.09
655193-Adelino Barra-8990.64
184007-Antonio Castelo-8517.90
764924-Aludsio Sosa-508.59
809198-Polibe Olivares-17330.73
651851-Spnia ou Sonia Guerreiro-15900.08
89730-Delfina Perdigon-5244.50
58506-Rodolfo Paz-19376.81
605635-Emedlia Silvera-1647.23
568279-Gaudancio Fiees-4254.15
322517-Tibefarcio Colao-14021.27
477491-Emedlia Silvera-732.98
964144-Antonio Castelo-20624.82
617656-Micaela Chavez-3457.64
704012-Basilio Pedroso-15935.73
197140-Tabalipa Duarte-16862.25
711228-Delfim Higuera-6638.31
67557-Rodolfo Paz-6344.06
790290-Romo Paranage-13390.11
655625-Feledcia Peassego-5080.96
472823-Urbano Rodrigues-2319.35
298815-Ximena Castilho-15744.12
188950-Letedcia Gago-16413.76
385561-Feledcia Peassego-405.10
441427-Polibe Olivares-3842.14
86795-Manuel Capiperibe-7124.12
256935-Rebeca Neto-15561.23
877215-Jorgina Bogalho-3757.07
694548-Augusta Paio-10694.97
718531-Jussara Varanda-3266.69
673872-Micaela Chavez-4761.42
272421-Carminda Morais-10764.41
169370-Branco Saraba-8791.46
548727-Odete Vasques-7360.48
208120-Ermelinda Quintela-6980.06
956749-Flor Portella-3506.09
930111-Dulce Froes-12838.66
250642-Oliveira Senchez-18747.43
976848-Lurdes Cotrim-19134.38
714363-Odilia Bello-15646.72
64170-Angelica Aranha-12538.63
348788-Anind Zarco-2356.51
562059-Lina Andrade-7308.21
151776-Daniel Vieyra-5068.86
768299-Clara Alcantara-20570.94
82936-Artur Grillo-5325.67
325533-Trajano Fagundes-19144.97
207316-Emedlio Pimentel-4242.64
795844-Rebeca Neto-9912.41
881405-Andreia Moita-6594.72
152330-Jussara Varanda-20845.36
48736-Delfim Higuera-12034.01
418496-Neuza Francia-17379.63
417856-Tarrataca Soares-10346.31
981434-Romo Paranage-12814.00
550656-Polibe Olivares-7149.99
245022-Delfina Perdigon-478.41
805115-Delfina Perdigon-8360.48
624503-Daniel Vieyra-13078.44
397734-Emedlio Pimentel-3852.42
843339-Nuno Balsemeo-5423.94
667895-Flamednia Leiria-1079.59
660174-Polibe Olivares-1583.78
956842-Sidfnio Frois-15727.95
655683-Flor Portella-7922.93
964817-Eurico Siqueira-6623.60
840993-Celeste Duarte-15336.05
730675-Nuno Balsemeo-3949.27
884504-Armanda Amorim-12685.51
795682-Antonio Castelo-17729.49
662218-Tibefarcio Colao-13253.08
97340-Anfnia Seixas-11794.93
449836-Clarindo Areosa-15711.53
765412-Taercio Mafra-10836.26
228548-Almerinda Palmeira-2237.98
91192-Mercia Caeira-10487.63
468984-Andreia Moita-19436.04
171105-Liana Cardim-5278.51
437576-Neeamia Arruda-15207.36
64240-Lurdes Cotrim-16185.31
932503-Urbano Rodrigues-14807.10
194695-Rebeca Neto-10443.24
415904-Sara Lameiras-15127.73
14628-Emiliana Foquio-3290.55
925074-Neeamia Arruda-6752.84
645028-Celeste Duarte-16853.75
