858840-Antonio Castelo-12417.98
38026-Edgar Carvalheiro-16189.29
960349-Jorgina Bogalho-17529.55
538441-Esperada Cardoso-276.64
706888-Guaraci Damasceno-17836.26
426599-Rodolfo Paz-18043.19
639199-Joaquim Rufino-19695.34
799184-Regina Barcellos-6331.09
909966-Edgar Carvalheiro-6809.89
818417-Joaquim Rufino-15300.79
833179-Edgar Carvalheiro-21409.21
576466-Odilia Bello-19244.76
137499-Almerinda Palmeira-1579.52
973304-Guaraci Damasceno-18324.91
929443-Anind Zarco-15527.14
646242-Oliveira Senchez-9776.57
292423-Delfina Garcia de Gondim-17222.96
714676-Oliveira Carmona-12696.12
645856-Tibefarcio Colao-15935.22
200440-Oliveira Carmona-15578.57
344192-Fulvio Villegas-20376.90
335176-Taercio Mafra-6637.83
771301-Tibefarcio Colao-17059.20
162803-Sara Lameiras-5114.10
734802-Manuel Capiperibe-16583.39
932711-Fulvio Villegas-19279.85
966286-Danilo Olaio-13427.94
50466-Tibefarcio Colao-11950.25
243540-Polibe Olivares-10601.87
941684-Delfina Perdigon-15383.88
719258-Manuel Capiperibe-13852.48
934504-Lurdes Cotrim-8471.00
658150-Antonio Castelo-15428.71
817843-Micaela Chavez-9305.50
984726-Augusta Paio-11852.85
382041-Angilica Galante-19432.18
436386-Clara Alcantara-7137.00
303312-Camila Gabeira-16137.51
298356-Neeamia Arruda-9815.11
331484-Armindo Castalo-16454.53
221114-Adelino Barra-8406.88
316776-Micaela Chavez-7081.39
194937-Sara Lameiras-10247.97
509448-Almor Caiado-19486.15
749965-Quintino Alcantara-10171.16
329580-Melinda Roserio-19304.98
410887-Emedlio Pimentel-13714.51
802662-Danilo Olaio-10622.71
219580-Jonatas Felgueiras-1250.85
340201-Clara Alcantara-1534.17
364966-Guaraci Damasceno-5576.38
638067-Rebeca Neto-12279.55
11033-Antonio Viegas-6806.66
287868-Emedlio Pimentel-6216.92
598671-Feledcia Peassego-15624.42
227302-Emiliana Foquio-8662.88
73766-Camila Gabeira-4612.15
620703-Moaci Mendoa-16900.17
951281-Nuno Balsemeo-14527.53
276338-Liana Cardim-8096.10
86612-Manuel Capiperibe-12989.75
585011-Trajano Fagundes-111.29
222391-Lurdes Cotrim-20881.40
173253-Delfina Perdigon-4829.45
739090-Augusta Paio-4210.60
937331-Rodolfo Paz-9402.87
150017-Esperada Cardoso-18363.61
329887-Angelica Aranha-16754.98
780253-Letedcia Gago-20714.49
315824-Antonio Viegas-18582.42
268083-Romo Paranage-5338.45
374498-Celeste Duarte-10864.30
435491-Fulvio Villegas-20766.52
162353-Ermelinda Quintela-2343.42
97234-Joaquim Rufino-18030.81
473749-Clara Alcantara-13575.34
654182-Leonidas Mafra-8282.01
49421-Ximena Castilho-15865.31
978479-Neeamia Arruda-3998.27
660936-Edgar Carvalheiro-16881.43
469699-Liana Cardim-13099.28
769733-Fulvio Villegas-19703.02
682754-Oliveira Senchez-6022.54
768851-Leonidas Mafra-339.33
283188-Sara Lameiras-8870.30
373492-Tibofarcio Camacho-4290.20
750714-Basilio Pedroso-16736.74
4972-Rodolfo Paz-7872.40
273321-Adelina Quadros-16072.18
507043-Taercio Mafra-12913.96
498827-Odilia Bello-6493.82
335286-Adelina Quadros-9801.51
117783-Cassandra Varejo-1473.51
552358-Flor Portella-2391.19
844968-Jussara Varanda-17384.03
218351-Basilio Pedroso-7712.92
642542-Antonio Castelo-4255.60
783911-Delfim Higuera-3900.81
455992-Oliveira Carmona-1928.71
955392-Anfnia Seixas-19053.78
114287-Flor Portella-9433.93
717111-Antonio Castelo-21357.28
138364-Sofras Cuaresma-1263.62
813536-Lurdes Cotrim-12869.15
421332-Oliveira Carmona-15567.60
58988-Sara Lameiras-5914.94
232956-Angelica Aranha-18961.37
81067-Judite Damasceno-20039.21
685446-Polibe Olivares-3538.93
508220-Tibefarcio Colao-16408.48
243029-Emedlio Pimentel-11104.79
875925-Branco Saraba-727.12
660289-Emiliana Foquio-4978.51
278874-Leonidas Mafra-8406.64
533235-Almerinda Palmeira-11350.86
706561-Ximena Castilho-1206.61
172344-Spnia ou Sonia Guerreiro-3738.94
714003-Tabalipa Duarte-14209.75
820157-Romo Paranage-19016.61
313185-Cassandra Varejo-12756.85
700130-Fulvio Villegas-8344.44
479818-Elisa Themes-12273.20
503887-Esperada Cardoso-12869.81
890122-Danilo Olaio-11607.76
190880-Zungela Ipiranga-10878.25
283834-Lina Andrade-6590.48
354631-Quintiliano Sousa de Arronches-6457.37
594871-Lurdes Cotrim-14734.51
755759-Flamednia Leiria-13847.88
325993-Ximena Castilho-5726.17
744613-Rodolfo Paz-9423.17
158610-Filomena Barrios-12897.97
285096-Tibefarcio Colao-16033.01
262434-Basilio Pedroso-20091.91
420512-Rebeca Neto-16468.98
664312-Aludsio Sosa-20731.82
569172-Danilo Olaio-17320.53
368050-Almerinda Palmeira-3721.64
658363-Tabalipa Duarte-21449.20
125559-Lina Andrade-9617.62
794208-Lurdes Cotrim-6110.23
907341-Elisa Themes-556.98
340883-Tibefarcio Colao-15159.83
271475-Celeste Duarte-11947.62
494343-Emiliana Foquio-20801.83
542723-Rodolfo Paz-10123.63
639527-Antonio Castelo-2594.49
989805-Armindo Castalo-1953.33
791208-Danilo Olaio-935.08
896596-Sidfnio Frois-18556.34
619156-Jonatas Felgueiras-3149.44
175370-Tibofarcio Camacho-6008.52
528703-Odilia Camello-17931.92
699395-Telma Villalobos-8839.80
577568-Odete Vasques-11814.75
870454-Basilio Pedroso-16260.17
861887-Elisa Themes-7291.73
422850-Jorgina Bogalho-12841.63
631863-Tabalipa Duarte-4694.71
793741-Emiliana Foquio-18173.67
718126-Tabalipa Duarte-16055.03
182334-Sidfnio Frois-7761.94
828625-Basilio Pedroso-6192.40
974799-Clarindo Areosa-5904.55
399641-Daniel Vieyra-5515.49
523664-Honorina Lira-19.36
11180-Aludsio Sosa-10147.98
947713-Artur Grillo-10272.21
217666-Elisa Themes-4113.69
512106-Adelina Quadros-13121.63
440240-Oliveira Senchez-3963.97
828981-Celeste Duarte-4225.79
552965-Celeste Duarte-14464.08
502133-Neeamia Arruda-6888.99
431608-Tabalipa Duarte-14922.99
835734-Manuel Capiperibe-16418.23
289937-Clara Alcantara-23.50
401041-Sofras Cuaresma-11282.98
191555-Armanda Amorim-9200.32
969040-Regina Barcellos-16185.44
113740-Quintino Alcantara-7845.01
277516-Leonidas Mafra-8803.29
635737-Basilio Pedroso-3593.99
749810-Odilia Camello-10149.01
319131-Clarindo Areosa-15833.33
437620-Sofras Cuaresma-10986.85
492082-Rebeca Neto-11869.75
860756-Estanislau Beserra-4298.92
450142-Micaela Chavez-1116.00
924806-Heleedsa Marins-7015.69
562138-Oliveira Carmona-18696.83
596616-Edgar Carvalheiro-9264.77
210574-Jonatas Felgueiras-7956.29
748991-Armindo Castalo-20963.79
186664-Domingos Pas-11242.14
439588-Emiliana Foquio-5781.68
31425-Clara Alcantara-4601.76
973357-Aludsio Sosa-17850.37
213096-Trajano Fagundes-12850.04
1013-Oliveira Carmona-15189.28
849214-Urbano Rodrigues-16514.91
681589-Emiliana Foquio-20790.87
876173-Lurdes Cotrim-10768.14
953229-Honorina Lira-910.79
447594-Cleusa Goes-19582.66
790877-Branco Saraba-17282.22
