255386-Melinda Roserio-6798.94
160678-Regina Barcellos-15225.44
765889-Anfnia Seixas-5638.31
414722-Eurico Siqueira-1666.20
293105-Carminda Morais-17953.41
578688-Esperada Cardoso-388.68
16168-Taercio Mafra-14387.56
560182-Oliveira Senchez-17942.33
866202-Heleedsa Marins-186.37
665679-Delfina Perdigon-6.63
484250-Tibefarcio Colao-12092.32
276731-Cassandra Varejo-10679.09
713963-Guaraci Damasceno-10321.92
306024-Sidfnio Frois-8331.23
264465-Marilda Leio-16294.16
191884-Lina Andrade-18369.95
563474-Almerinda Palmeira-6385.27
393021-Domingos Pas-4936.04
44396-Ermelinda Quintela-21274.70
77345-Antonio Castelo-5176.52
397574-Heleedsa Marins-6131.36
373719-Camila Gabeira-15814.13
893639-Quintiliano Sousa de Arronches-16291.27
761038-Antonio Viegas-16594.33
732522-Adelina Quadros-752.14
78138-Rebeca Neto-13284.05
775498-Daniel Vieyra-17919.69
745300-Leonidas Mafra-20073.62
464083-Taercio Mafra-6879.23
819872-Anfnia Seixas-19860.00
838335-Oliveira Carmona-17169.14
89184-Clara Alcantara-4248.04
765803-Elisa Themes-17796.98
150432-Branco Saraba-20504.59
657794-Camila Gabeira-14037.08
580994-Jonatas Felgueiras-16347.86
531425-Neuza Francia-6350.78
8903-Adelino Barra-19908.23
89961-Domingos Pas-10538.03
157155-Jonatas Felgueiras-21376.23
876164-Anind Zarco-9479.78
731238-Regina Barcellos-8415.83
31812-Filomena Barrios-7388.66
459146-Flamednia Leiria-16720.16
835615-Mercia Caeira-1791.90
909334-Regina Barcellos-372.88
421242-Tibefarcio Colao-9358.19
902110-Jonatas Felgueiras-13658.28
261311-Jussara Varanda-18209.18
59593-Danilo Olaio-1335.91
857949-Edgar Carvalheiro-11164.67
603009-Danilo Olaio-10877.15
635789-Cleusa Goes-16287.47
882632-Andreia Moita-737.22
620927-Rodolfo Paz-2295.58
66846-Almor Caiado-239.84
298527-Henrique Bento-7854.05
124171-Jorgina Bogalho-108.23
289079-Branco Saraba-18550.85
257334-Emedlio Pimentel-5636.61
881512-Cassandra Varejo-2700.35
483596-Guaraci Damasceno-5436.38
669122-Silvio Mata-18092.74
720246-Odete Vasques-15516.73
820104-Odete Vasques-18212.94
593785-Leonidas Mafra-18743.60
654988-Silvio Mata-11981.75
51490-Quintiliano Sousa de Arronches-4278.16
792195-Domingos Pas-15541.05
450712-Quintiliano Sousa de Arronches-13358.79
216901-Cleusa Goes-19107.60
450573-Elisa Themes-20792.44
399320-Edgar Carvalheiro-5354.29
611306-Manuel Capiperibe-1656.66
545677-Odilia Bello-4944.86
554401-Delfina Perdigon-17010.80
30459-Melinda Roserio-16752.51
427797-Odete Vasques-13528.19
132174-Jonatas Felgueiras-20996.11
953957-Regina Barcellos-14415.78
436386-Augusta Paio-16597.95
953762-Guaraci Damasceno-17232.46
109096-Adelino Barra-5721.61
54528-Jorgina Bogalho-19827.73
189042-Manuel Capiperibe-17338.35
133567-Almor Caiado-549.05
438596-Ermelinda Quintela-12649.36
435360-Armindo Castalo-18543.64
248031-Sidfnio Frois-18340.12
682040-Neuza Francia-9114.83
511072-Andreia Moita-17979.19
616639-Basilio Pedroso-4683.89
965986-Guaraci Damasceno-17614.98
260939-Emedlio Pimentel-10440.69
221745-Jussara Varanda-20152.58
668507-Oliveira Senchez-539.08
195010-Angelica Aranha-13293.47
5299-Sara Lameiras-5972.98
634512-Esperada Cardoso-4330.63
391197-Almerinda Palmeira-2432.61
242417-Joaquim Rufino-13637.72
405075-Melinda Roserio-14103.89
813391-Daniel Vieyra-3148.71
899390-Armindo Castalo-7601.32
274378-Urbano Rodrigues-7643.54
484034-Gaudancio Fiees-8220.22
115461-Flor Portella-4867.34
682768-Almor Caiado-14337.39
130103-Fulvio Villegas-7208.90
589641-Rebeca Neto-4477.97
564395-Ermelinda Quintela-20560.40
458047-Emiliana Foquio-7629.61
740711-Camila Gabeira-4392.91
37836-Filomena Barrios-16571.90
920302-Antonio Viegas-21044.65
60798-Esperada Cardoso-13674.65
625597-Polibe Olivares-16485.81
536941-Micaela Chavez-20652.63
746544-Mercia Caeira-1769.10
535141-Camila Gabeira-21124.99
584772-Estanislau Beserra-1935.80
406509-Silvio Mata-5130.38
133344-Daniel Vieyra-13917.79
731262-Andreia Moita-2963.33
977556-Armanda Amorim-4182.53
577619-Letedcia Gago-16253.14
199957-Melinda Roserio-18239.40
555933-Esperada Cardoso-1959.93
683550-Basilio Pedroso-16337.40
184618-Silvio Mata-1277.91
999388-Joaquim Rufino-2163.76
853927-Melinda Roserio-11157.82
186014-Eurico Siqueira-20889.16
325391-Jorgina Bogalho-13031.63
655096-Mercia Caeira-16661.41
965861-Edgar Carvalheiro-17947.19
741718-Taercio Mafra-3634.35
130834-Zulmira Becerra-65.07
783273-Zulmira Becerra-101.91
345489-Estanislau Beserra-10953.75
439827-Jorgina Bogalho-15623.75
597979-Quintiliano Sousa de Arronches-13197.45
310696-Urbano Rodrigues-11304.47
802336-Domingos Pas-14337.73
143441-Celeste Duarte-17394.28
737961-Domingos Pas-20043.94
646693-Ximena Castilho-14486.52
527940-Guida Juca-17207.83
885938-Henrique Bento-5910.82
499936-Nuno Balsemeo-3839.44
905075-Dulce Froes-10643.84
202481-Odete Vasques-6784.98
282310-Daniel Vieyra-18868.09
277906-Clara Alcantara-17861.28
469589-Augusta Paio-6727.87
802210-Nuno Balsemeo-11125.25
369740-Flamednia Leiria-4356.88
372137-Almerinda Palmeira-4662.16
398038-Emedlia Silvera-14001.02
98288-Anind Zarco-5761.19
690211-Lurdes Cotrim-2695.40
656842-Taercio Mafra-6967.42
884813-Oliveira Carmona-8260.25
76490-Flamednia Leiria-5988.19
40912-Judite Damasceno-13182.89
949527-Quintiliano Sousa de Arronches-3556.07
768197-Taercio Mafra-16529.77
754992-Honorina Lira-12788.65
524395-Zulmira Becerra-13872.63
892382-Rodolfo Paz-19883.62
204442-Tibefarcio Colao-20300.52
900404-Emedlia Silvera-9272.25
610950-Ermelinda Quintela-21471.10
646776-Ximena Castilho-3777.03
810220-Zulmira Becerra-13477.44
277426-Anfnia Seixas-3542.10
270003-Armanda Amorim-15489.78
467350-Jorgina Bogalho-20857.33
881053-Sidfnio Frois-15377.74
397052-Aludsio Sosa-4961.82
547985-Emiliana Foquio-14923.87
722577-Angilica Galante-12958.04
156013-Flor Portella-5849.31
130602-Cleusa Goes-12465.78
924251-Marilda Leio-7719.04
6549-Romo Paranage-19811.82
212410-Honorina Lira-16919.68
395222-Armanda Amorim-3399.52
959828-Cassandra Varejo-5388.33
787912-Antonio Viegas-15412.30
10468-Taercio Mafra-17757.78
285003-Sara Lameiras-15120.17
301062-Daniel Vieyra-14466.89
943458-Tibefarcio Colao-2583.36
288682-Dulce Froes-6932.60
893998-Guida Juca-19222.67
192580-Celeste Duarte-59.96
501683-Flamednia Leiria-8923.91
543595-Odete Vasques-15653.50
391767-Zungela Ipiranga-12646.55
905877-Micaela Chavez-19786.65
323072-Lina Andrade-14424.67
60107-Cassandra Varejo-5832.84
