856871-Jussara Varanda-10168.52
620675-Lurdes Cotrim-859.91
229734-Neuza Francia-4694.60
209073-Nuno Balsemeo-1746.08
870452-Esperada Cardoso-13994.45
592074-Judite Damasceno-4662.94
245896-Emedlia Silvera-16639.13
878405-Angilica Galante-6598.22
80675-Basilio Pedroso-15628.04
964770-Adelina Quadros-4633.80
723966-Angelica Aranha-18932.34
541928-Filomena Barrios-3873.71
770341-Delfina Garcia de Gondim-16336.01
13561-Flor Portella-18858.10
392183-Jonatas Felgueiras-7731.97
725321-Filomena Barrios-9267.89
588828-Telma Villalobos-9235.51
413763-Quintiliano Sousa de Arronches-8079.46
506723-Trajano Fagundes-4875.43
664039-Armindo Castalo-6445.07
161592-Regina Barcellos-8602.31
892998-Celeste Duarte-4412.90
615740-Heleedsa Marins-17230.60
798968-Ximena Castilho-1325.90
106764-Almerinda Palmeira-4349.82
859321-Delfina Garcia de Gondim-14497.07
905963-Jussara Varanda-3168.13
381653-Silvio Mata-967.43
195382-Fulvio Villegas-7732.49
813575-Delfim Higuera-4434.30
811488-Clarindo Areosa-16135.91
559668-Zungela Ipiranga-7390.01
678790-Neuza Francia-531.33
431291-Zungela Ipiranga-254.48
477188-Artur Grillo-8305.55
752342-Almerinda Palmeira-17204.14
816123-Camila Gabeira-10138.37
430778-Heleedsa Marins-3747.35
991064-Jonatas Felgueiras-4629.30
610362-Almerinda Palmeira-6937.44
737089-Eurico Siqueira-15305.55
611564-Regina Barcellos-5716.31
775715-Lina Andrade-3518.26
999883-Lina Andrade-3572.57
330335-Cleusa Goes-3262.51
126549-Manuel Capiperibe-10320.03
662903-Artur Grillo-12538.20
495521-Cassandra Varejo-19152.50
587222-Angilica Galante-16767.58
928378-Nuno Balsemeo-10258.84
699380-Odilia Camello-6071.38
578172-Flor Portella-12807.49
974104-Leonidas Mafra-13405.25
986564-Artur Grillo-3620.41
447224-Liana Cardim-6253.72
979201-Guaraci Damasceno-4180.15
441815-Anfnia Seixas-11896.78
741029-Henrique Bento-11096.89
774849-Jussara Varanda-2747.93
738657-Danilo Olaio-16057.21
962379-Silvio Mata-12509.37
741152-Manuel Capiperibe-8240.32
667348-Adelino Barra-10640.06
419758-Delfim Higuera-20239.92
429673-Ermelinda Quintela-15819.56
690632-Guaraci Damasceno-5684.51
471331-Armindo Castalo-7038.93
71541-Zungela Ipiranga-8546.34
438391-Lina Andrade-13954.09
79298-Joaquim Rufino-6416.64
604624-Polibe Olivares-14346.26
784162-Odilia Bello-10098.84
713124-Odilia Camello-20865.51
683577-Tibofarcio Camacho-7214.87
695404-Sofras Cuaresma-15669.17
595293-Regina Barcellos-6541.24
993441-Filomena Barrios-11625.95
585454-Rodolfo Paz-511.83
383205-Clara Alcantara-13826.22
973918-Cassandra Varejo-3912.17
285970-Heleedsa Marins-2503.38
51446-Domingos Pas-15671.23
364870-Armanda Amorim-13273.52
683996-Aludsio Sosa-8715.52
511739-Branco Saraba-5617.64
295324-Moaci Mendoa-10233.59
46656-Ubaldo Mainha-5268.69
691198-Branco Saraba-2619.71
486331-Romo Paranage-13383.54
690554-Fulvio Villegas-18833.28
75226-Sidfnio Frois-13551.30
86376-Ermelinda Quintela-10046.98
497858-Artur Grillo-16560.63
977022-Odilia Bello-782.63
943626-Emedlia Silvera-4427.75
827343-Flamednia Leiria-365.86
351510-Tibefarcio Colao-15756.33
987457-Guaraci Damasceno-14688.41
806727-Liana Cardim-5708.43
247709-Esperada Cardoso-2770.50
906055-Telma Villalobos-12291.25
419091-Feledcia Peassego-5667.28
54629-Antonio Viegas-14472.26
558495-Delfim Higuera-16622.03
614268-Emedlia Silvera-19331.47
950055-Mercia Caeira-16794.90
644798-Jussara Varanda-15553.58
208290-Fulvio Villegas-5758.62
258689-Moaci Mendoa-9396.69
662848-Taercio Mafra-18819.17
911038-Adelina Quadros-16463.39
289229-Romo Paranage-4832.74
881570-Oliveira Carmona-21073.29
52932-Tarrataca Soares-14034.04
487311-Dulce Froes-13905.34
696446-Basilio Pedroso-4830.01
492013-Augusta Paio-18516.46
437020-Odete Vasques-17283.70
222665-Angilica Galante-3751.45
367983-Joaquim Rufino-12778.08
563529-Joaquim Rufino-20247.19
884529-Guaraci Damasceno-18235.25
450063-Odilia Bello-16789.23
757990-Tibefarcio Colao-10994.92
268979-Sidfnio Frois-1634.96
443010-Dulce Froes-14611.92
623778-Delfina Garcia de Gondim-7342.00
162793-Mercia Caeira-17056.38
80217-Ubaldo Mainha-15493.76
666424-Clarindo Areosa-8362.61
685476-Telma Villalobos-19908.24
559780-Silvio Mata-19472.25
708427-Jonatas Felgueiras-12721.92
218751-Antonio Viegas-14129.50
616543-Oliveira Senchez-18842.19
581479-Silvio Mata-3241.78
30910-Artur Grillo-5598.02
158690-Manuel Capiperibe-19989.65
656757-Oliveira Senchez-9225.61
816504-Polibe Olivares-4177.44
784428-Angelica Aranha-2189.46
987918-Branco Saraba-19725.05
232557-Tibefarcio Colao-18667.30
399913-Anfnia Seixas-20089.49
575624-Angelica Aranha-16550.82
763351-Armindo Castalo-481.80
143190-Zulmira Becerra-19662.11
723504-Delfina Perdigon-6708.86
457667-Quintiliano Sousa de Arronches-380.59
84694-Jorgina Bogalho-4428.75
972570-Andreia Moita-10156.60
201176-Tarrataca Soares-16336.48
171394-Adelino Barra-19728.80
849638-Basilio Pedroso-15647.97
477548-Danilo Olaio-15088.88
840454-Basilio Pedroso-19686.52
381367-Neeamia Arruda-1103.11
240417-Armanda Amorim-9630.35
64047-Melinda Roserio-19374.93
965176-Odilia Camello-2880.94
610230-Leonidas Mafra-11460.66
201035-Artur Grillo-597.84
330077-Danilo Olaio-11239.55
189430-Aludsio Sosa-13158.05
997846-Angelica Aranha-20482.82
920924-Armanda Amorim-9106.39
23793-Angilica Galante-3745.37
853714-Liana Cardim-9997.77
53026-Quintino Alcantara-4903.58
827542-Tibefarcio Colao-19163.23
993768-Polibe Olivares-14004.49
303426-Tabalipa Duarte-13091.67
293492-Guaraci Damasceno-14674.97
163819-Tibefarcio Colao-15946.86
347023-Ermelinda Quintela-15522.00
935082-Tabalipa Duarte-8476.38
174994-Angelica Aranha-16766.62
242653-Feledcia Peassego-17105.15
345213-Delfina Garcia de Gondim-16200.85
456691-Tibofarcio Camacho-14434.29
178135-Sidfnio Frois-16234.22
449411-Basilio Pedroso-10282.42
20752-Oliveira Carmona-12915.36
547199-Armindo Castalo-912.16
394743-Honorina Lira-11395.63
40932-Armindo Castalo-16504.98
326220-Cassandra Varejo-14451.89
664678-Feledcia Peassego-6339.48
780371-Eurico Siqueira-1798.10
253699-Rodolfo Paz-20202.66
566190-Flamednia Leiria-9.61
844426-Sara Lameiras-17104.10
289443-Marilda Leio-7659.47
747669-Augusta Paio-4390.11
408534-Filomena Barrios-20454.06
269885-Honorina Lira-11909.63
285350-Judite Damasceno-9338.06
478722-Manuel Capiperibe-16484.70
187363-Tabalipa Duarte-397.67
497003-Andreia Moita-8930.21
751537-Letedcia Gago-18295.87
944732-Celeste Duarte-21024.31
380015-Feledcia Peassego-8732.37
350878-Lina Andrade-17569.85
