60615-Leonidas Mafra-15728.91
815048-Joaquim Rufino-2763.00
306529-Danilo Olaio-5677.25
689261-Oliveira Senchez-8071.01
511840-Branco Saraba-12590.12
477413-Clarindo Areosa-3869.16
742579-Zulmira Becerra-4018.31
145428-Delfina Garcia de Gondim-6649.59
650180-Esperada Cardoso-4178.42
689189-Esperada Cardoso-10161.60
141436-Jonatas Felgueiras-8581.97
204706-Delfim Higuera-13930.12
144810-Judite Damasceno-12768.35
786937-Liana Cardim-1520.41
479112-Angilica Galante-7465.53
551782-Zungela Ipiranga-7425.46
530057-Urbano Rodrigues-13042.89
877507-Guida Juca-12769.51
944487-Flamednia Leiria-19126.01
16625-Telma Villalobos-19068.06
185063-Camila Gabeira-11264.64
311219-Fulvio Villegas-5391.85
253299-Almerinda Palmeira-12613.30
920005-Odete Vasques-4156.33
687764-Elisa Themes-996.29
983723-Anind Zarco-18201.81
196175-Artur Grillo-3792.27
239671-Heleedsa Marins-7571.05
242420-Basilio Pedroso-7600.49
603215-Daniel Vieyra-10780.66
124305-Clara Alcantara-20742.51
842623-Daniel Vieyra-18020.78
605921-Esperada Cardoso-5378.48
688023-Trajano Fagundes-9967.68
327246-Lina Andrade-18384.56
519079-Anfnia Seixas-269.56
773639-Carminda Morais-2441.52
317154-Sidfnio Frois-7443.92
327755-Emedlio Pimentel-451.50
939272-Micaela Chavez-7117.54
389949-Letedcia Gago-16128.78
304871-Cassandra Varejo-14592.37
405096-Sara Lameiras-16438.43
351786-Henrique Bento-12960.47
931879-Emiliana Foquio-5678.91
140839-Filomena Barrios-2059.26
46800-Cleusa Goes-9527.00
179819-Domingos Pas-19650.17
933755-Jonatas Felgueiras-2248.61
220391-Ximena Castilho-19398.00
605408-Urbano Rodrigues-4267.07
241165-Camila Gabeira-11070.12
471586-Armindo Castalo-2249.33
66321-Sara Lameiras-11892.85
912671-Zungela Ipiranga-1207.33
247458-Guaraci Damasceno-14138.74
538052-Spnia ou Sonia Guerreiro-4464.37
980628-Regina Barcellos-18926.17
814859-Delfina Perdigon-670.67
799515-Almerinda Palmeira-248.04
54165-Cleusa Goes-6964.09
186761-Branco Saraba-20086.50
72631-Leonidas Mafra-14686.38
317696-Esperada Cardoso-17617.04
609979-Ximena Castilho-17371.34
309430-Guaraci Damasceno-10858.97
418778-Zulmira Becerra-19824.36
744365-Celeste Duarte-3759.32
603345-Zungela Ipiranga-13057.47
839827-Cassandra Varejo-5220.63
876729-Henrique Bento-8841.17
620354-Zulmira Becerra-18573.04
891923-Sara Lameiras-6058.93
96534-Telma Villalobos-9212.11
585972-Neuza Francia-19518.21
324821-Anind Zarco-21181.30
937568-Adelina Quadros-16260.65
987367-Cassandra Varejo-14283.26
170388-Joaquim Rufino-13424.46
936739-Zungela Ipiranga-15932.86
990459-Antonio Castelo-19731.62
453310-Emedlio Pimentel-7612.99
599160-Tibefarcio Colao-12121.91
383243-Urbano Rodrigues-14032.87
388233-Rebeca Neto-3763.90
43153-Tibefarcio Colao-3997.15
595461-Sidfnio Frois-7396.52
615913-Flor Portella-18426.39
52434-Almerinda Palmeira-13063.26
752586-Emedlia Silvera-13452.63
32237-Henrique Bento-19842.54
912848-Nuno Balsemeo-17722.23
130236-Manuel Capiperibe-5703.39
240680-Eurico Siqueira-19947.22
561876-Telma Villalobos-13646.26
220155-Lurdes Cotrim-4171.86
524947-Jorgina Bogalho-2382.98
411383-Antonio Castelo-6629.14
140180-Leonidas Mafra-20669.66
314682-Ubaldo Mainha-14612.35
291070-Tibefarcio Colao-15152.67
946072-Honorina Lira-9656.96
900042-Nuno Balsemeo-16698.27
561257-Sofras Cuaresma-20860.67
26249-Elisa Themes-9881.46
364640-Esperada Cardoso-3278.82
933953-Andreia Moita-759.23
155406-Silvio Mata-18583.35
532718-Joaquim Rufino-6609.91
752628-Letedcia Gago-21213.06
235523-Gaudancio Fiees-13901.13
488216-Tabalipa Duarte-4405.76
480367-Micaela Chavez-339.92
327490-Clarindo Areosa-13825.54
896475-Jonatas Felgueiras-15945.80
608260-Ximena Castilho-10464.61
505998-Ermelinda Quintela-1379.11
701504-Armanda Amorim-17560.66
810690-Neuza Francia-13011.16
918694-Leonidas Mafra-793.85
261751-Nuno Balsemeo-15836.20
388450-Judite Damasceno-13556.25
211638-Edgar Carvalheiro-11676.21
377903-Cassandra Varejo-15899.49
127926-Letedcia Gago-3223.62
539935-Emiliana Foquio-8769.70
317732-Basilio Pedroso-15234.76
535321-Letedcia Gago-3526.94
87733-Neuza Francia-1750.21
147853-Angilica Galante-9099.40
30363-Nuno Balsemeo-18712.01
26333-Joaquim Rufino-2791.06
114539-Almerinda Palmeira-13943.18
195024-Taercio Mafra-4442.12
829044-Lurdes Cotrim-16623.40
559201-Eurico Siqueira-17418.80
266487-Camila Gabeira-10107.14
368503-Zungela Ipiranga-16922.49
569713-Clarindo Areosa-13498.53
886481-Feledcia Peassego-6445.17
587789-Manuel Capiperibe-16975.48
425511-Emiliana Foquio-16040.91
887863-Ubaldo Mainha-8047.21
487918-Lina Andrade-14809.17
553164-Aludsio Sosa-7202.62
980078-Romo Paranage-1173.37
376918-Trajano Fagundes-7186.04
766036-Polibe Olivares-5144.89
848936-Fulvio Villegas-12610.58
469011-Neuza Francia-21119.45
512252-Angelica Aranha-9990.49
789466-Quintiliano Sousa de Arronches-16534.75
172752-Tibefarcio Colao-11358.79
873748-Rebeca Neto-6138.83
786708-Artur Grillo-16774.36
72264-Henrique Bento-3539.33
237647-Odilia Camello-18153.10
116940-Joaquim Rufino-11425.92
278168-Ubaldo Mainha-8359.57
292714-Cassandra Varejo-10704.26
824782-Emiliana Foquio-6084.55
421088-Antonio Castelo-13212.44
624317-Aludsio Sosa-13404.17
549010-Artur Grillo-20602.91
906541-Feledcia Peassego-17775.94
525956-Gaudancio Fiees-71.83
999158-Clara Alcantara-6384.20
559932-Emiliana Foquio-3870.54
125836-Silvio Mata-9453.32
266583-Ximena Castilho-15156.24
352304-Armanda Amorim-5949.66
3490-Fulvio Villegas-20283.87
645654-Dulce Froes-9775.27
166658-Micaela Chavez-3945.93
570772-Lina Andrade-17604.99
443866-Carminda Morais-15005.41
733312-Daniel Vieyra-18795.41
848734-Clarindo Areosa-14686.17
72520-Tarrataca Soares-7822.59
253606-Clara Alcantara-10815.26
377355-Emedlio Pimentel-1833.94
956019-Tibofarcio Camacho-12343.98
295417-Augusta Paio-15930.43
51948-Heleedsa Marins-2477.27
615714-Polibe Olivares-21072.97
289774-Armanda Amorim-2592.57
146393-Judite Damasceno-14999.91
423218-Edgar Carvalheiro-12023.56
269893-Gaudancio Fiees-5089.45
448234-Ubaldo Mainha-2557.15
250956-Heleedsa Marins-15130.92
535545-Fulvio Villegas-5945.65
723088-Flamednia Leiria-9688.60
954255-Honorina Lira-18289.12
261704-Sara Lameiras-9400.44
584680-Emiliana Foquio-798.50
965492-Fulvio Villegas-14029.96
403298-Taercio Mafra-12529.36
974382-Melinda Roserio-167.22
804580-Trajano Fagundes-7871.70
160476-Delfina Perdigon-7849.38
427077-Sidfnio Frois-6049.90
91522-Anfnia Seixas-1282.29
315817-Domingos Pas-3321.83
