848-Dulce Froes-13384.93
778128-Urbano Rodrigues-9110.71
600944-Neeamia Arruda-19245.71
251160-Armanda Amorim-1159.04
246729-Armanda Amorim-13592.83
322610-Dulce Froes-10955.76
153901-Odilia Camello-12521.47
145847-Antonio Castelo-16302.27
380302-Eurico Siqueira-4071.43
597992-Trajano Fagundes-13124.38
117730-Sara Lameiras-1076.13
74014-Romo Paranage-1463.91
8862-Domingos Pas-18589.92
648232-Moaci Mendoa-19832.44
445944-Adelina Quadros-12330.07
167056-Ubaldo Mainha-9618.46
361340-Aludsio Sosa-12789.99
371465-Marilda Leio-2696.62
622777-Rodolfo Paz-2285.58
4017-Guaraci Damasceno-7281.56
212662-Jorgina Bogalho-19872.74
96397-Silvio Mata-108.64
51480-Basilio Pedroso-1038.73
94410-Angelica Aranha-9515.22
41176-Daniel Vieyra-4504.84
787628-Liana Cardim-4481.67
109723-Filomena Barrios-15705.29
95280-Polibe Olivares-384.16
307943-Armindo Castalo-8410.39
180376-Feledcia Peassego-17300.43
7075-Joaquim Rufino-3867.72
930728-Quintiliano Sousa de Arronches-6498.69
762167-Melinda Roserio-12829.20
585983-Sidfnio Frois-20630.14
169690-Joaquim Rufino-9585.72
276367-Polibe Olivares-14763.60
744978-Trajano Fagundes-4169.86
213072-Oliveira Senchez-11800.81
342849-Emiliana Foquio-11009.05
30962-Manuel Capiperibe-5866.02
875403-Joaquim Rufino-9496.09
26607-Estanislau Beserra-1500.56
525884-Liana Cardim-4818.18
414801-Tabalipa Duarte-16564.04
825237-Taercio Mafra-13620.90
719489-Regina Barcellos-8318.83
780965-Tarrataca Soares-10276.28
887358-Dulce Froes-10808.41
410133-Augusta Paio-12611.84
488419-Delfina Garcia de Gondim-17972.15
609881-Neuza Francia-12696.07
503533-Emedlio Pimentel-16656.33
782125-Odilia Bello-8486.75
497136-Flamednia Leiria-10700.90
226624-Jonatas Felgueiras-11339.16
44470-Emedlio Pimentel-14906.35
221950-Guaraci Damasceno-4409.32
901492-Rebeca Neto-17028.20
662023-Antonio Castelo-10197.46
844190-Judite Damasceno-13802.35
628370-Aludsio Sosa-2193.61
21638-Lurdes Cotrim-713.81
987427-Almor Caiado-15861.63
255199-Zulmira Becerra-17516.60
959994-Quintino Alcantara-4834.03
755150-Zungela Ipiranga-8874.47
949738-Silvio Mata-1451.86
772386-Sara Lameiras-8210.87
436165-Armindo Castalo-19477.49
800276-Augusta Paio-3311.10
895682-Zungela Ipiranga-8527.38
114138-Neuza Francia-1672.76
965900-Artur Grillo-5722.64
9555-Urbano Rodrigues-4020.35
143554-Almerinda Palmeira-13129.95
709484-Rebeca Neto-3722.67
910484-Liana Cardim-5592.16
560222-Romo Paranage-7539.89
29705-Delfina Perdigon-20374.25
761770-Moaci Mendoa-13757.42
728486-Odilia Camello-5661.54
572437-Odete Vasques-8782.68
797157-Guida Juca-18302.34
184771-Cleusa Goes-21232.43
748767-Taercio Mafra-6799.03
232121-Camila Gabeira-7816.13
162953-Delfina Perdigon-17715.23
279564-Daniel Vieyra-19430.83
483446-Estanislau Beserra-8516.29
952975-Rodolfo Paz-16643.91
532341-Andreia Moita-14666.36
366267-Neuza Francia-4777.25
476390-Sara Lameiras-9165.22
850139-Judite Damasceno-742.23
259063-Domingos Pas-18499.72
179510-Estanislau Beserra-2847.20
366628-Sidfnio Frois-5608.83
286509-Honorina Lira-6761.63
678835-Clarindo Areosa-14516.46
528826-Camila Gabeira-5401.16
120407-Henrique Bento-4201.64
381964-Cassandra Varejo-19445.30
911285-Gaudancio Fiees-9855.23
190620-Urbano Rodrigues-2628.90
229526-Melinda Roserio-1786.65
171557-Judite Damasceno-20458.45
726196-Heleedsa Marins-19417.28
320281-Jonatas Felgueiras-4255.31
30384-Antonio Viegas-3987.26
853508-Flamednia Leiria-17512.54
100478-Branco Saraba-15638.91
983428-Antonio Castelo-4027.90
591148-Ubaldo Mainha-12937.01
237147-Nuno Balsemeo-17718.92
589843-Armanda Amorim-18131.21
947059-Armindo Castalo-20972.93
24566-Gaudancio Fiees-12585.35
985315-Eurico Siqueira-10683.72
108872-Nuno Balsemeo-13224.02
395034-Quintiliano Sousa de Arronches-7247.72
796777-Tibefarcio Colao-9398.73
879146-Clarindo Areosa-12868.56
492057-Tibofarcio Camacho-959.63
144604-Rebeca Neto-4312.01
686926-Taercio Mafra-2193.07
894439-Moaci Mendoa-13102.54
463004-Emedlia Silvera-18412.79
275602-Tabalipa Duarte-2257.80
618742-Oliveira Carmona-14348.89
687612-Odilia Bello-4778.00
527390-Urbano Rodrigues-421.13
774834-Adelino Barra-5479.93
811909-Judite Damasceno-17924.85
549900-Judite Damasceno-4661.46
212131-Heleedsa Marins-11268.33
995426-Jussara Varanda-18057.27
587692-Delfina Garcia de Gondim-2537.06
231479-Basilio Pedroso-5599.82
247068-Polibe Olivares-10026.01
181194-Oliveira Carmona-19802.88
403719-Heleedsa Marins-9493.32
982415-Nuno Balsemeo-16211.07
449768-Adelino Barra-1034.35
364222-Ermelinda Quintela-19849.85
479276-Zungela Ipiranga-4477.14
417477-Joaquim Rufino-15997.09
609533-Anfnia Seixas-10958.13
112713-Cassandra Varejo-1945.61
879629-Celeste Duarte-21118.08
51857-Spnia ou Sonia Guerreiro-17275.05
24431-Ubaldo Mainha-19139.09
110480-Sofras Cuaresma-14634.08
189150-Emedlio Pimentel-16628.58
268852-Estanislau Beserra-4607.38
10541-Oliveira Carmona-4357.34
584792-Silvio Mata-18071.51
402396-Flamednia Leiria-15902.77
926357-Regina Barcellos-16263.90
432277-Emedlio Pimentel-21412.70
538898-Estanislau Beserra-2748.38
966538-Anfnia Seixas-7998.62
726233-Zungela Ipiranga-16109.73
109171-Letedcia Gago-11086.78
927259-Ermelinda Quintela-10854.63
730399-Gaudancio Fiees-20074.74
763425-Sofras Cuaresma-7065.75
21763-Anind Zarco-11359.77
93107-Fulvio Villegas-14019.04
241639-Antonio Viegas-20643.36
198075-Elisa Themes-19783.91
176315-Silvio Mata-9768.74
580076-Odilia Bello-91.17
908127-Anind Zarco-6962.26
93884-Adelina Quadros-9941.53
534274-Elisa Themes-7404.00
192220-Leonidas Mafra-3826.80
34257-Dulce Froes-15207.02
669918-Anfnia Seixas-9553.11
695563-Basilio Pedroso-10285.53
507173-Odilia Camello-17047.51
156606-Celeste Duarte-4164.43
184645-Almerinda Palmeira-12250.24
185417-Judite Damasceno-12989.32
380777-Branco Saraba-1535.42
555929-Regina Barcellos-3970.76
205062-Carminda Morais-3177.85
945672-Oliveira Carmona-17228.19
663803-Emedlio Pimentel-19074.89
802164-Tarrataca Soares-3507.01
793032-Moaci Mendoa-13412.08
691657-Lurdes Cotrim-8588.81
464578-Rodolfo Paz-18510.66
354380-Rodolfo Paz-16337.67
986586-Micaela Chavez-13156.65
772104-Clarindo Areosa-19822.21
957684-Jorgina Bogalho-13459.42
339455-Trajano Fagundes-1134.04
422830-Honorina Lira-15680.68
333618-Odilia Bello-6693.86
797108-Carminda Morais-16291.79
527726-Odilia Bello-21308.71
701787-Clara Alcantara-10038.52
415721-Feledcia Peassego-4047.23
61302-Ermelinda Quintela-10297.09
765119-Artur Grillo-17254.81
28742-Andreia Moita-10849.55
