53845-Oliveira Carmona-20533.93
935697-Angilica Galante-12213.98
384495-Domingos Pas-13136.60
436298-Guida Juca-2233.38
325038-Branco Saraba-7874.24
694454-Rebeca Neto-20071.29
918311-Emiliana Foquio-6293.06
349521-Estanislau Beserra-1290.83
271128-Tibefarcio Colao-13679.01
499635-Trajano Fagundes-303.91
343841-Cleusa Goes-17670.57
97360-Melinda Roserio-1755.09
770767-Daniel Vieyra-12708.94
765450-Guida Juca-15443.30
189750-Jussara Varanda-1421.72
444668-Edgar Carvalheiro-15348.66
726199-Sara Lameiras-6893.01
46286-Camila Gabeira-18676.50
506625-Marilda Leio-9954.38
605569-Danilo Olaio-17469.37
931762-Sara Lameiras-16807.98
113738-Filomena Barrios-17918.95
694003-Flamednia Leiria-11211.82
933928-Ubaldo Mainha-634.64
27729-Sofras Cuaresma-10206.54
545384-Rodolfo Paz-2486.15
708116-Tabalipa Duarte-10993.41
692951-Neeamia Arruda-14983.87
244869-Quintino Alcantara-4524.10
213932-Oliveira Carmona-10430.16
90810-Melinda Roserio-1604.64
508694-Augusta Paio-3935.77
952336-Elisa Themes-8162.71
806231-Jorgina Bogalho-5947.22
990326-Oliveira Senchez-20997.49
862363-Moaci Mendoa-18238.11
600444-Jonatas Felgueiras-17740.36
639233-Sidfnio Frois-4322.45
360954-Ermelinda Quintela-750.06
4032-Antonio Castelo-20702.20
617158-Guaraci Damasceno-58.27
27823-Clara Alcantara-20913.36
366090-Adelina Quadros-20598.05
370023-Antonio Castelo-11821.27
354128-Henrique Bento-10026.34
991803-Oliveira Carmona-16634.96
760421-Camila Gabeira-4046.13
353477-Micaela Chavez-627.69
366313-Romo Paranage-3581.30
789202-Sidfnio Frois-1386.50
227713-Urbano Rodrigues-11512.67
129961-Almerinda Palmeira-7818.11
126035-Guida Juca-8221.77
393588-Quintiliano Sousa de Arronches-2460.64
382899-Elisa Themes-12644.18
638049-Andreia Moita-6029.26
220775-Celeste Duarte-6576.87
355545-Clara Alcantara-3805.56
735311-Delfina Perdigon-12699.23
121293-Neuza Francia-16307.12
243777-Micaela Chavez-3584.56
193573-Telma Villalobos-19085.86
995727-Joaquim Rufino-2322.28
118927-Telma Villalobos-4406.22
369405-Angilica Galante-9810.05
770190-Delfina Garcia de Gondim-18056.43
183647-Odete Vasques-4433.80
210220-Flamednia Leiria-8157.35
5494-Regina Barcellos-12074.71
930423-Cassandra Varejo-16935.92
505391-Oliveira Carmona-493.52
863909-Eurico Siqueira-5755.46
33799-Filomena Barrios-10685.42
381151-Edgar Carvalheiro-14406.60
308693-Odilia Camello-7265.46
654201-Armanda Amorim-20763.16
442181-Domingos Pas-7110.16
400352-Feledcia Peassego-13302.27
431247-Basilio Pedroso-18492.32
901180-Edgar Carvalheiro-4786.79
83000-Quintiliano Sousa de Arronches-16521.84
720774-Guida Juca-785.65
977167-Ubaldo Mainha-8345.98
945509-Celeste Duarte-4474.96
52094-Joaquim Rufino-13108.05
163467-Daniel Vieyra-3939.75
434031-Gaudancio Fiees-4474.17
84561-Eurico Siqueira-21288.18
986955-Delfina Garcia de Gondim-15237.65
360171-Estanislau Beserra-20496.66
841855-Taercio Mafra-10422.66
675784-Leonidas Mafra-10075.03
55533-Celeste Duarte-17064.80
976828-Eurico Siqueira-12239.42
591301-Adelina Quadros-5.10
235653-Armindo Castalo-11646.74
229130-Liana Cardim-796.24
239029-Leonidas Mafra-14837.09
991921-Andreia Moita-18976.96
976949-Sara Lameiras-3815.72
157240-Artur Grillo-7764.14
521835-Cassandra Varejo-9840.90
967345-Flor Portella-15801.45
11219-Domingos Pas-14856.39
550959-Antonio Viegas-21412.30
411611-Leonidas Mafra-21259.82
731024-Tarrataca Soares-13687.27
500435-Elisa Themes-5804.83
87494-Elisa Themes-10914.75
439799-Almor Caiado-4559.68
491234-Delfina Perdigon-13001.25
808449-Tibofarcio Camacho-9811.63
144921-Emiliana Foquio-17251.31
477817-Anfnia Seixas-716.58
752648-Sofras Cuaresma-7632.09
537858-Moaci Mendoa-8156.21
996916-Delfina Perdigon-6228.68
596557-Clara Alcantara-6323.69
904991-Spnia ou Sonia Guerreiro-8254.56
941876-Almerinda Palmeira-5784.12
34679-Letedcia Gago-19409.04
57960-Honorina Lira-16602.29
171151-Telma Villalobos-7438.90
946137-Heleedsa Marins-8983.67
876098-Moaci Mendoa-12001.20
35983-Ubaldo Mainha-16496.58
210501-Honorina Lira-12641.71
112431-Tibofarcio Camacho-1232.84
13505-Daniel Vieyra-18581.89
389292-Manuel Capiperibe-19241.31
733094-Emiliana Foquio-7026.82
718503-Judite Damasceno-11177.40
867354-Adelina Quadros-20059.11
663345-Antonio Castelo-6523.74
117694-Clara Alcantara-6902.50
297712-Estanislau Beserra-21132.86
98659-Quintiliano Sousa de Arronches-6050.13
767911-Odilia Camello-18291.25
805902-Antonio Castelo-20711.38
816480-Danilo Olaio-2750.44
239442-Cassandra Varejo-11917.77
598728-Danilo Olaio-18264.96
670083-Sidfnio Frois-10128.79
663835-Regina Barcellos-4760.59
508746-Oliveira Carmona-2876.93
990168-Almor Caiado-12109.91
645959-Emiliana Foquio-19140.90
989389-Guida Juca-8723.74
100662-Mercia Caeira-8656.96
433825-Rebeca Neto-5720.29
898051-Ermelinda Quintela-5697.85
560723-Zulmira Becerra-6523.83
963450-Artur Grillo-3325.70
793734-Rebeca Neto-3542.34
997714-Esperada Cardoso-16157.42
967840-Antonio Viegas-10222.49
740096-Trajano Fagundes-2234.11
524982-Estanislau Beserra-4834.01
434931-Spnia ou Sonia Guerreiro-19255.01
516150-Neuza Francia-21129.35
641581-Flamednia Leiria-8223.50
60670-Zulmira Becerra-9039.10
975569-Ermelinda Quintela-13278.74
286335-Antonio Viegas-19526.68
656315-Romo Paranage-12831.82
719553-Celeste Duarte-96.66
290115-Odilia Bello-2454.06
950308-Melinda Roserio-4479.31
500747-Camila Gabeira-2988.82
263687-Zulmira Becerra-18693.98
539255-Delfina Perdigon-11395.56
115950-Sara Lameiras-14486.17
592500-Eurico Siqueira-3281.09
122637-Dulce Froes-9383.95
402900-Emedlio Pimentel-16080.51
425682-Emiliana Foquio-4772.87
213855-Regina Barcellos-9045.78
413380-Letedcia Gago-5090.44
13644-Basilio Pedroso-1630.61
631663-Quintino Alcantara-7323.25
701261-Clara Alcantara-6413.81
120490-Tabalipa Duarte-4600.13
966425-Clarindo Areosa-8406.05
202517-Fulvio Villegas-21157.28
106148-Dulce Froes-3446.47
707737-Oliveira Carmona-14380.73
975123-Regina Barcellos-21232.87
648404-Guaraci Damasceno-4762.17
252561-Artur Grillo-12752.30
255229-Carminda Morais-33.78
656208-Regina Barcellos-9210.79
129782-Filomena Barrios-5557.16
220270-Letedcia Gago-19586.83
935945-Antonio Viegas-154.02
46790-Manuel Capiperibe-9735.08
725473-Ximena Castilho-18212.15
691547-Estanislau Beserra-4207.07
235128-Armindo Castalo-13123.55
339227-Rebeca Neto-6491.24
504593-Lurdes Cotrim-8773.79
994913-Jussara Varanda-17190.36
865793-Eurico Siqueira-186.82
265887-Almerinda Palmeira-15199.02
271345-Rodolfo Paz-1083.54
