234626-Angelica Aranha-3374.74
197341-Basilio Pedroso-9341.33
662586-Feledcia Peassego-4386.78
484778-Neeamia Arruda-13753.71
274408-Marilda Leio-13336.66
873394-Tibofarcio Camacho-11806.48
335938-Zungela Ipiranga-16948.88
117034-Tibefarcio Colao-16697.11
343406-Emedlia Silvera-4633.05
551714-Artur Grillo-10666.40
123886-Emedlio Pimentel-8545.91
985097-Carminda Morais-16627.88
451866-Lurdes Cotrim-14929.67
658107-Trajano Fagundes-8059.68
712528-Letedcia Gago-7627.59
154691-Adelino Barra-2621.49
381234-Odete Vasques-2694.85
995133-Edgar Carvalheiro-6096.02
603878-Ubaldo Mainha-12589.45
978313-Jonatas Felgueiras-11720.13
272079-Lurdes Cotrim-18461.37
679116-Lina Andrade-16956.38
735687-Flor Portella-17790.90
470400-Antonio Castelo-8292.65
92545-Silvio Mata-14569.77
381003-Angilica Galante-1006.48
833856-Moaci Mendoa-4290.30
174327-Antonio Castelo-20910.25
742459-Antonio Viegas-9221.45
131906-Delfina Garcia de Gondim-5256.40
161563-Edgar Carvalheiro-16459.12
781924-Elisa Themes-12781.07
223036-Jorgina Bogalho-3563.59
631133-Dulce Froes-14668.30
7344-Silvio Mata-16899.22
142430-Sara Lameiras-2118.19
942489-Mercia Caeira-3606.53
227107-Sofras Cuaresma-16838.28
113318-Regina Barcellos-15560.86
460880-Feledcia Peassego-4407.35
821508-Elisa Themes-15518.96
835440-Trajano Fagundes-14491.95
4126-Eurico Siqueira-17954.18
779431-Spnia ou Sonia Guerreiro-19360.49
819462-Dulce Froes-5295.72
353100-Rebeca Neto-4862.31
535036-Romo Paranage-20681.74
746503-Micaela Chavez-12499.17
498988-Lina Andrade-7885.47
912721-Lurdes Cotrim-19430.08
449662-Quintiliano Sousa de Arronches-15903.46
930947-Neeamia Arruda-15766.97
519340-Gaudancio Fiees-14502.18
466880-Anind Zarco-8425.14
760319-Moaci Mendoa-5828.49
492202-Judite Damasceno-21282.03
43533-Sara Lameiras-12842.54
248168-Carminda Morais-6275.17
796785-Quintiliano Sousa de Arronches-1015.32
431845-Basilio Pedroso-6284.45
317958-Marilda Leio-5864.11
100335-Judite Damasceno-16213.42
593605-Cleusa Goes-7163.77
20803-Cleusa Goes-3753.61
13064-Estanislau Beserra-20651.21
577730-Angilica Galante-10331.30
889937-Manuel Capiperibe-17861.73
375820-Celeste Duarte-3899.38
295192-Celeste Duarte-6757.34
761369-Trajano Fagundes-20521.66
751585-Delfina Garcia de Gondim-6650.01
603700-Lurdes Cotrim-2136.17
669507-Emedlia Silvera-21472.11
953131-Eurico Siqueira-18187.48
266707-Branco Saraba-11642.77
429699-Guida Juca-7133.72
795206-Lina Andrade-9522.61
447320-Fulvio Villegas-18016.37
616194-Marilda Leio-2164.49
317167-Quintino Alcantara-12802.10
462960-Joaquim Rufino-4934.78
19588-Artur Grillo-15940.82
950702-Edgar Carvalheiro-18637.51
742937-Angelica Aranha-6052.21
412229-Urbano Rodrigues-8084.88
202546-Branco Saraba-9089.17
155146-Danilo Olaio-8872.29
280859-Aludsio Sosa-20276.76
344204-Danilo Olaio-6628.09
141967-Nuno Balsemeo-11891.26
138697-Zungela Ipiranga-20875.89
619650-Regina Barcellos-17971.25
234216-Neeamia Arruda-19390.75
576000-Tabalipa Duarte-10823.35
182159-Mercia Caeira-17497.47
65755-Trajano Fagundes-17114.66
837224-Quintiliano Sousa de Arronches-20006.21
870151-Emiliana Foquio-1084.18
540355-Emedlio Pimentel-7197.62
175734-Judite Damasceno-2154.21
537656-Sidfnio Frois-6475.59
377707-Judite Damasceno-5336.95
299587-Delfim Higuera-874.46
5508-Emedlio Pimentel-14560.22
415897-Delfim Higuera-157.20
830164-Branco Saraba-12257.86
678010-Jorgina Bogalho-15046.24
754639-Guida Juca-18044.94
23725-Guaraci Damasceno-17795.50
101462-Micaela Chavez-16462.42
305016-Edgar Carvalheiro-5372.96
130052-Henrique Bento-10936.74
596158-Emedlia Silvera-6144.90
137685-Odilia Camello-9634.96
530274-Nuno Balsemeo-5984.28
186153-Clarindo Areosa-3277.74
307870-Joaquim Rufino-10604.52
83275-Edgar Carvalheiro-15362.07
760523-Carminda Morais-16352.31
716522-Feledcia Peassego-20203.32
93239-Clara Alcantara-17331.54
29372-Liana Cardim-7138.00
660922-Emedlia Silvera-7593.96
254809-Odete Vasques-16615.34
870683-Andreia Moita-2075.80
207053-Jussara Varanda-2947.67
846028-Me0-Gaudancio Fiees-14743.21
333656-Oliveira Senchez-12385.53
614289-Clarindo Areosa-472.63
756708-Feledcia Peassego-13760.01
785789-Delfina Garcia de Gondim-18882.57
479106-Lurdes Cotrim-8073.59
218223-Marilda Leio-2831.76
53031-Ubaldo Mainha-3735.15
514338-Antonio Castelo-9793.51
989372-Armanda Amorim-18502.87
550202-Almor Caiado-20125.12
568548-Ubaldo Mainha-4043.62
575376-Cassandra Varejo-15879.77
140151-Melinda Roserio-13432.50
38944-Sofras Cuaresma-21160.36
651673-Clarindo Areosa-6910.31
344986-Oliveira Carmona-10412.49
379849-Liana Cardim-21453.02
721096-Silvio Mata-18423.33
516507-Mercia Caeira-1238.39
664771-Heleedsa Marins-5203.89
133927-Tabalipa Duarte-19059.57
155922-Augusta Paio-4270.49
957595-Jussara Varanda-6001.89
760359-Sofras Cuaresma-6352.28
336845-Cassandra Varejo-19878.80
272268-Dulce Froes-907.41
900294-Odilia Camello-15081.21
42905-Andreia Moita-5673.58
536891-Anfnia Seixas-3733.91
834359-Basilio Pedroso-7390.56
160508-Clarindo Areosa-9911.90
848996-Angelica Aranha-2208.62
30464-Eurico Siqueira-6228.20
977971-Odete Vasques-14255.80
960956-Oliveira Senchez-2224.33
491229-Micaela Chavez-21157.06
270660-Aludsio Sosa-9461.22
384986-Flamednia Leiria-13821.65
832191-Tarrataca Soares-1082.19
118001-Angilica Galante-11220.53
308969-Almor Caiado-21412.13
457292-Clara Alcantara-14225.79
171050-Emedlio Pimentel-5541.26
74042-Manuel Capiperibe-8791.04
205214-Edgar Carvalheiro-2185.81
732589-Clarindo Areosa-14110.72
1155-Anind Zarco-12028.59
907111-Henrique Bento-17392.44
171555-Sidfnio Frois-5675.93
827344-Quintiliano Sousa de Arronches-21067.11
55603-Dulce Froes-4345.36
473907-Elisa Themes-17519.93
754529-Zungela Ipiranga-436.81
371418-Tabalipa Duarte-2047.55
568580-Emiliana Foquio-7229.60
199212-Anfnia Seixas-14386.92
51935-Heleedsa Marins-2952.10
543395-Oliveira Carmona-9481.17
200146-Tibofarcio Camacho-18172.89
75430-Lurdes Cotrim-11286.32
519960-Adelina Quadros-17686.88
694243-Sara Lameiras-4336.78
963628-Basilio Pedroso-16394.33
358579-Tibefarcio Colao-17138.04
857067-Elisa Themes-20823.73
936402-Armanda Amorim-8200.88
604163-Zulmira Becerra-426.57
647364-Guida Juca-6962.00
934639-Joaquim Rufino-20154.00
330882-Adelino Barra-19609.92
437744-Angelica Aranha-16550.28
596896-Branco Saraba-10912.39
265632-Antonio Viegas-16922.03
98648-Celeste Duarte-18645.61
sa Goes-17446.69
649782-Antonio Viegas-17585.01
554038-Sidfnio Frois-18216.45
135520-Ermelinda Quintela-14143.40
17102-Angelica Aranha-6347.82
789010-Guida Juca-17690.03
742370-Antonio Castelo-14020.54
