192218-Lina Andrade-20186.49
492792-Celeste Duarte-8776.71
480202-Judite Damasceno-10842.59
932342-Angelica Aranha-3644.80
231526-Rebeca Neto-11161.94
155977-Augusta Paio-14404.90
861354-Anfnia Seixas-11507.25
390924-Emedlio Pimentel-3235.37
775484-Sara Lameiras-487.02
396610-Judite Damasceno-19973.43
318460-Oliveira Carmona-15443.78
136414-Danilo Olaio-11503.87
924387-Cleusa Goes-433.84
435893-Lurdes Cotrim-15803.16
613851-Augusta Paio-2730.64
312630-Delfim Higuera-3142.20
98998-Almerinda Palmeira-17110.81
461159-Silvio Mata-13169.89
120047-Quintiliano Sousa de Arronches-10452.80
4130-Sidfnio Frois-10566.77
453485-Neuza Francia-4195.12
183311-Flor Portella-17746.48
584238-Oliveira Senchez-7180.89
243762-Adelino Barra-17655.25
899975-Joaquim Rufino-5566.55
750190-Rodolfo Paz-15189.68
606669-Branco Saraba-2115.83
704423-Delfina Garcia de Gondim-6200.44
822910-Cleusa Goes-8961.64
159539-Romo Paranage-21051.68
839323-Adelina Quadros-15801.38
929843-Sidfnio Frois-2148.38
891187-Jonatas Felgueiras-10344.22
752615-Oliveira Carmona-8281.82
446468-Flamednia Leiria-21080.82
687920-Taercio Mafra-16953.49
665654-Flor Portella-10304.72
241023-Joaquim Rufino-12641.76
804951-Lina Andrade-5725.15
165627-Zulmira Becerra-11516.75
203309-Celeste Duarte-7040.31
752809-Angilica Galante-7739.60
466894-Sidfnio Frois-3643.68
786302-Clara Alcantara-16661.21
630576-Tabalipa Duarte-19645.67
646271-Urbano Rodrigues-15327.71
629666-Daniel Vieyra-6849.53
712462-Danilo Olaio-11321.94
323114-Tarrataca Soares-20439.99
130726-Flamednia Leiria-1706.81
106724-Cassandra Varejo-8638.85
737297-Tibefarcio Colao-2481.54
205757-Joaquim Rufino-981.37
96341-Quintino Alcantara-11319.23
685515-Odilia Camello-8200.70
873255-Tabalipa Duarte-18667.17
409751-Lurdes Cotrim-14958.63
934377-Andreia Moita-20665.75
151555-Joaquim Rufino-20514.14
884197-Delfim Higuera-1990.62
291840-Melinda Roserio-7621.68
246513-Antonio Viegas-10259.06
161705-Almerinda Palmeira-12051.11
961309-Urbano Rodrigues-1867.24
881588-Odete Vasques-9464.10
885361-Moaci Mendoa-12972.83
176901-Domingos Pas-7872.09
421862-Letedcia Gago-4466.60
861267-Henrique Bento-15398.11
332771-Neeamia Arruda-3442.12
969299-Micaela Chavez-1590.20
6863-Angilica Galante-16882.66
198273-Letedcia Gago-14109.45
43127-Heleedsa Marins-18389.06
295023-Jonatas Felgueiras-3433.04
133595-Nuno Balsemeo-10361.89
205113-Emedlio Pimentel-11553.66
655595-Dulce Froes-13857.88
197504-Emiliana Foquio-7121.66
153954-Elisa Themes-11784.98
688376-Daniel Vieyra-8079.84
391141-Romo Paranage-4645.07
999548-Ximena Castilho-3962.22
235706-Celeste Duarte-7012.65
712307-Elisa Themes-3640.76
82163-Angelica Aranha-2047.26
251233-Edgar Carvalheiro-20899.31
145622-Neuza Francia-10731.03
699705-Oliveira Senchez-13683.01
65039-Adelino Barra-7319.71
158525-Dulce Froes-15106.59
755650-Clarindo Areosa-1715.67
651985-Feledcia Peassego-20355.67
492882-Sofras Cuaresma-18653.19
756003-Andreia Moita-19950.31
322936-Cleusa Goes-12236.29
595394-Jonatas Felgueiras-8483.97
233926-Sidfnio Frois-16565.43
176746-Neuza Francia-19472.42
285121-Angelica Aranha-11128.24
408174-Odilia Camello-16449.82
515205-Rodolfo Paz-15552.54
129429-Tarrataca Soares-3844.23
481822-Jonatas Felgueiras-16909.15
99159-Delfina Perdigon-8711.88
792817-Moaci Mendoa-4160.27
212741-Eurico Siqueira-13616.23
80398-Sidfnio Frois-5683.73
51382-Sofras Cuaresma-15695.50
839550-Quintino Alcantara-7823.51
115208-Flor Portella-15327.59
50381-Micaela Chavez-3337.91
68914-Nuno Balsemeo-19449.20
654004-Antonio Viegas-3199.18
74060-Aludsio Sosa-4550.17
41389-Emedlia Silvera-5668.10
154507-Liana Cardim-8600.23
664647-Artur Grillo-12771.04
717431-Manuel Capiperibe-7436.71
45269-Emedlio Pimentel-6280.27
196847-Edgar Carvalheiro-16621.42
847044-Ermelinda Quintela-10617.09
267861-Odilia Bello-11457.78
111283-Delfina Garcia de Gondim-18024.32
386545-Flor Portella-6020.22
849650-Quintiliano Sousa de Arronches-16870.64
339885-Aludsio Sosa-19862.18
968996-Polibe Olivares-2003.99
970910-Emedlia Silvera-1336.33
38725-Flamednia Leiria-15856.78
457561-Armanda Amorim-13743.92
151945-Marilda Leio-11447.55
637082-Regina Barcellos-3045.39
75106-Heleedsa Marins-13856.50
915135-Romo Paranage-17840.37
772679-Aludsio Sosa-2234.03
956909-Romo Paranage-14147.43
164213-Armanda Amorim-2772.28
991341-Odilia Camello-16741.99
489676-Almor Caiado-7327.54
15120-Sidfnio Frois-3827.28
199232-Manuel Capiperibe-93.96
608747-Adelina Quadros-20940.34
796227-Clara Alcantara-21391.09
932028-Filomena Barrios-4645.40
90210-Antonio Castelo-18203.13
828515-Camila Gabeira-3307.86
301449-Celeste Duarte-11509.50
173661-Silvio Mata-12629.42
678934-Quintiliano Sousa de Arronches-14104.31
378889-Regina Barcellos-739.63
470374-Rodolfo Paz-10631.62
833136-Basilio Pedroso-11447.71
735036-Letedcia Gago-14645.67
803711-Silvio Mata-16774.99
425705-Filomena Barrios-2381.06
450668-Antonio Castelo-9809.34
218486-Feledcia Peassego-15972.35
214507-Melinda Roserio-1399.26
442346-Armanda Amorim-10376.04
908023-Edgar Carvalheiro-15809.83
618155-Ermelinda Quintela-9969.70
724688-Ermelinda Quintela-4303.20
381056-Basilio Pedroso-1855.71
662366-Cleusa Goes-16483.75
483752-Flamednia Leiria-1603.17
617894-Polibe Olivares-2397.67
54405-Antonio Castelo-11539.86
957498-Anind Zarco-10327.17
802162-Tibofarcio Camacho-15501.59
594427-Antonio Castelo-12915.83
349411-Antonio Viegas-6397.18
266348-Flor Portella-17514.43
470337-Mercia Caeira-2783.40
241254-Jorgina Bogalho-5070.02
543830-Flor Portella-7544.86
435573-Aludsio Sosa-6936.20
777702-Almerinda Palmeira-6551.91
871665-Angilica Galante-17901.49
374773-Antonio Castelo-10664.67
515016-Ermelinda Quintela-20420.62
638580-Clarindo Areosa-4959.27
732190-Zulmira Becerra-17861.94
145334-Delfina Perdigon-6151.80
645754-Danilo Olaio-5949.38
37159-Oliveira Senchez-12554.82
228904-Clara Alcantara-6874.34
704360-Oliveira Carmona-20192.12
165662-Polibe Olivares-4055.99
343669-Eurico Siqueira-2814.91
713432-Sidfnio Frois-5370.06
666622-Estanislau Beserra-6056.44
337745-Taercio Mafra-14843.76
967843-Estanislau Beserra-14560.38
937972-Esperada Cardoso-7062.00
426850-Neuza Francia-8832.37
401877-Oliveira Senchez-21474.66
997299-Sidfnio Frois-4436.87
783873-Leonidas Mafra-12208.53
235449-Leonidas Mafra-12167.13
670542-Oliveira Senchez-19814.26
683578-Clarindo Areosa-5116.09
623969-Antonio Viegas-17419.47
758063-Emedlia Silvera-9814.31
105255-Artur Grillo-6558.85
874093-Aludsio Sosa-12723.12
