916940-Angilica Galante-19840.30
877060-Aludsio Sosa-4504.69
464215-Antonio Castelo-3569.91
858823-Rodolfo Paz-12624.69
651893-Heleedsa Marins-15692.92
87040-Letedcia Gago-6101.97
732234-Estanislau Beserra-17205.34
920138-Emedlia Silvera-13235.54
400808-Mercia Caeira-6570.45
455399-Guaraci Damasceno-7883.78
46603-Celeste Duarte-9804.68
585554-Tibefarcio Colao-8108.62
758358-Antonio Castelo-4948.42
912869-Ermelinda Quintela-12907.01
203602-Micaela Chavez-15013.53
701252-Trajano Fagundes-3589.57
332161-Guaraci Damasceno-2012.05
250952-Rodolfo Paz-14581.25
968087-Ximena Castilho-18795.26
658654-Basilio Pedroso-20199.81
160154-Danilo Olaio-15825.44
724627-Adelina Quadros-4646.46
241620-Tarrataca Soares-17304.05
265783-Jorgina Bogalho-9588.34
759120-Liana Cardim-10590.38
60985-Jonatas Felgueiras-8002.55
75831-Tibefarcio Colao-981.04
624978-Augusta Paio-10543.55
727659-Ximena Castilho-4538.39
391656-Rebeca Neto-21434.98
950225-Branco Saraba-16381.74
977203-Anfnia Seixas-18658.99
866004-Antonio Castelo-11296.57
597193-Sara Lameiras-19339.23
62299-Antonio Viegas-12461.98
364158-Tabalipa Duarte-6357.75
138866-Regina Barcellos-7128.51
118659-Polibe Olivares-10504.76
740026-Liana Cardim-8247.20
403775-Heleedsa Marins-6926.28
48955-Fulvio Villegas-14425.78
754872-Branco Saraba-19075.56
623433-Armanda Amorim-7509.38
896644-Tibofarcio Camacho-6150.52
520080-Tibofarcio Camacho-6431.14
180990-Regina Barcellos-1889.94
613330-Guida Juca-17591.33
632910-Gaudancio Fiees-12597.68
39738-Almor Caiado-1490.25
769198-Neeamia Arruda-3064.28
512647-Armanda Amorim-16044.77
946593-Liana Cardim-13307.49
795662-Anfnia Seixas-20973.72
817826-Letedcia Gago-13397.85
762518-Joaquim Rufino-168.21
421561-Letedcia Gago-13350.02
855941-Rodolfo Paz-17996.16
657841-Marilda Leio-15087.65
935887-Cleusa Goes-15168.05
450442-Armanda Amorim-1300.90
76812-Almor Caiado-16396.03
314276-Nuno Balsemeo-12410.66
107335-Nuno Balsemeo-8003.78
354697-Artur Grillo-14471.96
653554-Tibofarcio Camacho-8204.75
66207-Anfnia Seixas-1664.12
989516-Leonidas Mafra-1207.85
45997-Nuno Balsemeo-13964.43
387013-Neuza Francia-7488.95
752589-Basilio Pedroso-11503.45
546501-Marilda Leio-11459.38
817704-Jonatas Felgueiras-307.69
870126-Antonio Viegas-18598.76
294496-Flamednia Leiria-9417.47
20162-Taercio Mafra-389.17
567205-Leonidas Mafra-19419.84
632967-Augusta Paio-3974.89
314425-Micaela Chavez-14595.35
277195-Almerinda Palmeira-20929.22
561015-Emiliana Foquio-2991.91
935083-Quintiliano Sousa de Arronches-6797.38
428399-Heleedsa Marins-5440.72
987555-Anfnia Seixas-12229.42
440917-Branco Saraba-5187.53
89961-Regina Barcellos-19187.73
729907-Almerinda Palmeira-11448.57
265966-Feledcia Peassego-16794.90
103133-Quintiliano Sousa de Arronches-10273.20
899251-Quintino Alcantara-6971.14
590205-Cassandra Varejo-581.91
626439-Antonio Castelo-13881.26
117469-Leonidas Mafra-20315.55
377570-Sara Lameiras-10820.59
514079-Aludsio Sosa-14875.00
430749-Estanislau Beserra-4001.06
748429-Regina Barcellos-7878.36
566032-Eurico Siqueira-6696.18
873073-Quintino Alcantara-1662.38
231902-Antonio Castelo-6741.37
29532-Antonio Castelo-7947.27
18552-Guaraci Damasceno-16783.54
261815-Romo Paranage-1759.87
577025-Odilia Bello-6133.65
834308-Edgar Carvalheiro-5553.95
844512-Joaquim Rufino-9438.26
660503-Regina Barcellos-18175.75
333136-Quintino Alcantara-8236.57
495376-Antonio Viegas-5070.46
494354-Tibefarcio Colao-1797.95
123617-Regina Barcellos-19348.24
427829-Lina Andrade-17763.59
891128-Anind Zarco-3841.37
909211-Rebeca Neto-4497.14
985983-Domingos Pas-10485.49
595067-Delfina Perdigon-5519.09
793720-Antonio Viegas-8785.70
344552-Oliveira Senchez-10259.03
513531-Armindo Castalo-5259.15
436493-Andreia Moita-4059.25
979985-Rodolfo Paz-13630.49
766918-Lurdes Cotrim-13079.93
423730-Jonatas Felgueiras-16288.84
67890-Polibe Olivares-623.10
76970-Aludsio Sosa-19852.96
481400-Guida Juca-2954.07
228281-Flor Portella-18352.01
549692-Delfim Higuera-9500.62
44367-Spnia ou Sonia Guerreiro-4570.92
101733-Judite Damasceno-5225.28
437338-Telma Villalobos-18205.08
113420-Jussara Varanda-8507.92
664881-Adelina Quadros-14392.15
869890-Letedcia Gago-16142.83
272766-Heleedsa Marins-19893.60
740523-Anind Zarco-9723.58
117671-Eurico Siqueira-16545.86
581067-Cleusa Goes-15586.52
947495-Flamednia Leiria-15082.13
228682-Almor Caiado-20103.15
951688-Adelina Quadros-10972.68
723778-Basilio Pedroso-7038.98
5485-Armindo Castalo-4590.79
171586-Adelino Barra-7469.49
163995-Angilica Galante-20172.22
452344-Branco Saraba-10234.79
664404-Anfnia Seixas-4651.13
77544-Tibefarcio Colao-12206.94
69020-Guaraci Damasceno-211.58
152363-Emedlia Silvera-16873.87
280418-Artur Grillo-1828.55
916819-Armanda Amorim-11655.78
861187-Flor Portella-16485.84
20900-Moaci Mendoa-11132.72
980202-Angilica Galante-17694.36
816061-Clara Alcantara-13074.05
9879-Anfnia Seixas-225.85
306288-Basilio Pedroso-18976.63
771332-Branco Saraba-14402.48
965732-Adelino Barra-12549.17
991219-Quintino Alcantara-18641.97
285133-Rodolfo Paz-7936.30
477246-Celeste Duarte-10414.92
265142-Guida Juca-18995.12
2361-Celeste Duarte-6870.09
961668-Tibofarcio Camacho-15408.25
432642-Micaela Chavez-11383.51
500252-Emedlia Silvera-11341.74
294620-Danilo Olaio-9394.62
730537-Sofras Cuaresma-20624.28
69391-Manuel Capiperibe-709.35
262869-Leonidas Mafra-3572.20
34750-Trajano Fagundes-14776.97
423223-Delfina Garcia de Gondim-17439.63
567171-Moaci Mendoa-19029.65
179645-Branco Saraba-18244.43
196636-Guaraci Damasceno-3843.92
315253-Neeamia Arruda-1954.09
96688-Clarindo Areosa-3307.03
642667-Manuel Capiperibe-8114.34
105552-Cassandra Varejo-11775.03
798466-Antonio Castelo-16117.66
605524-Adelino Barra-11323.17
420617-Elisa Themes-13877.40
264645-Danilo Olaio-13438.24
634163-Spnia ou Sonia Guerreiro-6225.20
828880-Taercio Mafra-5312.33
891379-Judite Damasceno-10925.48
127948-Elisa Themes-20566.45
826272-Henrique Bento-5688.04
984786-Antonio Viegas-314.26
562006-Estanislau Beserra-1612.24
875769-Camila Gabeira-17518.30
403322-Odilia Camello-15497.67
893455-Zungela Ipiranga-14545.48
864881-Oliveira Carmona-56.98
795620-Sofras Cuaresma-8915.27
118315-Heleedsa Marins-9554.18
849569-Jorgina Bogalho-13315.46
800354-Quintiliano Sousa de Arronches-8118.89
668505-Joaquim Rufino-14588.74
72467-Taercio Mafra-11959.52
242407-Antonio Castelo-3803.44
