245777-Gaudancio Fiees-4897.48
666701-Sofras Cuaresma-2383.88
434000-Urbano Rodrigues-3535.27
632031-Aludsio Sosa-6859.87
734379-Edgar Carvalheiro-18920.44
868002-Domingos Pas-14688.56
97986-Odilia Bello-964.07
338725-Elisa Themes-1632.52
905810-Flamednia Leiria-21419.18
570558-Ermelinda Quintela-6919.36
104610-Delfim Higuera-3971.21
940187-Almerinda Palmeira-8737.88
973324-Gaudancio Fiees-7777.38
234073-Armindo Castalo-1208.87
707977-Edgar Carvalheiro-20196.21
649561-Basilio Pedroso-11110.06
784891-Aludsio Sosa-14491.04
128616-Joaquim Rufino-12419.59
499801-Oliveira Carmona-4343.81
42244-Telma Villalobos-18689.51
722533-Dulce Froes-5365.72
906561-Cassandra Varejo-11355.12
994815-Manuel Capiperibe-17094.86
93361-Spnia ou Sonia Guerreiro-72.36
695126-Flor Portella-21239.44
857210-Jussara Varanda-9201.10
875527-Joaquim Rufino-6244.11
816783-Oliveira Carmona-10955.40
9988-Liana Cardim-14530.40
121362-Judite Damasceno-4635.98
685305-Lina Andrade-8943.21
370636-Andreia Moita-20802.28
360408-Oliveira Carmona-21122.22
88623-Branco Saraba-13438.32
703662-Tabalipa Duarte-4610.44
456258-Celeste Duarte-13559.01
214413-Henrique Bento-12022.93
592465-Filomena Barrios-966.26
445492-Tabalipa Duarte-3496.36
679303-Quintiliano Sousa de Arronches-19557.57
864458-Adelina Quadros-13119.59
138270-Emedlio Pimentel-9628.46
440927-Spnia ou Sonia Guerreiro-17822.06
229401-Joaquim Rufino-2528.11
770470-Flamednia Leiria-7905.15
255759-Urbano Rodrigues-11199.71
367532-Quintiliano Sousa de Arronches-2047.02
890682-Trajano Fagundes-16412.94
953825-Heleedsa Marins-2292.56
573113-Augusta Paio-6979.35
307142-Tibofarcio Camacho-6213.16
362095-Judite Damasceno-5359.71
160883-Oliveira Carmona-15774.12
181971-Neeamia Arruda-11601.58
67775-Rebeca Neto-14389.28
480718-Ubaldo Mainha-2427.00
827066-Polibe Olivares-6390.68
465995-Oliveira Senchez-11049.58
214288-Moaci Mendoa-5884.28
114637-Armindo Castalo-5425.18
288405-Branco Saraba-14308.25
937248-Flor Portella-20001.87
431802-Heleedsa Marins-358.64
648829-Jonatas Felgueiras-19450.46
676950-Silvio Mata-4816.31
219829-Oliveira Carmona-4016.28
250076-Guaraci Damasceno-9134.55
982105-Honorina Lira-10719.21
524732-Dulce Froes-9736.51
807099-Delfina Perdigon-9682.82
57564-Branco Saraba-8640.87
107881-Joaquim Rufino-19730.24
645377-Nuno Balsemeo-9629.72
594627-Armanda Amorim-17636.21
217735-Delfina Garcia de Gondim-3328.15
285173-Mercia Caeira-17560.34
536348-Cassandra Varejo-7108.01
887847-Neuza Francia-16967.83
681298-Anfnia Seixas-20603.08
419582-Tabalipa Duarte-20306.31
675811-Oliveira Senchez-1582.05
273480-Antonio Castelo-13593.13
58332-Heleedsa Marins-18749.58
223954-Neuza Francia-11350.69
952318-Ermelinda Quintela-2998.03
794847-Tabalipa Duarte-8080.89
297666-Basilio Pedroso-7551.41
738786-Adelina Quadros-7800.29
616906-Branco Saraba-19877.10
146316-Sofras Cuaresma-6716.46
474356-Branco Saraba-16693.22
889431-Sara Lameiras-21165.96
845142-Danilo Olaio-18661.70
289643-Urbano Rodrigues-9539.11
871763-Jorgina Bogalho-13248.63
752101-Emedlio Pimentel-13131.74
699541-Mercia Caeira-13204.72
931457-Gaudancio Fiees-1127.27
979010-Oliveira Senchez-9093.44
334227-Esperada Cardoso-3890.06
353265-Lina Andrade-16674.81
60982-Artur Grillo-13138.87
597965-Joaquim Rufino-13012.48
609591-Urbano Rodrigues-4450.54
206839-Angilica Galante-5089.26
607445-Neeamia Arruda-18256.78
96581-Fulvio Villegas-18563.78
726949-Liana Cardim-13118.25
902747-Edgar Carvalheiro-18888.04
788922-Cassandra Varejo-13526.55
837760-Branco Saraba-17340.08
725072-Fulvio Villegas-10435.86
724338-Carminda Morais-6407.00
410242-Ermelinda Quintela-2528.26
6738-Odete Vasques-10150.33
466146-Jorgina Bogalho-10796.40
132367-Delfina Perdigon-12547.37
270365-Augusta Paio-1479.80
135276-Antonio Viegas-6868.83
344008-Elisa Themes-5641.88
75581-Odilia Camello-4515.42
287998-Guida Juca-20182.67
903395-Tabalipa Duarte-9385.08
283266-Odete Vasques-12259.18
200904-Gaudancio Fiees-16869.25
560775-Artur Grillo-14989.07
114980-Basilio Pedroso-19750.40
563062-Moaci Mendoa-1408.26
836477-Melinda Roserio-4039.62
430587-Emedlia Silvera-15263.06
195973-Carminda Morais-17493.81
485898-Danilo Olaio-5931.86
361346-Cleusa Goes-15190.89
452986-Antonio Castelo-15333.72
854058-Tarrataca Soares-10810.90
804104-Micaela Chavez-6711.67
910571-Anfnia Seixas-21292.82
753687-Branco Saraba-8693.61
576753-Almerinda Palmeira-3507.14
798869-Guida Juca-3146.61
692605-Oliveira Carmona-21138.57
644776-Zungela Ipiranga-10398.59
380454-Nuno Balsemeo-2837.37
140330-Jonatas Felgueiras-4861.90
818294-Henrique Bento-19000.44
421083-Carminda Morais-12453.64
963901-Celeste Duarte-17492.75
546410-Emedlio Pimentel-3715.45
955327-Delfina Perdigon-15551.22
842282-Lurdes Cotrim-16919.21
34930-Camila Gabeira-13461.29
125204-Odilia Camello-9692.91
917455-Delfim Higuera-4321.87
798726-Cassandra Varejo-6733.28
568634-Nuno Balsemeo-7711.46
428085-Daniel Vieyra-2650.83
970556-Almor Caiado-6540.47
794677-Neuza Francia-17655.94
496214-Estanislau Beserra-15930.65
427995-Rebeca Neto-5404.24
504256-Cleusa Goes-1339.75
953674-Heleedsa Marins-21231.01
778499-Delfina Garcia de Gondim-6585.34
340079-Esperada Cardoso-15543.33
91399-Taercio Mafra-20489.02
402869-Emiliana Foquio-10758.46
594947-Oliveira Carmona-14538.17
61850-Quintiliano Sousa de Arronches-10171.28
589971-Liana Cardim-6351.40
239710-Clarindo Areosa-6585.68
326289-Neeamia Arruda-14020.73
58665-Odete Vasques-6845.43
81614-Delfina Perdigon-16933.21
808294-Micaela Chavez-4171.77
346333-Emedlio Pimentel-16372.69
546727-Tibofarcio Camacho-8111.88
346913-Jussara Varanda-13317.83
678088-Heleedsa Marins-6533.61
119365-Jonatas Felgueiras-12949.51
658776-Liana Cardim-5167.07
105899-Neeamia Arruda-105.50
528368-Judite Damasceno-11226.09
84091-Telma Villalobos-5272.07
657821-Andreia Moita-8040.15
597338-Odete Vasques-4788.78
438574-Angelica Aranha-3229.41
642318-Feledcia Peassego-6012.88
662773-Danilo Olaio-19679.66
327322-Emiliana Foquio-18936.01
648531-Joaquim Rufino-19712.60
21690-Antonio Castelo-5938.82
500111-Spnia ou Sonia Guerreiro-429.27
4765-Quintiliano Sousa de Arronches-2940.11
863207-Lurdes Cotrim-20056.69
382812-Dulce Froes-2897.83
687683-Regina Barcellos-14902.21
697042-Taercio Mafra-2403.80
5835-Ximena Castilho-1415.59
159561-Basilio Pedroso-634.03
780895-Lina Andrade-6410.51
625899-Angelica Aranha-3855.89
504510-Celeste Duarte-6990.89
508097-Delfim Higuera-1186.11
