364330-Anind Zarco-2509.84
718783-Celeste Duarte-9620.75
101990-Lurdes Cotrim-7093.61
403505-Artur Grillo-13695.06
311501-Delfina Garcia de Gondim-13174.49
386652-Lurdes Cotrim-20013.74
730335-Guida Juca-10601.98
969127-Regina Barcellos-1810.73
968713-Ubaldo Mainha-8097.90
81480-Anfnia Seixas-14022.83
530169-Guida Juca-12703.09
417620-Domingos Pas-3785.44
710441-Mercia Caeira-18076.46
538755-Oliveira Carmona-8985.66
898569-Lurdes Cotrim-11848.78
391849-Mercia Caeira-8737.81
144910-Emedlio Pimentel-19975.11
295810-Adelino Barra-6039.97
593742-Spnia ou Sonia Guerreiro-2944.82
992038-Delfina Perdigon-15805.63
460147-Manuel Capiperibe-12376.10
95947-Sara Lameiras-14240.27
806678-Filomena Barrios-5772.54
394797-Antonio Castelo-13257.93
488671-Delfina Perdigon-2202.08
547784-Almor Caiado-11486.00
497704-Armindo Castalo-8102.61
645440-Heleedsa Marins-1270.73
866342-Honorina Lira-2856.67
393681-Sofras Cuaresma-7206.59
203910-Tabalipa Duarte-5816.35
839825-Melinda Roserio-20577.31
20208-Rodolfo Paz-18160.54
363403-Andreia Moita-5659.66
272914-Zulmira Becerra-18244.54
576595-Tibefarcio Colao-4665.18
177450-Urbano Rodrigues-6410.16
289463-Marilda Leio-12606.61
398113-Odilia Camello-3590.44
504816-Odilia Bello-8934.38
174701-Carminda Morais-21186.42
970641-Moaci Mendoa-10099.98
310257-Filomena Barrios-935.34
903990-Basilio Pedroso-11768.98
290595-Armanda Amorim-8636.87
401345-Trajano Fagundes-3387.80
111737-Quintino Alcantara-4759.58
599386-Jonatas Felgueiras-11252.47
643749-Oliveira Senchez-7431.61
871274-Polibe Olivares-17716.66
757647-Eurico Siqueira-14963.57
279366-Regina Barcellos-11548.44
565084-Delfina Perdigon-236.71
905127-Rodolfo Paz-8275.75
210643-Honorina Lira-5973.82
486655-Basilio Pedroso-17007.83
797301-Edgar Carvalheiro-9914.11
123931-Marilda Leio-14270.11
111987-Angilica Galante-9871.71
660515-Carminda Morais-21050.42
646843-Sidfnio Frois-12063.16
274883-Telma Villalobos-10201.12
933516-Angelica Aranha-14566.77
610245-Micaela Chavez-370.98
701179-Carminda Morais-16223.09
995582-Nuno Balsemeo-15943.12
553699-Liana Cardim-4196.26
585683-Silvio Mata-8867.50
864646-Marilda Leio-21088.62
821405-Moaci Mendoa-1500.38
444424-Neuza Francia-1986.85
941108-Emedlio Pimentel-784.76
798450-Feledcia Peassego-7994.10
326709-Odilia Camello-3075.37
429874-Adelina Quadros-19272.38
914893-Sara Lameiras-797.50
215815-Nuno Balsemeo-15463.04
411675-Ermelinda Quintela-3604.05
134561-Flor Portella-19422.70
544576-Micaela Chavez-5926.08
512994-Domingos Pas-2305.69
797462-Dulce Froes-2050.26
710051-Zungela Ipiranga-16708.25
299492-Armindo Castalo-3566.68
503618-Leonidas Mafra-13850.97
16718-Silvio Mata-10585.29
358153-Armanda Amorim-10777.45
325224-Danilo Olaio-2866.73
558213-Elisa Themes-1123.23
652757-Henrique Bento-15418.68
302075-Telma Villalobos-2378.97
636657-Tibofarcio Camacho-17016.95
931388-Taercio Mafra-5109.21
152488-Angelica Aranha-2697.37
426553-Flor Portella-10152.41
938412-Oliveira Senchez-747.74
199998-Odilia Camello-11901.32
281362-Guaraci Damasceno-4859.74
768188-Emiliana Foquio-9965.32
41474-Ximena Castilho-5357.01
922624-Liana Cardim-14010.03
888766-Edgar Carvalheiro-16436.40
364657-Liana Cardim-13420.87
181451-Rebeca Neto-12957.56
182209-Branco Saraba-18121.83
280453-Danilo Olaio-5236.38
907428-Eurico Siqueira-18048.38
311654-Quintino Alcantara-7596.35
872101-Delfina Perdigon-20434.03
756035-Filomena Barrios-11559.61
24384-Quintino Alcantara-8374.00
190144-Cleusa Goes-13182.89
567128-Antonio Viegas-6561.70
865387-Sidfnio Frois-5218.68
900767-Marilda Leio-12720.50
693236-Jussara Varanda-21443.30
259514-Urbano Rodrigues-20497.54
957754-Joaquim Rufino-20660.66
629532-Ximena Castilho-3324.54
349414-Augusta Paio-12562.10
286508-Manuel Capiperibe-20842.35
710187-Clarindo Areosa-9069.41
806163-Trajano Fagundes-15735.08
989473-Carminda Morais-2998.90
445309-Almor Caiado-16507.91
600224-Tibefarcio Colao-1990.00
392631-Lurdes Cotrim-3142.60
538880-Sofras Cuaresma-10392.18
320332-Anfnia Seixas-7123.64
21529-Celeste Duarte-3302.29
200297-Branco Saraba-4285.16
779259-Letedcia Gago-2607.42
647182-Quintiliano Sousa de Arronches-14705.49
201427-Sidfnio Frois-11050.54
623447-Antonio Castelo-4600.16
611802-Oliveira Carmona-13476.16
446946-Honorina Lira-21440.09
552659-Emedlia Silvera-3590.64
724244-Joaquim Rufino-10473.84
866506-Emiliana Foquio-19574.06
735479-Daniel Vieyra-20976.06
839196-Angilica Galante-1579.02
400505-Adelina Quadros-17515.49
986534-Nuno Balsemeo-10922.67
946318-Heleedsa Marins-8494.07
729681-Andreia Moita-1475.35
997155-Tibefarcio Colao-11309.82
40959-Liana Cardim-15545.34
302494-Leonidas Mafra-13367.75
443998-Estanislau Beserra-8101.58
298533-Branco Saraba-12308.93
185310-Judite Damasceno-3882.49
814518-Daniel Vieyra-13366.50
508670-Cleusa Goes-13546.36
257241-Odilia Camello-7420.99
538242-Daniel Vieyra-11498.28
435547-Clara Alcantara-6293.42
858139-Dulce Froes-16423.83
344898-Ermelinda Quintela-9332.02
732509-Guida Juca-13616.46
526148-Tibofarcio Camacho-11104.61
958818-Delfina Perdigon-6081.62
777072-Daniel Vieyra-1154.93
177150-Almerinda Palmeira-11030.02
844126-Almerinda Palmeira-3807.75
917799-Edgar Carvalheiro-5563.14
42676-Neeamia Arruda-8297.49
149351-Branco Saraba-11976.07
790482-Antonio Castelo-20189.52
239371-Joaquim Rufino-462.01
329820-Domingos Pas-15317.27
346363-Carminda Morais-21306.86
95492-Quintiliano Sousa de Arronches-20009.79
10417-Leonidas Mafra-7466.73
77672-Regina Barcellos-16075.17
243574-Fulvio Villegas-11379.51
754158-Letedcia Gago-16329.94
90227-Lina Andrade-20761.43
841796-Manuel Capiperibe-18744.50
795008-Odilia Camello-2172.06
910212-Sofras Cuaresma-620.52
485943-Artur Grillo-4923.98
740214-Neuza Francia-18964.94
971191-Odilia Bello-13160.21
720250-Judite Damasceno-1056.15
760982-Emedlio Pimentel-11548.58
598927-Gaudancio Fiees-13186.12
702336-Angilica Galante-12262.19
412997-Almerinda Palmeira-3725.77
108511-Neeamia Arruda-18383.72
488685-Anind Zarco-5427.99
112370-Antonio Viegas-18912.85
454736-Letedcia Gago-495.41
776505-Odilia Camello-15755.12
771177-Lurdes Cotrim-11297.49
799232-Clarindo Areosa-12405.10
294820-Urbano Rodrigues-3166.25
784266-Ximena Castilho-13353.27
449625-Zulmira Becerra-11992.57
565027-Jussara Varanda-19273.65
886197-Delfina Garcia de Gondim-14183.70
