752712-Clara Alcantara-18174.75
905739-Rodolfo Paz-11220.51
675900-Filomena Barrios-1366.93
874728-Zungela Ipiranga-1845.38
687645-Zulmira Becerra-982.40
964916-Armindo Castalo-18387.77
256777-Odilia Camello-4601.11
920530-Cleusa Goes-16615.38
986140-Odete Vasques-18621.88
924088-Camila Gabeira-5454.89
77042-Sara Lameiras-7572.43
666893-Delfina Garcia de Gondim-5096.65
294327-Carminda Morais-13263.41
643821-Jonatas Felgueiras-2067.32
619220-Joaquim Rufino-14094.20
784971-Zulmira Becerra-7589.01
345736-Romo Paranage-8561.58
208209-Regina Barcellos-16230.78
736085-Neuza Francia-20920.64
271556-Flamednia Leiria-845.05
688626-Almor Caiado-15605.82
596762-Angelica Aranha-8647.65
555690-Letedcia Gago-20920.59
724061-Tarrataca Soares-22.20
914217-Camila Gabeira-20798.39
861022-Marilda Leio-13291.40
584520-Esperada Cardoso-15384.86
935054-Telma Villalobos-9252.10
823434-Emedlia Silvera-13679.46
932154-Cassandra Varejo-11417.34
13397-Ubaldo Mainha-5419.39
853952-Neuza Francia-17575.36
359558-Neuza Francia-16156.08
722468-Tarrataca Soares-2528.49
817409-Sara Lameiras-12.79
332028-Guaraci Damasceno-9591.40
263943-Adelina Quadros-6702.41
353581-Lurdes Cotrim-17421.76
37824-Lina Andrade-15415.16
302811-Neuza Francia-19304.48
72631-Almerinda Palmeira-13069.78
940678-Henrique Bento-4283.48
573847-Tabalipa Duarte-19517.08
782815-Estanislau Beserra-7609.47
211405-Liana Cardim-13577.64
511540-Judite Damasceno-8566.12
435487-Neuza Francia-163.93
878039-Tarrataca Soares-18407.46
14701-Urbano Rodrigues-15103.00
130613-Letedcia Gago-11171.20
980981-Basilio Pedroso-7457.09
770783-Regina Barcellos-19566.49
613133-Judite Damasceno-13197.39
580073-Guida Juca-9270.39
395664-Zungela Ipiranga-7807.66
490476-Sara Lameiras-8132.78
241882-Antonio Viegas-2062.30
718050-Nuno Balsemeo-4981.08
403091-Jussara Varanda-4666.39
604087-Judite Damasceno-14797.69
769545-Sofras Cuaresma-3842.67
429213-Gaudancio Fiees-20170.38
437045-Angelica Aranha-16931.67
668951-Rodolfo Paz-10282.63
847399-Moaci Mendoa-2751.75
306151-Esperada Cardoso-15826.66
377234-Henrique Bento-16149.08
840944-Almerinda Palmeira-10421.42
567214-Angelica Aranha-16065.45
110221-Polibe Olivares-5546.66
289128-Delfina Garcia de Gondim-19644.35
660213-Augusta Paio-7003.81
713211-Spnia ou Sonia Guerreiro-14858.18
505617-Sofras Cuaresma-19774.87
852950-Guida Juca-7888.51
966616-Silvio Mata-14251.57
358155-Liana Cardim-4480.50
495757-Emiliana Foquio-214.08
224759-Guida Juca-19859.75
108918-Judite Damasceno-14096.01
278846-Andreia Moita-15568.91
715526-Nuno Balsemeo-10260.67
189741-Edgar Carvalheiro-17737.80
863681-Trajano Fagundes-8248.02
801066-Leonidas Mafra-12536.55
913914-Clara Alcantara-16936.22
209053-Cleusa Goes-8104.96
928364-Nuno Balsemeo-9579.92
789898-Sara Lameiras-4867.33
196746-Branco Saraba-20108.42
302053-Dulce Froes-5676.37
842658-Leonidas Mafra-8363.53
764128-Guida Juca-5390.59
19860-Angilica Galante-13689.23
278806-Melinda Roserio-592.40
388364-Telma Villalobos-11801.54
171039-Odete Vasques-20193.63
520415-Manuel Capiperibe-20442.91
761086-Armanda Amorim-1495.98
492969-Edgar Carvalheiro-893.11
342638-Zulmira Becerra-2706.13
82869-Flamednia Leiria-5104.55
406579-Domingos Pas-15092.20
26979-Heleedsa Marins-4577.56
449686-Emedlia Silvera-14810.35
44002-Emedlio Pimentel-10729.39
776545-Feledcia Peassego-6586.27
5468-Antonio Castelo-6861.47
226530-Quintino Alcantara-11769.08
697194-Flor Portella-19694.01
10026-Marilda Leio-1782.60
476577-Trajano Fagundes-16553.43
296020-Zungela Ipiranga-9842.66
690802-Branco Saraba-20862.93
8252-Taercio Mafra-14912.59
565787-Spnia ou Sonia Guerreiro-4528.19
793675-Carminda Morais-6645.96
384617-Moaci Mendoa-7896.01
299680-Joaquim Rufino-17858.28
296058-Angelica Aranha-19925.25
119555-Zungela Ipiranga-12730.52
555870-Armanda Amorim-1950.44
447663-Andreia Moita-17423.40
75414-Delfina Garcia de Gondim-115.48
458984-Telma Villalobos-6665.56
877178-Judite Damasceno-16191.22
267417-Marilda Leio-19019.15
768036-Tibefarcio Colao-13868.16
932154-Adelina Quadros-21181.16
4506-Jussara Varanda-20979.28
994413-Tabalipa Duarte-14155.64
760864-Zulmira Becerra-3416.36
870376-Regina Barcellos-15340.84
245881-Micaela Chavez-596.76
947062-Almerinda Palmeira-6711.35
907252-Rebeca Neto-5545.28
203158-Dulce Froes-7827.96
578621-Adelina Quadros-20145.64
588165-Adelino Barra-6410.12
909266-Armanda Amorim-21340.17
788173-Dulce Froes-20205.28
234913-Cassandra Varejo-4788.05
209711-Cleusa Goes-13116.75
557643-Flamednia Leiria-12084.38
936809-Gaudancio Fiees-1079.01
388163-Dulce Froes-16488.08
961142-Rodolfo Paz-19890.11
482125-Carminda Morais-17931.06
819377-Armanda Amorim-18506.94
788930-Marilda Leio-18001.20
686843-Rebeca Neto-14864.25
181726-Liana Cardim-351.76
313098-Mercia Caeira-19363.86
528622-Anfnia Seixas-3424.60
936418-Armindo Castalo-17073.96
479116-Neeamia Arruda-2553.01
550248-Emedlia Silvera-19002.62
417229-Oliveira Carmona-21017.44
364449-Rebeca Neto-990.80
840413-Adelino Barra-1578.69
849628-Ximena Castilho-810.72
386507-Letedcia Gago-12842.54
244618-Rodolfo Paz-19615.67
294337-Adelina Quadros-14996.12
781547-Polibe Olivares-21055.48
169660-Mercia Caeira-1555.44
882282-Jorgina Bogalho-4990.94
606217-Micaela Chavez-17715.11
469144-Judite Damasceno-16923.92
26523-Odilia Camello-9027.49
736676-Tabalipa Duarte-15365.98
871425-Regina Barcellos-13195.01
182035-Odete Vasques-7302.62
878216-Emedlio Pimentel-10805.57
550316-Carminda Morais-14313.38
135144-Camila Gabeira-18905.08
20863-Moaci Mendoa-19593.90
684969-Ubaldo Mainha-14795.13
609586-Daniel Vieyra-964.98
614092-Neuza Francia-18085.25
487417-Tibofarcio Camacho-19732.61
432757-Celeste Duarte-20771.33
631838-Odilia Camello-78.31
430461-Antonio Viegas-19967.09
840897-Guaraci Damasceno-19437.76
315916-Flor Portella-15564.28
334634-Clarindo Areosa-10899.65
963652-Carminda Morais-2971.66
103847-Armanda Amorim-12797.76
152372-Rebeca Neto-19893.90
465992-Clarindo Areosa-4363.93
377983-Trajano Fagundes-9968.26
307556-Ximena Castilho-6599.74
499329-Nuno Balsemeo-13874.05
763992-Antonio Viegas-3837.62
366739-Guaraci Damasceno-19020.78
993583-Guaraci Damasceno-18029.29
43158-Neuza Francia-5854.09
88977-Delfim Higuera-210.29
149241-Quintino Alcantara-18021.82
250473-Gaudancio Fiees-3891.64
