20461-Quintiliano Sousa de Arronches-4562.53
620213-Estanislau Beserra-19084.52
898424-Taercio Mafra-17105.92
701533-Fulvio Villegas-8126.59
968675-Emedlio Pimentel-18862.25
71632-Tarrataca Soares-5375.34
924713-Celeste Duarte-9280.89
455083-Rodolfo Paz-787.66
321514-Delfina Garcia de Gondim-3071.80
297545-Ximena Castilho-20227.77
508135-Almor Caiado-14616.66
663258-Taercio Mafra-7978.96
54631-Daniel Vieyra-8167.94
45177-Flor Portella-12794.96
428222-Lurdes Cotrim-21014.64
94511-Angelica Aranha-6280.52
621652-Delfim Higuera-15629.77
868474-Adelina Quadros-11929.48
885455-Emiliana Foquio-4207.86
261683-Judite Damasceno-12660.84
886333-Flor Portella-15015.92
428388-Spnia ou Sonia Guerreiro-14917.71
982735-Angilica Galante-11353.42
129460-Anind Zarco-5989.04
451357-Emedlio Pimentel-2548.49
514970-Urbano Rodrigues-16299.43
112676-Celeste Duarte-18605.65
315855-Rodolfo Paz-5299.50
768655-Jonatas Felgueiras-16598.35
917342-Polibe Olivares-14066.13
359548-Sidfnio Frois-10350.16
467692-Adelino Barra-3769.60
471380-Henrique Bento-13269.43
301739-Rebeca Neto-13005.89
111247-Dulce Froes-11105.57
417635-Gaudancio Fiees-4955.88
776183-Manuel Capiperibe-21407.01
111604-Jussara Varanda-5315.33
428037-Joaquim Rufino-418.18
14294-Emedlio Pimentel-9787.35
200622-Andreia Moita-10700.95
495158-Manuel Capiperibe-17775.62
561160-Jussara Varanda-17515.50
485962-Armanda Amorim-18088.52
314741-Danilo Olaio-10814.80
992073-Artur Grillo-16708.97
128819-Rebeca Neto-20576.73
346633-Adelina Quadros-16573.01
513989-Delfina Garcia de Gondim-16627.29
32693-Zulmira Becerra-3472.60
680781-Neuza Francia-11244.61
344586-Dulce Froes-12009.56
968848-Danilo Olaio-20685.17
52655-Anind Zarco-5675.19
241819-Feledcia Peassego-15918.34
987697-Anfnia Seixas-11013.42
321612-Lina Andrade-7259.88
872591-Augusta Paio-1788.51
472843-Lina Andrade-21373.65
374671-Zulmira Becerra-18189.14
528121-Antonio Castelo-6301.11
776390-Dulce Froes-17534.55
619873-Manuel Capiperibe-12709.41
13600-Anind Zarco-5095.10
775660-Flamednia Leiria-7697.51
17302-Jussara Varanda-10147.39
672511-Silvio Mata-17400.61
517472-Almor Caiado-7914.50
180139-Lurdes Cotrim-8479.22
88551-Melinda Roserio-19512.97
257002-Guida Juca-7853.42
886113-Nuno Balsemeo-5676.34
987396-Trajano Fagundes-9282.54
122011-Odete Vasques-14712.68
775919-Cassandra Varejo-18580.44
780214-Augusta Paio-10225.77
643321-Oliveira Carmona-6357.66
494059-Daniel Vieyra-6078.00
679063-Odete Vasques-4484.96
261376-Emedlio Pimentel-18205.85
273693-Delfim Higuera-7763.58
396793-Anind Zarco-5877.61
491616-Augusta Paio-3082.64
527009-Neeamia Arruda-20063.87
588332-Emedlio Pimentel-19546.79
401052-Letedcia Gago-17449.75
952868-Telma Villalobos-3311.35
598094-Gaudancio Fiees-5866.29
176619-Taercio Mafra-5428.24
193990-Gaudancio Fiees-1896.02
24879-Honorina Lira-13458.76
713758-Nuno Balsemeo-3467.89
520667-Esperada Cardoso-10932.81
98182-Neuza Francia-5613.24
459903-Nuno Balsemeo-14079.12
865140-Ermelinda Quintela-1078.30
880249-Danilo Olaio-19707.83
145039-Oliveira Carmona-1468.97
726038-Ermelinda Quintela-18700.74
287032-Delfina Garcia de Gondim-15457.84
465630-Micaela Chavez-11253.25
2482-Ubaldo Mainha-13940.39
300052-Trajano Fagundes-7720.76
378442-Adelina Quadros-1876.91
843311-Tibofarcio Camacho-11121.50
19633-Emiliana Foquio-11085.32
171270-Zulmira Becerra-11994.12
457896-Jonatas Felgueiras-20205.57
373570-Sofras Cuaresma-20322.83
630059-Andreia Moita-16830.87
488740-Anind Zarco-6460.69
739657-Camila Gabeira-18450.71
263252-Zulmira Becerra-15728.88
583845-Lurdes Cotrim-1377.82
744797-Delfim Higuera-16936.26
818088-Ermelinda Quintela-17526.45
721122-Flor Portella-20598.17
923120-Flamednia Leiria-7987.91
22176-Regina Barcellos-7036.81
711262-Almerinda Palmeira-1698.27
700719-Judite Damasceno-15343.16
15428-Eurico Siqueira-18480.55
885498-Domingos Pas-14578.35
347948-Marilda Leio-14569.35
984609-Liana Cardim-2591.96
288088-Tabalipa Duarte-14200.15
123525-Tabalipa Duarte-7522.52
887522-Sidfnio Frois-2266.92
725117-Almerinda Palmeira-21377.14
362350-Edgar Carvalheiro-19129.41
86252-Judite Damasceno-10981.58
395158-Elisa Themes-8186.90
291550-Basilio Pedroso-3210.92
591832-Flor Portella-3774.40
158096-Celeste Duarte-11754.25
866355-Esperada Cardoso-16797.13
252596-Quintino Alcantara-8513.53
455384-Filomena Barrios-20372.40
448968-Romo Paranage-8154.82
639622-Sofras Cuaresma-13658.44
657407-Antonio Castelo-10764.46
507413-Micaela Chavez-5933.58
412947-Celeste Duarte-17616.50
669963-Odilia Camello-18592.41
378660-Emedlia Silvera-10239.16
283833-Esperada Cardoso-9492.99
719924-Moaci Mendoa-12405.51
408054-Neuza Francia-18100.06
787696-Estanislau Beserra-13089.72
397378-Anfnia Seixas-4411.28
464715-Emiliana Foquio-15237.85
690426-Camila Gabeira-17962.93
122643-Almor Caiado-9592.22
646864-Celeste Duarte-4704.08
611038-Emedlia Silvera-17867.87
516125-Anfnia Seixas-8725.87
650215-Danilo Olaio-12953.07
620481-Regina Barcellos-16597.15
863501-Jorgina Bogalho-450.19
104393-Heleedsa Marins-7364.17
672802-Aludsio Sosa-13518.81
720388-Odilia Camello-8420.88
609606-Tabalipa Duarte-257.27
181062-Carminda Morais-13713.74
993883-Manuel Capiperibe-9615.01
238871-Estanislau Beserra-21190.17
782380-Tibofarcio Camacho-811.84
393358-Zulmira Becerra-21418.04
527190-Adelina Quadros-17481.84
632844-Rodolfo Paz-18632.89
382645-Domingos Pas-17054.78
917650-Andreia Moita-2037.15
261623-Oliveira Senchez-988.40
827511-Manuel Capiperibe-10050.22
317983-Spnia ou Sonia Guerreiro-4865.32
111697-Telma Villalobos-17147.71
492488-Anind Zarco-13440.69
180280-Liana Cardim-6149.79
99478-Melinda Roserio-13375.06
554130-Manuel Capiperibe-5256.55
908912-Artur Grillo-7680.38
177594-Jussara Varanda-14409.56
17899-Judite Damasceno-457.34
101526-Augusta Paio-18365.61
558989-Marilda Leio-8413.96
34028-Dulce Froes-9945.07
42770-Romo Paranage-10210.00
235430-Tibefarcio Colao-686.96
748842-Fulvio Villegas-19447.96
446506-Feledcia Peassego-2518.66
465521-Emedlia Silvera-212.92
962335-Delfim Higuera-4574.69
690042-Taercio Mafra-2550.04
741896-Daniel Vieyra-15871.05
331663-Telma Villalobos-15301.80
453227-Adelino Barra-10457.31
861810-Adelino Barra-1052.90
856144-Edgar Carvalheiro-9375.25
313237-Taercio Mafra-13892.74
309334-Esperada Cardoso-10612.37
960927-Taercio Mafra-18167.03
650663-Flor Portella-10661.81
296190-Fulvio Villegas-11608.71
191837-Cleusa Goes-521.30
165114-Trajano Fagundes-8924.61
534004-Taercio Mafra-20209.14
410206-Micaela Chavez-8572.93
802559-Mercia Caeira-8931.49
