202692-Armanda Amorim-3399.34
642906-Tabalipa Duarte-21305.40
595634-Leonidas Mafra-16721.27
877538-Tabalipa Duarte-6742.62
334947-Ermelinda Quintela-14789.96
754476-Armanda Amorim-6872.63
288249-Tibofarcio Camacho-8868.09
569688-Lina Andrade-9786.94
81022-Daniel Vieyra-2970.93
832065-Neeamia Arruda-3759.04
831592-Emedlia Silvera-7160.86
2546-Henrique Bento-13407.29
150586-Antonio Castelo-4978.41
978444-Edgar Carvalheiro-19777.19
248384-Danilo Olaio-20430.54
148321-Lina Andrade-4193.24
831534-Honorina Lira-10496.12
745077-Odilia Bello-17451.82
260738-Manuel Capiperibe-2587.80
427115-Delfina Perdigon-8746.12
322584-Emiliana Foquio-13904.43
757520-Ximena Castilho-299.62
248870-Taercio Mafra-1871.13
383933-Romo Paranage-16770.91
781165-Basilio Pedroso-17993.40
174692-Delfim Higuera-6550.04
863704-Estanislau Beserra-1813.52
845056-Spnia ou Sonia Guerreiro-5060.97
36580-Antonio Viegas-16673.58
321143-Henrique Bento-19607.85
26124-Romo Paranage-4166.24
300858-Lurdes Cotrim-10543.82
820955-Daniel Vieyra-17096.30
698402-Emiliana Foquio-19070.14
294384-Rebeca Neto-1733.12
976552-Ximena Castilho-1350.03
466680-Henrique Bento-3318.67
85719-Regina Barcellos-16507.12
403359-Adelina Quadros-7752.65
500621-Emedlia Silvera-1501.02
209571-Jussara Varanda-1511.28
878153-Ubaldo Mainha-14944.29
508914-Leonidas Mafra-12257.66
768792-Judite Damasceno-19904.65
603526-Augusta Paio-14712.75
810557-Celeste Duarte-17112.52
21854-Dulce Froes-9822.35
585304-Heleedsa Marins-3338.37
762336-Guaraci Damasceno-15112.41
297336-Feledcia Peassego-4782.58
133772-Liana Cardim-2569.83
594227-Spnia ou Sonia Guerreiro-903.78
952575-Clarindo Areosa-84.03
457685-Lurdes Cotrim-1981.72
977139-Sara Lameiras-1892.92
808454-Antonio Viegas-17811.03
159027-Neuza Francia-13336.41
376210-Gaudancio Fiees-11757.42
305059-Sara Lameiras-18135.05
14859-Fulvio Villegas-6193.18
826752-Quintino Alcantara-17014.52
766863-Branco Saraba-11815.63
652402-Clara Alcantara-1140.32
304326-Carminda Morais-2084.89
937387-Taercio Mafra-12244.66
362323-Quintino Alcantara-11877.91
555685-Neuza Francia-2334.67
984153-Marilda Leio-8408.43
249800-Guaraci Damasceno-3656.64
272335-Mercia Caeira-17306.79
552381-Antonio Castelo-7910.22
332211-Emiliana Foquio-19927.89
973628-Elisa Themes-3879.58
18250-Basilio Pedroso-14972.62
751221-Estanislau Beserra-8687.16
259715-Cassandra Varejo-21210.78
903345-Delfina Garcia de Gondim-5231.50
187614-Guaraci Damasceno-13521.34
214177-Quintino Alcantara-6469.01
778076-Carminda Morais-20661.73
660295-Micaela Chavez-17932.42
994606-Odilia Camello-850.90
407941-Sidfnio Frois-13270.64
852874-Celeste Duarte-12325.98
787090-Henrique Bento-21473.50
704081-Adelino Barra-21131.26
412301-Esperada Cardoso-7635.45
103482-Regina Barcellos-15797.33
637481-Clara Alcantara-14424.63
835711-Honorina Lira-177.58
713031-Artur Grillo-724.18
128896-Tabalipa Duarte-11604.13
366521-Telma Villalobos-1683.37
45606-Guaraci Damasceno-15051.90
503179-Danilo Olaio-10844.93
676629-Odilia Bello-1307.14
444631-Marilda Leio-19791.26
879221-Celeste Duarte-4207.46
448201-Anind Zarco-5913.84
434075-Odete Vasques-7092.19
592826-Domingos Pas-3574.49
25892-Urbano Rodrigues-3270.94
32780-Judite Damasceno-4634.60
619823-Estanislau Beserra-11545.06
321622-Moaci Mendoa-17500.09
373048-Oliveira Carmona-9712.02
582872-Emedlio Pimentel-9391.63
821736-Regina Barcellos-295.59
826309-Angelica Aranha-17420.07
294417-Flamednia Leiria-2809.57
36840-Augusta Paio-20075.50
681171-Sara Lameiras-1250.92
254719-Odilia Bello-11611.25
165425-Cassandra Varejo-2.61
782516-Ubaldo Mainha-225.83
893082-Almor Caiado-12279.56
717557-Flamednia Leiria-14345.39
184593-Jussara Varanda-14058.77
397674-Celeste Duarte-5742.20
510632-Lurdes Cotrim-3820.30
842827-Regina Barcellos-8470.67
623642-Tibefarcio Colao-20417.48
498325-Emedlio Pimentel-8315.20
349749-Almor Caiado-16796.85
707169-Tibefarcio Colao-17964.67
590116-Domingos Pas-1188.77
675220-Trajano Fagundes-10725.94
439815-Flamednia Leiria-1942.95
246770-Almor Caiado-522.09
93343-Dulce Froes-12377.20
897257-Adelina Quadros-1650.79
251337-Tibefarcio Colao-14867.03
214181-Jussara Varanda-12347.18
302217-Flor Portella-20200.67
651620-Ximena Castilho-7022.91
100365-Sidfnio Frois-11788.81
988795-Rodolfo Paz-1260.73
448840-Odete Vasques-6305.12
785884-Spnia ou Sonia Guerreiro-5742.75
342587-Spnia ou Sonia Guerreiro-16993.69
446070-Artur Grillo-21392.66
616823-Sara Lameiras-17540.34
52367-Rodolfo Paz-6687.64
7423-Delfina Garcia de Gondim-445.83
163767-Fulvio Villegas-20292.34
303916-Dulce Froes-2028.51
320952-Emedlio Pimentel-883.56
448785-Letedcia Gago-9728.05
355656-Adelina Quadros-21145.91
988295-Esperada Cardoso-19404.50
340982-Emiliana Foquio-8324.12
772896-Carminda Morais-17850.29
424031-Sofras Cuaresma-3975.98
309064-Celeste Duarte-17966.05
261393-Domingos Pas-12192.86
20890-Almor Caiado-4621.06
661321-Cleusa Goes-17914.27
890610-Esperada Cardoso-19848.76
115867-Emedlia Silvera-12367.48
132919-Odilia Bello-17467.36
35109-Rebeca Neto-4575.93
719695-Lurdes Cotrim-18293.66
438014-Antonio Viegas-9063.06
436952-Emedlia Silvera-10706.16
18725-Quintino Alcantara-473.93
351307-Esperada Cardoso-6864.14
535063-Almerinda Palmeira-20190.75
75139-Honorina Lira-20239.66
420377-Letedcia Gago-13315.98
873013-Antonio Castelo-5162.48
808337-Guaraci Damasceno-12772.83
639716-Dulce Froes-14590.02
533029-Guaraci Damasceno-6679.57
24291-Regina Barcellos-17203.94
120926-Andreia Moita-3659.29
19405-Celeste Duarte-7812.80
539995-Antonio Castelo-10218.15
487297-Antonio Viegas-11758.90
826448-Delfina Perdigon-688.27
913106-Moaci Mendoa-19627.00
768269-Micaela Chavez-2080.25
216568-Anind Zarco-20796.64
30899-Neeamia Arruda-7727.14
667999-Domingos Pas-9797.38
436931-Cassandra Varejo-2023.75
82736-Moaci Mendoa-18073.95
659010-Oliveira Senchez-19619.35
827073-Polibe Olivares-3099.38
961183-Judite Damasceno-9837.65
726264-Ximena Castilho-9251.94
222531-Quintiliano Sousa de Arronches-18809.62
517796-Daniel Vieyra-136.95
331756-Almerinda Palmeira-14477.26
102425-Clara Alcantara-6469.11
783107-Neeamia Arruda-8293.48
392528-Odilia Camello-20424.30
798346-Odilia Bello-6776.06
19274-Neuza Francia-9014.33
130450-Armindo Castalo-4429.10
584956-Mercia Caeira-6336.37
739453-Tibofarcio Camacho-19898.59
434982-Romo Paranage-14938.93
794907-Odilia Camello-6047.41
384961-Mercia Caeira-21378.44
713083-Eurico Siqueira-13711.43
932905-Almerinda Palmeira-8180.52
547478-Odilia Camello-12598.50
613151-Nuno Balsemeo-15708.70
