361990-Emiliana Foquio-13774.24
22107-Danilo Olaio-2229.08
773900-Quintiliano Sousa de Arronches-5335.93
739271-Gaudancio Fiees-17617.81
15507-Almerinda Palmeira-2117.52
910889-Honorina Lira-9668.15
488554-Esperada Cardoso-5378.72
677159-Lurdes Cotrim-361.39
785941-Antonio Castelo-16898.26
448434-Quintino Alcantara-7219.74
914578-Branco Saraba-6443.85
536237-Tabalipa Duarte-4219.23
678063-Clara Alcantara-17776.97
756192-Polibe Olivares-11529.53
821038-Zungela Ipiranga-17259.68
522241-Gaudancio Fiees-4203.95
123392-Anind Zarco-6528.84
868631-Antonio Viegas-13285.61
885044-Mercia Caeira-15873.47
660255-Ermelinda Quintela-17887.95
869033-Tabalipa Duarte-2882.26
967002-Zulmira Becerra-15177.63
456690-Lina Andrade-9049.57
55864-Fulvio Villegas-10887.13
435941-Ermelinda Quintela-13325.34
84092-Camila Gabeira-2795.73
547138-Judite Damasceno-17156.96
882146-Adelino Barra-13150.81
872409-Ermelinda Quintela-13799.66
688576-Liana Cardim-9061.43
478914-Liana Cardim-5125.28
170154-Heleedsa Marins-8714.95
784405-Jussara Varanda-584.68
611917-Adelino Barra-7545.24
391963-Ermelinda Quintela-4264.76
656400-Augusta Paio-14335.60
832471-Ermelinda Quintela-4476.24
376025-Telma Villalobos-1540.22
996926-Estanislau Beserra-5888.95
481115-Flamednia Leiria-12945.83
277026-Sidfnio Frois-8455.79
299237-Polibe Olivares-20337.49
600339-Antonio Castelo-9860.50
858394-Antonio Viegas-16276.62
345947-Judite Damasceno-8165.70
367684-Esperada Cardoso-2787.43
962199-Armanda Amorim-4345.75
769236-Sofras Cuaresma-19369.51
173778-Carminda Morais-18194.64
544517-Quintino Alcantara-16694.62
574412-Judite Damasceno-11282.55
132497-Sofras Cuaresma-4840.71
702125-Celeste Duarte-12546.71
223636-Delfim Higuera-500.46
785598-Ubaldo Mainha-1063.92
823952-Basilio Pedroso-6087.60
939142-Lina Andrade-18367.22
678307-Delfina Perdigon-12110.07
439944-Cleusa Goes-466.97
96464-Esperada Cardoso-18712.42
852794-Domingos Pas-11483.33
187848-Lina Andrade-5379.82
788134-Delfina Garcia de Gondim-9116.84
954407-Ubaldo Mainha-1804.24
782234-Jonatas Felgueiras-12462.09
696282-Almerinda Palmeira-2405.50
352950-Adelina Quadros-7444.89
584711-Emiliana Foquio-10581.67
283940-Zulmira Becerra-13356.07
963917-Edgar Carvalheiro-182.20
622107-Dulce Froes-5480.73
535538-Danilo Olaio-16232.60
519798-Guaraci Damasceno-9825.65
691578-Letedcia Gago-17595.19
909273-Branco Saraba-12868.18
518830-Delfina Perdigon-3810.31
404284-Sidfnio Frois-14683.83
11484-Zulmira Becerra-6884.85
142370-Letedcia Gago-21257.69
454369-Rebeca Neto-11572.49
41053-Urbano Rodrigues-15998.71
960484-Armindo Castalo-2869.23
377863-Melinda Roserio-19974.43
478962-Oliveira Carmona-15436.51
3771-Odete Vasques-11230.76
737888-Henrique Bento-8421.11
537970-Regina Barcellos-13095.16
826806-Cleusa Goes-670.43
282705-Anfnia Seixas-4731.86
861962-Antonio Castelo-4271.57
661041-Odilia Camello-18001.98
49089-Odilia Bello-14456.75
697602-Clara Alcantara-20490.52
427418-Almerinda Palmeira-2270.48
676593-Jussara Varanda-4550.51
260064-Flamednia Leiria-18317.89
874115-Marilda Leio-3028.44
388047-Carminda Morais-9076.70
386571-Zulmira Becerra-4094.69
669981-Gaudancio Fiees-1438.48
718544-Adelina Quadros-1290.25
154369-Esperada Cardoso-9130.74
996642-Tibofarcio Camacho-19717.72
314216-Angelica Aranha-21401.99
282318-Fulvio Villegas-10303.92
842925-Celeste Duarte-20766.52
514868-Camila Gabeira-13650.43
218783-Oliveira Carmona-3639.47
449803-Emedlia Silvera-19093.34
383001-Antonio Viegas-16845.20
989100-Rebeca Neto-8467.55
792800-Tarrataca Soares-9959.09
270938-Adelino Barra-2714.22
834081-Edgar Carvalheiro-6707.37
444839-Jonatas Felgueiras-15900.19
106985-Ximena Castilho-20048.62
74758-Aludsio Sosa-6098.93
886128-Liana Cardim-8621.12
367903-Ermelinda Quintela-6810.78
835490-Guida Juca-5399.77
634501-Almor Caiado-8659.66
975032-Delfina Garcia de Gondim-13117.59
389821-Guaraci Damasceno-11755.46
92822-Emiliana Foquio-3588.97
27807-Estanislau Beserra-12363.42
838663-Camila Gabeira-21154.49
334512-Neeamia Arruda-5330.40
873117-Honorina Lira-10869.26
358876-Tarrataca Soares-3898.10
694713-Edgar Carvalheiro-9986.46
66961-Clarindo Areosa-9097.97
710516-Moaci Mendoa-2522.88
263397-Guaraci Damasceno-20866.78
238596-Lurdes Cotrim-19422.87
950331-Moaci Mendoa-19593.15
197270-Letedcia Gago-10206.70
822340-Andreia Moita-12030.04
340409-Emiliana Foquio-17238.77
486613-Moaci Mendoa-7997.53
710754-Tarrataca Soares-3399.64
912186-Basilio Pedroso-20290.31
596361-Polibe Olivares-2712.58
39727-Anind Zarco-3575.21
545926-Augusta Paio-4117.60
949039-Delfina Perdigon-11047.10
693905-Angilica Galante-18789.07
920214-Heleedsa Marins-4442.46
670020-Anind Zarco-17055.86
378506-Flamednia Leiria-825.89
380873-Flamednia Leiria-5513.00
545314-Jonatas Felgueiras-15042.12
506330-Sofras Cuaresma-16598.09
271658-Armanda Amorim-1823.65
714767-Spnia ou Sonia Guerreiro-3949.10
477534-Feledcia Peassego-5088.60
555064-Branco Saraba-17605.54
818723-Emiliana Foquio-19704.74
86672-Armindo Castalo-16716.60
748380-Aludsio Sosa-19510.39
162723-Henrique Bento-10509.36
57118-Elisa Themes-21174.81
498526-Quintino Alcantara-17655.04
681111-Heleedsa Marins-2472.92
900975-Guaraci Damasceno-17970.07
880362-Sara Lameiras-19144.84
85955-Quintiliano Sousa de Arronches-4115.55
198673-Silvio Mata-4563.74
73559-Moaci Mendoa-11044.61
534672-Jorgina Bogalho-19322.09
101329-Armindo Castalo-15918.88
451579-Estanislau Beserra-4234.62
46664-Guida Juca-4559.60
450242-Augusta Paio-19606.41
218392-Adelino Barra-10000.59
413391-Celeste Duarte-1334.55
951574-Angelica Aranha-4655.41
75904-Armindo Castalo-17277.40
673890-Fulvio Villegas-693.30
964608-Jonatas Felgueiras-14908.65
293862-Tibofarcio Camacho-17799.66
558875-Guaraci Damasceno-14879.34
337667-Quintino Alcantara-21189.81
620215-Odilia Bello-10379.47
710882-Feledcia Peassego-5746.82
808083-Daniel Vieyra-11240.95
422056-Micaela Chavez-10475.63
75162-Delfina Perdigon-21056.39
618828-Jorgina Bogalho-19738.29
623373-Almerinda Palmeira-1763.10
353529-Rebeca Neto-8116.04
488372-Emedlio Pimentel-6356.79
85020-Anfnia Seixas-17660.17
641998-Polibe Olivares-16731.54
356770-Emedlio Pimentel-6043.81
646663-Esperada Cardoso-3567.05
392041-Augusta Paio-6971.27
678858-Guida Juca-20372.03
705787-Clarindo Areosa-5383.38
579093-Angilica Galante-15999.61
317095-Aludsio Sosa-7118.31
53826-Quintiliano Sousa de Arronches-16133.19
724514-Neeamia Arruda-4329.21
892175-Polibe Olivares-19215.63
7052-Neeamia Arruda-15974.36
