765079-Filomena Barrios-9715.51
892019-Ermelinda Quintela-18140.66
599331-Adelina Quadros-21334.29
838393-Romo Paranage-1213.44
74459-Trajano Fagundes-2119.62
134250-Esperada Cardoso-6813.70
237607-Manuel Capiperibe-4363.23
88202-Quintiliano Sousa de Arronches-16299.48
923357-Jussara Varanda-14813.54
23385-Armanda Amorim-8289.78
181683-Artur Grillo-17684.77
170071-Rebeca Neto-17298.85
759709-Zungela Ipiranga-18044.85
706409-Edgar Carvalheiro-15658.39
207243-Odete Vasques-11024.30
233389-Lina Andrade-1930.81
146727-Jonatas Felgueiras-14903.18
535241-Fulvio Villegas-16614.07
147518-Anind Zarco-13468.46
323673-Antonio Castelo-403.86
355738-Daniel Vieyra-2465.68
12952-Antonio Viegas-9387.38
768484-Delfim Higuera-16684.97
952783-Emedlio Pimentel-15337.20
480616-Anfnia Seixas-21359.28
487039-Edgar Carvalheiro-4946.77
863651-Artur Grillo-12108.24
563160-Zungela Ipiranga-17463.59
210405-Filomena Barrios-10070.23
244565-Clara Alcantara-4538.63
740777-Sofras Cuaresma-14852.19
746654-Odete Vasques-13297.48
637865-Mercia Caeira-18015.17
46444-Odilia Bello-7389.86
294432-Odilia Bello-4109.83
972641-Manuel Capiperibe-10294.70
248025-Domingos Pas-11283.33
841840-Eurico Siqueira-11438.97
358639-Mercia Caeira-5586.23
238133-Odilia Bello-8538.68
503707-Marilda Leio-7111.25
820692-Antonio Castelo-18988.72
908216-Filomena Barrios-18520.26
493283-Letedcia Gago-2275.89
798655-Eurico Siqueira-7388.83
64279-Augusta Paio-1933.72
7193-Tarrataca Soares-9316.20
290476-Oliveira Senchez-1489.78
933016-Moaci Mendoa-16543.37
115035-Clarindo Areosa-3520.92
160208-Lurdes Cotrim-5775.95
940623-Judite Damasceno-4299.32
469234-Antonio Castelo-8478.41
30877-Branco Saraba-13523.34
94686-Almor Caiado-13296.49
624927-Romo Paranage-7682.29
657694-Spnia ou Sonia Guerreiro-1627.53
507583-Emedlio Pimentel-7240.43
286810-Odilia Camello-20509.77
173076-Ubaldo Mainha-8556.08
443652-Polibe Olivares-18867.68
839313-Henrique Bento-1872.25
139419-Eurico Siqueira-13816.94
949131-Micaela Chavez-8292.42
380300-Ximena Castilho-14163.36
178303-Anfnia Seixas-14064.77
864837-Moaci Mendoa-18291.35
171577-Zungela Ipiranga-16651.59
456713-Adelina Quadros-20584.46
78886-Tabalipa Duarte-14201.35
308933-Sofras Cuaresma-6040.95
650562-Andreia Moita-3214.51
408112-Liana Cardim-3235.90
522505-Ubaldo Mainha-3150.56
970670-Micaela Chavez-5234.36
583968-Moaci Mendoa-16876.14
943029-Lurdes Cotrim-18534.79
538695-Tibofarcio Camacho-19526.51
694146-Dulce Froes-21341.08
342398-Guaraci Damasceno-19047.03
598486-Cassandra Varejo-16165.28
138971-Angelica Aranha-18471.79
420828-Antonio Castelo-8791.03
880588-Adelina Quadros-17076.26
614535-Tabalipa Duarte-13901.13
168300-Edgar Carvalheiro-12562.13
232218-Armindo Castalo-20741.56
431279-Odete Vasques-18592.11
305770-Filomena Barrios-13354.22
658853-Joaquim Rufino-4062.80
630900-Urbano Rodrigues-20748.79
214620-Jorgina Bogalho-17855.34
765678-Oliveira Senchez-18729.55
390790-Henrique Bento-15713.52
71790-Adelina Quadros-17099.66
705330-Neeamia Arruda-15576.51
469714-Neuza Francia-3734.00
713427-Armindo Castalo-21338.31
124398-Andreia Moita-20616.53
675693-Gaudancio Fiees-678.28
929845-Danilo Olaio-18674.59
228493-Domingos Pas-16221.90
222199-Manuel Capiperibe-18009.56
319074-Emiliana Foquio-5798.63
557977-Feledcia Peassego-4214.51
909577-Guida Juca-18491.56
506898-Daniel Vieyra-1081.43
260266-Elisa Themes-13468.56
741080-Marilda Leio-10754.97
159837-Gaudancio Fiees-14281.72
342583-Rodolfo Paz-146.19
436862-Tarrataca Soares-5988.47
581644-Polibe Olivares-7330.69
681406-Joaquim Rufino-12963.88
165792-Odete Vasques-18489.46
616633-Odilia Bello-16333.72
234933-Spnia ou Sonia Guerreiro-19058.79
252910-Romo Paranage-4456.56
618195-Polibe Olivares-12593.97
636558-Artur Grillo-13875.57
999556-Zulmira Becerra-12364.16
338089-Polibe Olivares-7333.69
383131-Aludsio Sosa-16639.50
384007-Jussara Varanda-16061.48
764211-Emedlia Silvera-21313.14
595534-Flor Portella-6544.47
99658-Joaquim Rufino-8806.82
229946-Danilo Olaio-10359.35
248880-Edgar Carvalheiro-11065.53
764508-Clarindo Areosa-10067.06
452523-Adelino Barra-8042.22
275473-Filomena Barrios-2190.76
945501-Quintino Alcantara-8734.59
684806-Odilia Camello-2733.60
328813-Liana Cardim-11461.24
919149-Rebeca Neto-17657.20
914445-Dulce Froes-18338.19
788897-Gaudancio Fiees-14585.66
835475-Almor Caiado-19868.14
278907-Clarindo Areosa-1990.95
795382-Zulmira Becerra-18185.48
727484-Augusta Paio-4173.40
544778-Augusta Paio-8892.85
312556-Clara Alcantara-18199.70
744929-Feledcia Peassego-2108.15
524041-Gaudancio Fiees-582.51
233820-Anfnia Seixas-8481.65
141903-Odete Vasques-1914.70
984849-Armindo Castalo-6813.06
897205-Marilda Leio-14295.85
31880-Tarrataca Soares-16763.80
872078-Tabalipa Duarte-5106.24
304946-Tabalipa Duarte-8131.69
197261-Guaraci Damasceno-21004.81
965736-Carminda Morais-16837.42
858229-Tibefarcio Colao-16942.66
986627-Manuel Capiperibe-6390.17
934236-Domingos Pas-15461.59
963707-Oliveira Carmona-11566.60
840272-Quintiliano Sousa de Arronches-5770.73
295736-Antonio Viegas-8141.05
815325-Edgar Carvalheiro-5244.94
674513-Rebeca Neto-20747.99
335153-Emedlia Silvera-20435.12
482052-Odilia Camello-7039.94
927671-Honorina Lira-13498.53
140215-Henrique Bento-14518.39
517778-Aludsio Sosa-6962.90
881960-Angilica Galante-5417.70
35534-Neuza Francia-8276.10
290111-Lina Andrade-17529.06
441074-Dulce Froes-8412.38
215906-Adelina Quadros-6574.28
675737-Sara Lameiras-20907.63
133125-Adelino Barra-5187.62
332998-Adelino Barra-4472.06
315749-Delfim Higuera-19343.46
831551-Telma Villalobos-15333.80
505955-Armindo Castalo-15832.62
840163-Lina Andrade-6178.14
764083-Tibofarcio Camacho-666.21
309595-Honorina Lira-16060.62
832427-Cleusa Goes-14517.94
186579-Almerinda Palmeira-4169.86
52962-Elisa Themes-6021.19
430016-Eurico Siqueira-15434.52
175969-Antonio Viegas-6402.84
761096-Manuel Capiperibe-6791.16
635987-Oliveira Carmona-10586.22
797052-Celeste Duarte-7879.78
568212-Edgar Carvalheiro-4442.59
761555-Neuza Francia-8415.68
192406-Marilda Leio-3569.17
567982-Ubaldo Mainha-10651.04
707084-Joaquim Rufino-7146.73
124470-Liana Cardim-96.19
747810-Augusta Paio-2997.95
233672-Clarindo Areosa-8895.56
616186-Estanislau Beserra-3277.09
260960-Branco Saraba-13035.06
236234-Sara Lameiras-3495.90
832118-Tibefarcio Colao-13663.52
489686-Regina Barcellos-9000.61
457549-Zungela Ipiranga-17556.29
927796-Rodolfo Paz-17288.52
