35114-Tibefarcio Colao-4948.06
122905-Manuel Capiperibe-20153.23
852080-Emedlio Pimentel-13783.15
38935-Cleusa Goes-14596.14
3965-Ermelinda Quintela-8077.40
87854-Leonidas Mafra-12391.74
859084-Andreia Moita-6944.78
675078-Clarindo Areosa-5649.31
597685-Flamednia Leiria-5058.91
438405-Anfnia Seixas-9785.50
335293-Emedlio Pimentel-21245.10
360591-Sara Lameiras-14771.49
170253-Liana Cardim-15770.01
583341-Cleusa Goes-13975.57
729066-Sidfnio Frois-11480.77
609255-Aludsio Sosa-21371.65
33813-Delfina Perdigon-3355.40
902418-Delfina Perdigon-12582.15
697393-Henrique Bento-12473.29
250636-Adelina Quadros-62.84
496197-Delfim Higuera-1006.19
618633-Lina Andrade-12129.80
96869-Daniel Vieyra-8586.67
890428-Quintiliano Sousa de Arronches-2057.66
297753-Taercio Mafra-20474.96
477689-Branco Saraba-10076.21
315294-Cleusa Goes-4671.71
146923-Manuel Capiperibe-20800.74
425504-Sofras Cuaresma-6232.87
78755-Micaela Chavez-15105.38
798755-Esperada Cardoso-15510.34
545182-Judite Damasceno-5681.69
957294-Clarindo Areosa-5772.66
370819-Esperada Cardoso-8091.56
857396-Mercia Caeira-5759.71
937342-Jussara Varanda-6854.48
698511-Jonatas Felgueiras-2292.80
483636-Delfim Higuera-20494.27
516850-Tibofarcio Camacho-2683.69
879487-Flor Portella-18344.47
526304-Taercio Mafra-12837.63
792594-Quintiliano Sousa de Arronches-7408.24
38948-Domingos Pas-16827.81
468323-Marilda Leio-13916.69
664062-Heleedsa Marins-12650.42
871581-Cleusa Goes-3034.96
216489-Gaudancio Fiees-6441.94
216245-Filomena Barrios-4751.94
322325-Ubaldo Mainha-10547.11
715768-Honorina Lira-14825.91
163564-Moaci Mendoa-17651.17
645558-Melinda Roserio-20029.10
296736-Anind Zarco-12614.65
730318-Clarindo Areosa-3994.50
836733-Emedlia Silvera-17701.14
397382-Taercio Mafra-9785.02
922658-Armanda Amorim-11797.18
727856-Camila Gabeira-6934.51
476251-Danilo Olaio-15997.73
593346-Neeamia Arruda-2270.05
674250-Neuza Francia-2331.69
517716-Lurdes Cotrim-10218.14
701632-Judite Damasceno-10136.27
183292-Nuno Balsemeo-7858.74
333516-Adelino Barra-11477.11
42403-Armindo Castalo-5276.25
247297-Moaci Mendoa-17585.47
646709-Melinda Roserio-7747.92
756979-Eurico Siqueira-17732.68
578605-Sidfnio Frois-7273.77
507426-Tibefarcio Colao-16190.52
553394-Liana Cardim-14370.86
541807-Moaci Mendoa-9223.04
995261-Tibofarcio Camacho-17574.87
898432-Adelino Barra-10393.37
431733-Trajano Fagundes-328.96
466746-Urbano Rodrigues-11891.43
252664-Jussara Varanda-8573.06
973028-Branco Saraba-16600.63
982868-Daniel Vieyra-3571.58
997952-Emedlio Pimentel-5786.65
698197-Augusta Paio-19422.19
696456-Danilo Olaio-82.77
354875-Romo Paranage-3332.72
371066-Judite Damasceno-11691.71
130820-Romo Paranage-21386.02
998813-Liana Cardim-20725.86
930409-Fulvio Villegas-33.54
169816-Marilda Leio-9193.27
676933-Spnia ou Sonia Guerreiro-21253.10
77811-Tarrataca Soares-17008.25
46699-Sofras Cuaresma-20265.23
101314-Tarrataca Soares-19767.36
975992-Jussara Varanda-4176.07
337675-Joaquim Rufino-2824.94
552581-Emedlia Silvera-5716.25
663115-Augusta Paio-18126.24
916574-Lina Andrade-14690.71
992372-Sofras Cuaresma-3157.57
647487-Quintino Alcantara-1259.50
460526-Cleusa Goes-16270.28
938915-Carminda Morais-21430.75
152401-Clarindo Areosa-9636.92
642790-Adelino Barra-11586.68
405345-Henrique Bento-1905.22
854850-Mercia Caeira-12460.75
423037-Henrique Bento-632.54
576652-Filomena Barrios-21261.71
601064-Judite Damasceno-18496.80
952949-Adelina Quadros-8938.44
131528-Letedcia Gago-17633.04
651104-Micaela Chavez-7417.59
209876-Estanislau Beserra-19189.12
20651-Judite Damasceno-10080.71
438304-Ubaldo Mainha-4899.93
350255-Nuno Balsemeo-15338.47
887322-Lurdes Cotrim-19832.70
564672-Quintino Alcantara-17633.63
829066-Carminda Morais-8774.81
850321-Guaraci Damasceno-2449.50
821721-Judite Damasceno-19910.82
337431-Quintiliano Sousa de Arronches-13742.49
444148-Joaquim Rufino-4209.75
243188-Nuno Balsemeo-11079.96
226894-Emiliana Foquio-17054.34
732941-Zungela Ipiranga-3483.01
830264-Almerinda Palmeira-19031.88
665625-Anfnia Seixas-17402.69
704655-Regina Barcellos-13286.15
423374-Jorgina Bogalho-9839.81
501973-Angelica Aranha-8323.20
400980-Basilio Pedroso-3531.73
59309-Adelino Barra-16896.17
629361-Esperada Cardoso-15103.77
302984-Dulce Froes-9741.20
452818-Rebeca Neto-2713.69
482769-Adelino Barra-6482.00
783171-Guida Juca-203.82
963380-Artur Grillo-5140.86
624461-Adelina Quadros-18315.10
752066-Lina Andrade-5715.28
961373-Jussara Varanda-6449.29
936189-Guaraci Damasceno-6459.88
402742-Domingos Pas-3461.34
348980-Lina Andrade-7534.37
762263-Dulce Froes-2104.06
476494-Moaci Mendoa-2508.89
378996-Quintino Alcantara-7106.72
583496-Fulvio Villegas-12056.36
402710-Esperada Cardoso-4657.76
719663-Aludsio Sosa-8835.28
839723-Almor Caiado-1550.06
165731-Leonidas Mafra-18019.42
592778-Delfim Higuera-19503.45
429460-Regina Barcellos-17082.10
386320-Jussara Varanda-6334.89
712651-Guida Juca-12219.66
755069-Armanda Amorim-10818.61
662847-Anind Zarco-19534.44
173344-Moaci Mendoa-8703.63
709934-Telma Villalobos-9640.83
258239-Estanislau Beserra-9194.39
251942-Delfina Perdigon-10896.05
750352-Lurdes Cotrim-10167.14
382832-Danilo Olaio-636.60
936012-Jussara Varanda-13520.46
928120-Domingos Pas-8582.75
292868-Adelino Barra-13780.30
329780-Cassandra Varejo-7842.09
518588-Henrique Bento-17383.83
106-Ubaldo Mainha-17770.93
493696-Melinda Roserio-14718.67
509787-Augusta Paio-14676.36
984568-Fulvio Villegas-2629.02
804430-Spnia ou Sonia Guerreiro-3512.85
351056-Adelino Barra-3387.38
903063-Mercia Caeira-4356.66
420593-Jussara Varanda-8929.58
315346-Telma Villalobos-2738.05
654467-Celeste Duarte-19313.23
873369-Spnia ou Sonia Guerreiro-20363.23
691717-Flor Portella-14723.33
949233-Flamednia Leiria-3943.59
811648-Zungela Ipiranga-6043.44
904445-Emiliana Foquio-19051.49
657084-Emiliana Foquio-17100.16
455886-Judite Damasceno-6524.35
46205-Filomena Barrios-21018.56
183112-Artur Grillo-6976.88
529454-Oliveira Senchez-5408.58
258576-Telma Villalobos-3542.48
113115-Andreia Moita-11019.40
834960-Anind Zarco-15558.89
708755-Edgar Carvalheiro-6582.17
484854-Elisa Themes-15731.22
546089-Ubaldo Mainha-692.95
861175-Odilia Camello-17937.51
325530-Flor Portella-11623.13
264724-Lurdes Cotrim-17004.96
8539-Zulmira Becerra-20450.26
591914-Jonatas Felgueiras-17868.01
14956-Sara Lameiras-5554.30
287713-Flamednia Leiria-19702.65
919974-Honorina Lira-10564.91
896306-Letedcia Gago-2244.92
537491-Guida Juca-19730.38
710939-Cleusa Goes-1984.15
319712-Antonio Viegas-17787.41
